title,abstract,publication_year,keywords,mesh_terms,authors
Novel diagnostic and prognostic approach for rapidly progressive dementias: Indicators based on amyloid/tau/neurodegeneration (ATN) framework.,Apply established cerebrospinal fluid (CSF) and serum biomarkers and novel combined indicators based on the amyloid/tau/neurodegeneration (ATN) framework to improve diagnostic and prognostic power in patients with rapidly progressive dementias (RPDs).,2024,ATN framework; Creutzfeldt–Jakob disease; autoimmune encephalitis; diagnosis; prognosis; rapidly progressive Alzheimer's disease,,"Cheng, Y; Chen, SF; Zhang, YR; Guo, Y; Wu, KM; Huang, YY; Aerqin, Q; Kuo, K; Li, HQ; Chen, SD; Liu, WS; Dong, Q; Yu, JT"
Amyloid-β but not tau accumulation is strongly associated with longitudinal cognitive decline.,Alzheimer's disease (AD) pathology is featured by the extracellular accumulation of amyloid-β (Aβ) plaques and intracellular tau neurofibrillary tangles in the brain. We studied whether Aβ and tau accumulation are independently associated with future cognitive decline in the AD continuum.,2024,Alzheimer's disease; amyloid‐β; cognition function; tau accumulation,"Humans; tau Proteins; Female; Male; Amyloid beta-Peptides; Aged; Cognitive Dysfunction; Positron-Emission Tomography; Longitudinal Studies; Aged, 80 and over; Disease Progression; Alzheimer Disease; Middle Aged","Wang, W; Huang, J; Qian, S; Zheng, Y; Yu, X; Jiang, T; Ai, R; Hou, J; Ma, E; Cai, J; He, H; Wang, X; Xie, C"
APOE 5'UTR Methylation Pattern Analysis in Blood and Brain Tissue from Alzheimer's Disease Affected Patients.,"APOE ε4 allele is the major genetic risk factor for Alzheimer's Disease (AD). Furthermore, APOE methylation pattern has been described to be associated with the disease and to follow a bimodal pattern, with a hypermethylated CpG island and a hypomethylated promoter region. However, little is known about the methylation levels in the APOE 5'UTR region. Here, the methylation of two regions (R1 and R2) within APOE 5'UTR was investigated in both peripheral blood mononuclear cells (PBMCs) and hippocampus (HIC) samples to identify differentially methylated CpG sites and to associate clinical, genetic features and cerebrospinal fluid (CSF) biomarkers levels. DNA was extracted from PBMCs of 20 AD and 20 healthy controls (HC) and from 6 AD and 3 HC HIC samples. The methylation analysis was carried out by means of pyrosequencing. In AD PBMCs we found that R1 region displayed a higher methylation level, while the opposite trend was observed in R2. The presence of ε4 allele highlighted a marked increase in R1 methylation level and a decrease in R2. In AD PBMCs and HIC, age progression resulted to be associated with an increase in the methylation level of R1. Lastly, the methylation of a CpG site in R2 was found to be related to CSF biomarkers. Despite the lack of a statistical significance, the outcome from this exploratory analysis highlighted the presence of a difference in methylation in APOE 5'UTR in PBMCs of AD patients which seemed to be associated also with APOE genotype, age and CSF biomarkers level.",2024,,,"Gerlando, RD; Dragoni, F; Rizzo, B; Ferrari, RR; Zardini, E; Ramusino, MC; Perini, G; Costa, A; Poloni, TE; Pansarasa, O; Davin, A; Gagliardi, S"
Prospects and challenges in using neuronal extracellular vesicles in biomarker research.,"Extracellular vesicles (EVs) hold promise as a source of disease biomarkers. The diverse molecular cargo of EVs can potentially indicate the status of their tissue of origin, even against the complex background of whole plasma. The main tools currently available for assessing biomarkers of brain health include brain imaging and analysis of the cerebrospinal fluid of patients. Given the costs and difficulties associated with these methods, isolation of EVs of neuronal origin (NEVs) from the blood is an attractive approach to identify brain-specific biomarkers. This perspective describes current key challenges in EV- and NEV-based biomarker research. These include the relative low abundance of EVs, the lack of validated isolation methods, and the difficult search for an adequate target for immunocapturing NEVs. We discuss that these challenges must be addressed before NEVs can fulfill their potential for biomarker research. HIGHLIGHTS: NEVs are promising sources of biomarkers for brain disorders. Immunocapturing NEVs from complex biofluids presents several challenges. The choice of surface target for capture will determine NEV yield. Contamination by non-EV sources is relevant for biomarkers at low concentrations.",2024,biomarkers; central nervous system; neurodegenerative disorders; neuronal‐enriched extracellular vesicles,,"Rocha, DAS; Santos, LE; Da Fonseca, PB; De Felice, FG"
A Comprehensive Head-to-Head Comparison of Key Plasma Phosphorylated Tau 217 Biomarker Tests.,"Plasma phosphorylated-tau 217 (p-tau217) is currently the most promising biomarkers for reliable detection of Alzheimer's disease (AD) pathology. Various p-tau217 assays have been developed, but their relative performance is unclear. We compared key plasma p-tau217 tests using cross-sectional and longitudinal measures of amyloid-β (Aβ)-PET, tau-PET, and cognition as outcomes, and benchmarked them against cerebrospinal fluid (CSF) biomarker tests. Samples from 998 individuals (mean[range] age 68.5[20.0-92.5], 53% female) from the Swedish BioFINDER-2 cohort were analyzed. Plasma p-tau217 was measured with mass spectrometry (MS) assays (the ratio between phosphorylated and non-phosphorylated [%p-tau217 ",2024,,,"Warmenhoven, N; Salvadó, G; Janelidze, S; Mattsson-Carlgren, N; Bali, D; Dolado, AO; Kolb, H; Triana-Baltzer, G; Barthélemy, NR; Schindler, SE; Aschenbrenner, AJ; Raji, CA; Benzinger, TLS; Morris, JC; Ibanez, L; Timsina, J; Cruchaga, C; Bateman, RJ; Ashton, N; Arslan, B; Zetterberg, H; Blennow, K; Binette, AP; Hansson, O"
The Glymphatic System and Subarachnoid Lymphatic-Like Membrane: Recent Developments in Cerebrospinal Fluid Research.,"Cerebrospinal fluid (CSF) circulates throughout the ventricles, cranial and spinal subarachnoid spaces, and central spinal cord canal. CSF protects the central nervous system through mechanical cushioning, regulation of intracranial pressure, regulation of metabolic homeostasis, and provision of nutrients. Recently, investigators have characterized the glial-lymphatic (glymphatic) system, the analog of the lymphatic system in the CNS, and described a fourth meningeal layer; the subarachnoid lymphatic-like membrane relevant to the CSF.",2024,CSF; brain; meninges; neurological surgery; neurosurgery,,"Shlobin, NA; Staple, BL; Sclafani, M; Harter, DH"
Navigating the Intersection: Diabetes and Alzheimer's Intertwined Relationship.,"Alzheimer's disease (AD) and Diabetes mellitus (DM) exhibit comparable pathophysiological pathways. Genetic abnormalities in APP, PS-1, and PS-2 are linked to AD, with diagnostic aid from CSF and blood biomarkers. Insulin dysfunction, termed ""type 3 diabetes mellitus"" in AD, involves altered insulin signalling and neuronal shrinkage. Insulin influences beta-amyloid metabolism, exacerbating neurotoxicity in AD and amyloid production in DM. Both disorders display impaired glucose transporter expression, hastening cognitive decline. Mitochondrial dysfunction and Toll-like receptor 4-mediated inflammation worsen neurodegeneration in both diseases. ApoE4 raises disease risk, especially when coupled with dyslipidemia common in DM. Targeting shared pathways like insulin-degrading enzyme activation and HSP60 holds promise for therapeutic intervention. Recognizing these interconnected mechanisms underscores the imperative for developing tailored treatments addressing the overlapping pathophysiology of AD and DM, offering potential avenues for more effective management of both conditions.",2024,Alzheimer’s disease; Diabetes mellitus; beta amyloid; insulin resistance; neurodegeneration,,"Kale, MB; Bhondge, HM; Wankhede, NL; Shende, PV; Thanekaer, RP; Aglawe, MM; Rahangdale, SR; Taksande, BG; Pandit, SB; Upaganlawar, AB; Umekar, MJ; Kopalli, SR; Koppula, S"
Associations between the choroid plexus and tau in Alzheimer's disease using an active learning segmentation pipeline.,"The cerebrospinal fluid (CSF), primarily generated by the choroid plexus (ChP), is the major carrier of the glymphatic system. The alternations of CSF production and the ChP can be associated with the Alzheimer's disease (AD). The present work investigated the roles of the ChP in the AD based on a proposed ChP image segmentation pipeline.",2024,Active learning; Alzheimer’s disease; Cerebrospinal fluid; Choroid plexus; Glymphatic system,"Alzheimer Disease; Humans; tau Proteins; Choroid Plexus; Amyloid beta-Peptides; Male; Female; Aged; Supervised Machine Learning; Biomarkers; Magnetic Resonance Imaging; Image Processing, Computer-Assisted; Middle Aged; Aged, 80 and over","Li, J; Hu, Y; Xu, Y; Feng, X; Meyer, CH; Dai, W; Zhao, L"
"Association of triglyceride glucose-body mass index with Alzheimer's disease pathology, cognition and brain structure in non-demented people.","The relationship between the triglyceride glucose-body mass index (TyG-BMI) index and Alzheimer's disease (AD) pathology, cognition, and brain structure remains unclear. This study aimed to investigate these associations, focusing on cerebrospinal fluid (CSF) biomarkers, cognitive measures, and brain imaging data. Eight hundred and fifty-five non-demented participants were included. Linear regression was used to explore associations between the TyG-BMI index and AD pathology, cognition, and brain structure. The association between the TyG-BMI index and AD risk was assessed using Kaplan-Meier and Cox proportional hazards models. Longitudinal relationships were assessed using linear mixed-effects models. Mediation analyses were conducted to examine AD pathology's potential mediating role between the TyG-BMI index and cognition as well as brain structure. In the linear regression analyses, higher TyG-BMI levels were associated with increased Aβ",2024,Alzheimer’s disease; Brain structure; Cognition; Insulin resistance; Pathology; Triglyceride glucose-body mass index,Humans; Alzheimer Disease; Male; Female; Body Mass Index; Cognition; Aged; Brain; Triglycerides; Biomarkers; Middle Aged; Glucose; Amyloid beta-Peptides; tau Proteins,"Zhang, Z; Chen, X; Sheng, Z"
Genetic and multi-omic resources for Alzheimer disease and related dementia from the Knight Alzheimer Disease Research Center.,"The Knight-Alzheimer Disease Research Center (Knight-ADRC) at Washington University in St. Louis has pioneered and led worldwide seminal studies that have expanded our clinical, social, pathological, and molecular understanding of Alzheimer Disease. Over more than 40 years, research volunteers have been recruited to participate in cognitive, neuropsychologic, imaging, fluid biomarkers, genomic and multi-omic studies. Tissue and longitudinal data collected to foster, facilitate, and support research on dementia and aging. The Genetics and high throughput -omics core (GHTO) have collected of more than 26,000 biological samples from 6,625 Knight-ADRC participants. Samples available include longitudinal DNA, RNA, non-fasted plasma, cerebrospinal fluid pellets, and peripheral blood mononuclear cells. The GHTO has performed deep molecular profiling (genomic, transcriptomic, epigenomic, proteomic, and metabolomic) from large number of brain (n = 2,117), CSF (n = 2,012) and blood/plasma (n = 8,265) samples with the goal of identifying novel risk and protective variants, identify novel molecular biomarkers and causal and druggable targets. Overall, the resources available at GHTO support the increase of our understanding of Alzheimer Disease.",2024,,Alzheimer Disease; Humans; Genomics; Biomarkers; Dementia; Proteomics; Multiomics,"Fernandez, MV; Liu, M; Beric, A; Johnson, M; Cetin, A; Patel, M; Budde, J; Kohlfeld, P; Bergmann, K; Lowery, J; Flynn, A; Brock, W; Sanchez Montejo, B; Gentsch, J; Sykora, N; Norton, J; Gentsch, J; Valdez, O; Gorijala, P; Sanford, J; Sun, Y; Wang, C; Western, D; Timsina, J; Mangetti Goncalves, T; Do, AN; Sung, YJ; Zhao, G; Morris, JC; Moulder, K; Holtzman, DM; Bateman, RJ; Karch, C; Hassenstab, J; Xiong, C; Schindler, SE; Balls-Berry, JJ; Benzinger, TLS; Perrin, RJ; Denny, A; Snider, BJ; Stark, SL; Ibanez, L; Cruchaga, C"
