title,abstract,publication_year,keywords,mesh_terms,authors
Characterisation of LPS+ bacterial extracellular vesicles along the gut-hepatic portal vein-liver axis.,"Gut microbiome dysbiosis is a major contributing factor to several pathological conditions. However, the mechanistic understanding of the communication between gut microbiota and extra-intestinal organs remains largely elusive. Extracellular vesicles (EVs), secreted by almost every form of life, including bacteria, could play a critical role in this inter-kingdom crosstalk and are the focus of present study. Here, we present a novel approach for isolating lipopolysaccharide (LPS)+ bacterial extracellular vesicles (bEV",2024,bacterial extracellular vesicles; dysbiosis; gut microbiome; inflammation; lipopolysaccharide,"Animals; Extracellular Vesicles; Liver; Lipopolysaccharides; Mice; Gastrointestinal Microbiome; Portal Vein; Mice, Inbred C57BL; Male; Bacteria; Toll-Like Receptor 4; Obesity; Feces; Dysbiosis","Jain, H; Kumar, A; Almousa, S; Mishra, S; Langsten, KL; Kim, S; Sharma, M; Su, Y; Singh, S; Kerr, BA; Deep, G"
GV-971 attenuates the progression of neuromyelitis optica in murine models and reverses alterations in gut microbiota and associated peripheral abnormalities.,"Growing evidence suggests that an imbalanced gut microbiota composition plays a crucial role in the development of neuromyelitis optica spectrum disorders (NMOSD), an inflammatory demyelinating disease primarily affecting the optic nerves and central nervous system (CNS). In light of this, we explored the potential therapeutic benefits of GV-971 in NMOSD. GV-971 is a drug used for treating mild-to-moderate Alzheimer's disease, which targets the gut-brain axis and reduces neuroinflammation.",2024,GV‐971; NMO‐IgG; Neuromyelitis optica spectrum disorders; gut microbiota; neuroinflammation,"Animals; Neuromyelitis Optica; Gastrointestinal Microbiome; Mice; Encephalomyelitis, Autoimmune, Experimental; Disease Progression; Female; Mice, Inbred C57BL; Disease Models, Animal","Yang, X; Zhangyi, Z; Yu, A; Zhou, Q; Xia, A; Qiu, J; Cai, M; Chu, X; Li, L; Feng, Z; Luo, Z; Sun, G; Zhang, J; Geng, M; Chen, S; Xie, Z"
An emerging role for the gut microbiome in tauopathy.,"Tauopathies constitute a group of neurodegenerative diseases characterized by abnormal aggregation of the protein tau, progressive neuronal and synaptic loss, and eventual cognitive and motor impairment. In this review, we will highlight the latest efforts investigating the intricate interplay between the gut microbiome and tauopathies. We discuss the physiological interactions between the microbiome and the brain as well as clinical and experimental evidence that suggests that the presence of tauopathy alters the composition of gut microbiota. We explore both animal and human studies that define causative relationships between the gut microbiome and tauopathy by directly manipulating or transferring gut microbiota. This review highlights future directions into identifying and mechanistically elucidating microbial species causally linked to tauopathies, with an ultimate goal of devising therapeutic targets towards the gut microbiome to treat tauopathies.",2024,Fecal matter transplantation; Gut microbiome; Microbial metabolite; Tauopathies,,"Zhu, Y; Self, WK; Holtzman, DM"
Serum and CSF metabolomics analysis shows Mediterranean Ketogenic Diet mitigates risk factors of Alzheimer's disease.,"Alzheimer's disease (AD) is influenced by a variety of modifiable risk factors, including a person's dietary habits. While the ketogenic diet (KD) holds promise in reducing metabolic risks and potentially affecting AD progression, only a few studies have explored KD's metabolic impact, especially on blood and cerebrospinal fluid (CSF). Our study involved participants at risk for AD, either cognitively normal or with mild cognitive impairment. The participants consumed both a modified Mediterranean Ketogenic Diet (MMKD) and the American Heart Association diet (AHAD) for 6 weeks each, separated by a 6-week washout period. We employed nuclear magnetic resonance (NMR)-based metabolomics to profile serum and CSF and metagenomics profiling on fecal samples. While the AHAD induced no notable metabolic changes, MMKD led to significant alterations in both serum and CSF. These changes included improved modifiable risk factors, like increased HDL-C and reduced BMI, reversed serum metabolic disturbances linked to AD such as a microbiome-mediated increase in valine levels, and a reduction in systemic inflammation. Additionally, the MMKD was linked to increased amino acid levels in the CSF, a breakdown of branched-chain amino acids (BCAAs), and decreased valine levels. Importantly, we observed a strong correlation between metabolic changes in the CSF and serum, suggesting a systemic regulation of metabolism. Our findings highlight that MMKD can improve AD-related risk factors, reverse some metabolic disturbances associated with AD, and align metabolic changes across the blood-CSF barrier.",2024,Diseases; Metabolomics,,"Schweickart, A; Batra, R; Neth, BJ; Martino, C; Shenhav, L; Zhang, AR; Shi, P; Karu, N; Huynh, K; Meikle, PJ; Schimmel, L; Dilmore, AH; Blennow, K; Zetterberg, H; Blach, C; Dorrestein, PC; Knight, R; Craft, S; Kaddurah-Daouk, R; Krumsiek, J"
Microbiome-driven alterations in metabolic pathways and impaired cognition in aged female TgF344-AD rats.,"Alzheimer's disease (AD) not only affects cognition and neuropathology, but several other facets capable of negatively impacting quality of life and potentially driving impairments, including altered gut microbiome (GMB) composition and metabolism. Aged (20 + mo) female TgF344-AD and wildtype rats were cognitively characterized on several tasks incorporating several cognitive domains, including task acquisition, object recognition memory, anxiety-like behaviors, and spatial navigation. Additionally, metabolic phenotyping, GMB sequencing throughout the intestinal tract (duodenum, jejunum, ileum, colon, and feces), neuropathological burden assessment and marker gene functional abundance predictions (PICRUSt2) were conducted. TgF344-AD rats demonstrated significant cognitive impairment in multiple domains, as well as regionally specific GMB dysbiosis. Relationships between peripheral factors were investigated using Canonical Correspondence Analysis (CCA), revealing correlations between GMB changes and both cognitive and metabolic factors. Moreover, communities of gut microbes contributing to essential metabolic pathways were significantly altered in TgF344-AD rats. These data indicate dysbiosis may affect cognitive outcomes in AD through alterations in metabolism-related enzymatic pathways that are necessary for proper brain function. Moreover, these changes were mostly observed in intestinal segments required for carbohydrate digestion, not fecal samples. These data support the targeting of intestinal and microbiome health for the treatment of AD.",2024,Aging; Alzheimer’s; Cognitive decline; Metabolism; Microbiome,,"Hernandez, AR; Parker, E; Babar, M; Banerjee, A; Ding, S; Simley, A; Buford, TW"
Modulation of gut microbiome in the treatment of neurodegenerative diseases: A systematic review.,"Microbiota plays an essential role in maintaining body health, through positive influences on metabolic, defensive, and trophic processes and on intercellular communication. Imbalance in intestinal flora, with the proliferation of harmful bacterial species (dysbiosis) is consistently reported in chronic illnesses, including neurodegenerative diseases (ND). Correcting dysbiosis can have a beneficial impact on the symptoms and evolution of ND. This review examines the effects of microbiota modulation through administration of probiotics, prebiotics, symbiotics, or prebiotics' metabolites (postbiotics) in patients with ND like multiple sclerosis (MS), Alzheimer's disease (AD), Parkinson's disease (PD) and amyotrophic lateral sclerosis (ALS).",2024,Microbiota; Neurodegenerative diseases; Postbiotics; Prebiotics; Probiotics; Psychobiotics,Humans; Gastrointestinal Microbiome; Neurodegenerative Diseases; Probiotics; Prebiotics; Dysbiosis; Animals; Fecal Microbiota Transplantation,"Mincic, AM; Antal, M; Filip, L; Miere, D"
Armillariella tabescens-derived polysaccharides alleviated Ɒ-Gal-induced neuroinflammation and cognitive injury through enterocerebral axis and activation of keap-1/Nrf2 pathway.,"The early symptoms of neurodegenerative diseases include oxidative stress disorder and accelerated inflammation levels. Edible fungi polysaccharides play essential roles in anti-neuroinflammation. We analyzed the regulatory mechanisms of polysaccharides from extracellular Armillariella tabescens (ATEP) in alleviating neuroinflammation in mice. Mice were induced with d-galactose and aluminum chloride to establish an animal model of Alzheimer's disease, then intragastrically treated with ATEP, which had been previously analyzed for its physicochemical properties. We assessed the critical characteristics of mice treated for neuroinflammation, including cognitive behavior, the anti-inflammatory potential of ATEP in hippocampal pathology and critical protein expression, and changes in fecal microbial composition and metabolites. ATEP intervened in oxidative stress by enhancing antioxidant enzyme activities and suppressing the Keap-1/Nrf2 signaling pathway. Changing the Nrf2 content in the nucleus led to changes in the downstream oxidation-related enzymes, HO-1, NQO-1, iNOS, and COX-2, and the neuronal morphology in CA3 region of the hippocampus. Microbiome analysis revealed that ATEP remodeled the gut microbiotas and regulated the short-chain fatty acids-producing bacteria. Early intervention with ATEP via active dietary supplementation may promote neuroprotection.",2024,Armillariella tabescens; Gut microbiota; Neuroinflammation; Polysaccharides; Short-chain fatty acid (SCFAs),"Animals; NF-E2-Related Factor 2; Mice; Signal Transduction; Kelch-Like ECH-Associated Protein 1; Polysaccharides; Oxidative Stress; Male; Neuroinflammatory Diseases; Hippocampus; Galactose; Cognitive Dysfunction; Gastrointestinal Microbiome; Disease Models, Animal; Fungal Polysaccharides; Alzheimer Disease","Du, MR; Zhang, QY; Yang, SY; Chen, JQ; Dan, CM; Lian, LD; Wang, J"
Epidemiology of Faecal Incontinence for People with Dementia Living in the Community in New Zealand: A Retrospective Cohort Study Using interRAI Home Care Assessment Data.,"Globally there are few studies but wide variation in epidemiology of faecal incontinence (FI) for people living with dementia in the community. Our objectives are to identify 1-year period prevalence, 5-year incidence, and risks for faecal incontinence (FI) for people living with dementia.",2024,,,"Burholt, V; Pillai, A; Cheung, G; Awatere, SA; Daltrey, J"
Regulating effect of Qifu Yin on intestinal microbiota in mice with memory impairment induced by scopolamine hydrobromide.,"Qifu Yin (QFY) originates from ""Jingyue Quanshu · Volume 51 · New Fang Bazhen · Buzhen"" a work by Zhang Jingyue, a distinguished Chinese medical practitioner from the Ming Dynasty. QFY is composed of Ginseng Radix et Rhizoma, Rehmanniae Radix Praeparata, Angelicae Sinensis Radix, Atractylodis Macrocephalae Rhizoma, Glycyrrhizae Radix et Rhizoma Praeparata Cum Melle, Ziziphi Spinosae Semen, and Polygalae Radix. QFY is frequently employed to address memory loss and cognitive impairment stemming from vascular dementia, Alzheimer's disease (AD), and related conditions. Our findings indicate that QFY can mitigate nerve cell damage. Moreover, the study explores the impact of QFY on the calcium ion pathway and sphingolipid metabolism in mice with myocardial infarction, presenting a novel perspective on QFY's mechanism in ameliorating myocardial infarction through lipidomics. While this research provides an experimental foundation for the clinical application of QFY, a comprehensive and in-depth analysis of its improvement mechanism remains imperative.",2024,16S rDNA; Behavioral experiments; Intestinal microbiota; Memory impairment (MI); Qifu yin (QFY),"Animals; Scopolamine; Memory Disorders; Male; Drugs, Chinese Herbal; Mice; Gastrointestinal Microbiome; Hippocampus; Disease Models, Animal; Brain-Derived Neurotrophic Factor; Cyclic AMP Response Element-Binding Protein; Animals, Outbred Strains","Liu, S; Zhang, Q; Zhao, F; Deng, F; Wang, Y"
[Experimental study on improvement of cognitive impairment in Alzheimer's disease by different degrees of steaming and sunning of Polygoni Multiflori Radix based on fecal metabolomics].,"The fecal metabolomics method was employed to investigate the cognitive improvement mechanism of Polygoni Multiflori Radix in Alzheimer's disease(AD) and examine the effects of different degrees of steaming and sunning on cognitive function in AD model mice. Additionally, the processing principle of Polygoni Multiflori Radix was discussed. Forty-eight 5-month-old APP/PS1 mice were randomly assigned to the following groups: model group, positive group, raw product group, three-steaming and three-sunning product group, six-steaming and six-sunning product group, and nine-steaming and nine-sunning product group. Seven negative control mice from the same litter were included as the blank group. After 150 days of intragastric administration, the learning and memory abilities of mice in each group were assessed by using the Barnes maze and dark avoidance tests. Fecal samples were collected for extensive targeted metabolomics testing. Principal component analysis(PCA), orthogonal partial least squares discriminant analysis(OPLS-DA), and other multivariate statistical methods were utilized to analyze metabolites in mouse feces. Comparison of behavioral results between the model group and different product groups demonstrated that the six-steaming and six-sunning product group exhibited significantly reduced latency in the Barnes maze positioning and navigation test(P&lt;0.05), as well as a notable decrease in the number of errors in the space exploration experiment(P&lt;0.05). Moreover, the latency of mice entering the dark box for the first time in the dark avoidance experiment was significantly prolonged(P&lt;0.05), indicating the best overall improvement in the learning and memory ability of AD model mice. Metabolomics results revealed that compared with the model group, the differential metabolites in other groups in descending order were as follows: six-steaming and six-sunning product group &gt; nine-steaming and nine-sunning product group &gt; raw product group &gt; three-steaming and three-sunning product group, encompassing 146, 120, 95, and 81 potential biomarkers, respectively. Among them, 16 differential metabolites were related to AD disease. Further comparisons based on the degree of processing indicated that the six-steaming and six-sunning product group exhibited the most significant adjustments in total metabolic pathways, particularly regulating the interconversion of pentose and glucuronic acid, as well as amino acid anabolism and other pathways. In summary, the mechanism of Polygoni Multiflori Radix after processing in enhancing the learning and memory ability of APP/PS1 mice may be associated with improved amino acid metabolism and increased energy metabolism in the body. The six-steaming and six-sunning yielded the best outcomes.",2024,Alzheimer′s disease; Polygoni Multiflori Radix; amino acid metabolism; energy metabolism; fecal metabolomics; steaming and sunning,"Animals; Alzheimer Disease; Mice; Metabolomics; Feces; Drugs, Chinese Herbal; Cognitive Dysfunction; Male; Polygonum; Humans; Disease Models, Animal; Female; Cognition","Zhou, GL; Li, SY; Luo, X; Chen, H; Chi, XY; Liu, SL; Yang, K; Zeng, CH"
