title,abstract,publication_year,keywords,mesh_terms,authors
"Dysregulation of Lipid Metabolism Serves as A Link Between Alzheimer's and Cardiovascular Disease, As Witnessed in A Cross-Sectional Study.","Cardiovascular risk factors and established cardiovascular disease (CVD) increase the risk of suffering dementia of the Alzheimer's type (DAT). Here, we set out to define specific molecular profiles of CVD in patients with DAT to better understand its relationship, to unravel the mechanisms underlying the high risk of developing DAT in CVD patients and to define new markers of early disease. Plasma samples from patients with DAT, with and without CVD, were analyzed through a multiomics approach, with integration of metabolomics and proteomics datasets using the OmicsNet web-based tool. Metabolomics results showed an enrichment in lipids and lipid-like molecules. Similarly, the most significant cluster identified through proteomics was formed by 5 proteins related to lipoprotein and cholesterol metabolism. After integration and functional enrichment, glycerolipid metabolism, fatty acid degradation and sphingolipid metabolism were among the most significant functions. Finally, differential expression of ABCA1 and APOH proteins was verified, in an independent cohort also including controls and patients with CVD alone. Both proteins positively correlated with phospho-Tau (181), a classical hallmark of DAT. Different molecular profiles exist in patients with DAT, with and without CVD, with exacerbated alterations in patients in which DAT and CVD co-exist. This information may help to define biomarkers like ABCA1 and APOH that identify patients with cardiovascular dysfunction that are at high risk of developing DAT. Such markers will allow more personalized interventions to be selected, a further step towards precision medicine for individuals whose molecular profiles indicate a distinct response to the same management strategies.",2024,,,"Mourino-Alvarez, L; Juarez-Alia, C; Sastre-Oliva, T; Perales-Sánchez, I; Hernandez-Fernandez, G; Chicano-Galvez, E; Peralbo-Molina, Á; Madruga, F; Blanco-Lopez, E; Tejerina, T; Barderas, MG"
"An integrated approach to identifying sex-specific genes, transcription factors, and pathways relevant to Alzheimer's disease.","Age represents a significant risk factor for the development of Alzheimer's disease (AD); however, recent research has documented an influencing role of sex in several features of AD. Understanding the impact of sex on specific molecular mechanisms associated with AD remains a critical challenge to creating tailored therapeutic interventions.",2024,Alzheimer's disease; Cognitive function; Sex-based difference impact disease; Transcriptomics; meta-analysis,,"López-Cerdán, A; Andreu, Z; Hidalgo, MR; Soler-Sáez, I; de la Iglesia-Vayá, M; Mikozami, A; Guerini, FR; García-García, F"
HT_PREDICT: a machine learning-based computational open-source tool for screening HDAC6 inhibitors.,"Histone deacetylase 6 (HDAC6) is a promising drug target for the treatment of human diseases such as cancer, neurodegenerative diseases (in particular, Alzheimer's disease), and multiple sclerosis. Considerable attention is paid to the development of selective non-toxic HDAC6 inhibitors. To this end, we successfully form a set of 3854 compounds and proposed adequate regression QSAR models for HDAC6 inhibitors. The models have been developed using the PubChem, Klekota-Roth, 2D atom pair fingerprints, and RDkit descriptors and the gradient boosting, support vector machines, neural network, and k-nearest neighbours methods. The models are integrated into the developed HT_PREDICT application, which is freely available at https://htpredict.streamlit.app/. In vitro studies have confirmed the predictive ability of the proposed QSAR models integrated into the HT_PREDICT web application. In addition, the virtual screening performed with the HT_PREDICT web application allowed us to propose two promising inhibitors for further investigations.",2024,QSAR; Streamlit; acute toxicity; machine learning; molecular fingerprints; selective inhibitors,"Quantitative Structure-Activity Relationship; Histone Deacetylase 6; Histone Deacetylase Inhibitors; Machine Learning; Humans; Support Vector Machine; Neural Networks, Computer","Tinkov, OV; Osipov, VN; Kolotaev, AV; Khachatryan, DS; Grigorev, VY"
"Effects of glyphosate exposure on intestinal microbiota, metabolism and microstructure: a systematic review.","Glyphosate is the most commercialized herbicide in Brazil and worldwide, and this has become a worrying scenario in recent years. In 2015 glyphosate was classified as potentially carcinogenic by the World Health Organization, which opened avenues for numerous debates about its safe use regarding non-target species' health, including humans. This review aimed to observe the impacts of glyphosate and its formulations on the gut microbiota, as well as on the gut microstructure and animal metabolism. A systematic review was conducted based on the PRISMA recommendations, and the search for original articles was performed in Pubmed/Medline, Scopus and Web of Science databases. The risk of bias in the studies was assessed using the SYRCLE strategy. Our findings revealed that glyphosate and its formulations are able to induce intestinal dysbiosis by altering bacterial metabolism, intestinal permeability, and mucus secretion, as well as causing damage to the microvilli and the intestinal lumen. Additionally, immunological, enzymatic and genetic changes were also observed in the animal models. At the metabolic level, damage was observed in lipid and energy metabolism, the circulatory system, cofactor and vitamin metabolism, and replication, repair, and translation processes. In this context, we pointed out that the studies revealed that these alterations, caused by glyphosate-based herbicides, can lead to intestinal and systemic diseases, such as Crohn's disease and Alzheimer's disease.",2024,,,"Ignácio, ADC; Guerra, AMDR; de Souza-Silva, TG; Carmo, MAVD; Paula, HAA"
Blood Astrocyte Biomarkers in Alzheimer Disease: A Systematic Review and Meta-Analysis.,"Neuroinflammation, particularly early astrocyte reactivity, is a significant driver of Alzheimer disease (AD) pathogenesis. It is unclear how the levels of astrocyte biomarkers change in patients across the AD continuum and which best reflect AD-related change. We performed a systematic review and meta-analysis of 3 blood astrocyte biomarkers (glial fibrillary acidic protein [GFAP], chitinase-3-like protein 1 [YKL-40], and S100B) in patients clinically diagnosed with AD.",2024,,Alzheimer Disease; Humans; Biomarkers; Chitinase-3-Like Protein 1; Glial Fibrillary Acidic Protein; Astrocytes; S100 Calcium Binding Protein beta Subunit; Cognitive Dysfunction,"Holper, S; Loveland, P; Churilov, L; Italiano, D; Watson, R; Yassi, N"
Social Media Programs for Outreach and Recruitment Supporting Aging and Alzheimer Disease and Related Dementias Research: Longitudinal Descriptive Study.,"Social media may be a useful method for research centers to deliver health messages, increase their visibility in the local community, and recruit study participants. Sharing examples of social media-based community outreach and educational programs, and evaluating their outcomes in this setting, is important for understanding whether these efforts have a measurable impact.",2024,Alzheimer disease; Alzheimer’s disease; education; outreach; recruitment; social media,Social Media; Humans; Alzheimer Disease; Longitudinal Studies; Community-Institutional Relations; Patient Selection; Aging; Female; Dementia; Male; Aged,"Teano, AL; Scott, A; Gipson, C; Albert, M; Pettigrew, C"
Technology Usability for People Living With Dementia: Concept Analysis.,"Usability is a key indicator of the quality of technology products. In tandem with technological advancements, potential use by individuals with dementia is increasing. However, defining the usability of technology for individuals with dementia remains an ongoing challenge. The diverse and progressive nature of dementia adds complexity to the creation of universal usability criteria, highlighting the need for focused deliberations. Technological interventions offer potential benefits for people living with dementia and caregivers. Amid COVID-19, technology's role in health care access is growing, especially among older adults. Enabling the diverse population of people living with dementia to enjoy the benefits of technologies requires particular attention to their needs, desires, capabilities, and vulnerabilities to potential harm from technologies. Successful technological interventions for dementia require meticulous consideration of technology usability.",2024,concept analysis; dementia; mobile phone; older adults; technology; usability,"Humans; Dementia; COVID-19; Aged; Female; Male; Caregivers; Aged, 80 and over","Chien, SY; Zaslavsky, O; Berridge, C"
Mapping the current trends and hotspots of adult hippocampal neurogenesis from 2004-2023: a bibliometric analysis.,We utilized bibliometric and data visualization techniques to discern the primary research domains and emerging frontiers in the field of adult hippocampal neurogenesis (AHN).,2024,Citespace; VOSviewer; adult hippocampal neurogenesis; bibliometric analysis; co-citation analysis; neurogenesis; web of science,,"Liu, Y; Zhang, J; Gu, X; Jia, S"
Evidence mapping and quality assessment of systematic reviews on exercise intervention for Alzheimer's disease.,"A significant body of literature suggests that exercise can reverse cognitive impairment and ameliorate somatic function in patients with Alzheimer's disease (AD). Systematic reviews (SRs), a common approach of evidence-based medicine, concentrate on a specific issue of a research area. The objective of this work is to provide an overview of existing evidence on the effects of exercise intervention in AD patients and report related health outcomes by reviewing SRs.",2024,Alzheimer’s disease; Cognitive function; Evidence synthesis; Exercise; Physical activity; Physical function,,"Xu, Z; Tang, J; Yi, W"
Exploring approaches to tackle cross-domain challenges in brain medical image segmentation: a systematic review.,"Brain medical image segmentation is a critical task in medical image processing, playing a significant role in the prediction and diagnosis of diseases such as stroke, Alzheimer's disease, and brain tumors. However, substantial distribution discrepancies among datasets from different sources arise due to the large inter-site discrepancy among different scanners, imaging protocols, and populations. This leads to cross-domain problems in practical applications. In recent years, numerous studies have been conducted to address the cross-domain problem in brain image segmentation.",2024,brain medical image; brain tumor; cross-domain; normalization; segmentation; stroke; white matter,,"Yanzhen, M; Song, C; Wanping, L; Zufang, Y; Wang, A"
