title,abstract,publication_year,keywords,mesh_terms,authors
Clinically feasible automated MRI volumetry of the brain as a prognostic marker in subjective and mild cognitive impairment.,"The number of patients suffering from cognitive decline and dementia increases, and new possible treatments are being developed. Thus, the need for time efficient and cost-effective methods to facilitate an early diagnosis and prediction of future cognitive decline in patients with early cognitive symptoms is becoming increasingly important. The aim of this study was to evaluate whether an MRI based software, NeuroQuant® (NQ), producing volumetry of the hippocampus and whole brain volume (WBV) could predict: (1) conversion from subjective cognitive decline (SCD) at baseline to mild cognitive impairment (MCI) or dementia at follow-up, and from MCI at baseline to dementia at follow-up and (2) progression of cognitive and functional decline defined as an annual increase in the Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) score.",2024,Alzheimer’s disease; Clinical Dementia Rating Scale; automated volumetry NeuroQuant®; dementia; disease progression; magnetic resonance imaging; mild cognitive impairment; subjective cognitive decline,,"Amland, R; Selbæk, G; Brækhus, A; Edwin, TH; Engedal, K; Knapskog, AB; Olsrud, ER; Persson, K"
Rapid Microbial Profiling through Multimodal Biosensors for Transversal Analysis.,"The intricate interactions between host and microbial communities hold significant implications for biology and medicine. However, traditional microbial profiling methods face limitations in processing time, measurement of absolute abundance, detection of low biomass, discrimination between live and dead cells, and functional analysis. This study introduces a rapid multimodal microbial characterization platform, Multimodal Biosensors for Transversal Analysis (MBioTA), for capturing the taxonomy, viability, and functional genes of the microbiota. The platform incorporates single cell biosensors, scalable microwell arrays, and automated image processing for rapid transversal analysis in as few as 2 h. The multimodal biosensors simultaneously characterize the taxon, viability, and functional gene expression of individual cells. By automating the image processing workflow, the single cell analysis techniques enable the quantification of bacteria with sensitivity down to 0.0075%, showcasing its capability in detecting low biomass samples. We illustrate the applicability of the MBioTA platform through the transversal analysis of the gut microbiota composition, viability, and functionality in a familial Alzheimer's disease mouse model. The effectiveness, rapid turnaround, and scalability of the MBioTA platform will facilitate its application from basic research to clinical diagnostics, potentially revolutionizing our understanding and management of diseases associated with microbe-host interactions.",2024,,,"Lee, JH; Chin, SM; Chan, DC; Liao, JC; Yang, S; Zhang, N; Wong, PK"
Extraction of sleep information from clinical notes of Alzheimer's disease patients using natural language processing.,"Alzheimer's disease (AD) is the most common form of dementia in the United States. Sleep is one of the lifestyle-related factors that has been shown critical for optimal cognitive function in old age. However, there is a lack of research studying the association between sleep and AD incidence. A major bottleneck for conducting such research is that the traditional way to acquire sleep information is time-consuming, inefficient, non-scalable, and limited to patients' subjective experience. We aim to automate the extraction of specific sleep-related patterns, such as snoring, napping, poor sleep quality, daytime sleepiness, night wakings, other sleep problems, and sleep duration, from clinical notes of AD patients. These sleep patterns are hypothesized to play a role in the incidence of AD, providing insight into the relationship between sleep and AD onset and progression.",2024,Alzheimer’s disease; clinical notes; electronic health records; information extraction; natural language processing; sleep,,"Sivarajkumar, S; Tam, TYC; Mohammad, HA; Viggiano, S; Oniani, D; Visweswaran, S; Wang, Y"
Brain and Ventricle Volume Alterations in Idiopathic Normal Pressure Hydrocephalus Determined by Artificial Intelligence-Based MRI Volumetry.,"The aim of this study was to employ artificial intelligence (AI)-based magnetic resonance imaging (MRI) brain volumetry to potentially distinguish between idiopathic normal pressure hydrocephalus (iNPH), Alzheimer's disease (AD), and age- and sex-matched healthy controls (CG) by evaluating cortical, subcortical, and ventricular volumes. Additionally, correlations between the measured brain and ventricle volumes and two established semi-quantitative radiologic markers for iNPH were examined. An IRB-approved retrospective analysis was conducted on 123 age- and sex-matched subjects (41 iNPH, 41 AD, and 41 controls), with all of the iNPH patients undergoing routine clinical brain MRI prior to ventriculoperitoneal shunt implantation. Automated AI-based determination of different cortical and subcortical brain and ventricular volumes in mL, as well as calculation of population-based normalized percentiles according to an embedded database, was performed; the CE-certified software mdbrain v4.4.1 or above was used with a standardized T1-weighted 3D magnetization-prepared rapid gradient echo (MPRAGE) sequence. Measured brain volumes and percentiles were analyzed for between-group differences and correlated with semi-quantitative measurements of the Evans' index and corpus callosal angle: iNPH patients exhibited ventricular enlargement and changes in gray and white matter compared to AD patients and controls, with the most significant differences observed in total ventricular volume (+67%) and the lateral (+68%), third (+38%), and fourth (+31%) ventricles compared to controls. Global ventriculomegaly and marked white matter reduction with concomitant preservation of gray matter compared to AD and CG were characteristic of iNPH, whereas global and frontoparietally accentuated gray matter reductions were characteristic of AD. Evans' index and corpus callosal angle differed significantly between the three groups and moderately correlated with the lateral ventricular volumes in iNPH patients [Evans' index (r > 0.83, ",2024,automated volumetrization; brain atrophy; normal pressure hydrocephalus; quantitative neuroimaging,,"Bendella, Z; Purrer, V; Haase, R; Zülow, S; Kindler, C; Borger, V; Banat, M; Dorn, F; Wüllner, U; Radbruch, A; Schmeel, FC"
An Overall Automated Architecture Based on the Tapping Test Measurement Protocol: Hand Dexterity Assessment through an Innovative Objective Method.,"The present work focuses on the tapping test, which is a method that is commonly used in the literature to assess dexterity, speed, and motor coordination by repeatedly moving fingers, performing a tapping action on a flat surface. During the test, the activation of specific brain regions enhances fine motor abilities, improving motor control. The research also explores neuromuscular and biomechanical factors related to finger dexterity, revealing neuroplastic adaptation to repetitive movements. To give an objective evaluation of all cited physiological aspects, this work proposes a measurement architecture consisting of the following: (i) a novel measurement protocol to assess the coordinative and conditional capabilities of a population of participants; (ii) a suitable measurement platform, consisting of synchronized and non-invasive inertial sensors to be worn at finger level; (iii) a data analysis processing stage, able to provide the final user (medical doctor or training coach) with a plethora of useful information about the carried-out tests, going far beyond state-of-the-art results from classical tapping test examinations. Particularly, the proposed study underscores the importance interdigital autonomy for complex finger motions, despite the challenges posed by anatomical connections; this deepens our understanding of upper limb coordination and the impact of neuroplasticity, holding significance for motor abilities assessment, improvement, and therapeutic strategies to enhance finger precision. The proof-of-concept test is performed by considering a population of college students. The obtained results allow us to consider the proposed architecture to be valuable for many application scenarios, such as the ones related to neurodegenerative disease evolution monitoring.",2024,IMU sensors; coordinative abilities; hand dexterity; measurement platform; neuroplasticity; tapping test,Humans; Fingers; Hand; Motor Skills; Biomechanical Phenomena; Movement; Male; Adult; Female; Psychomotor Performance,"Di Libero, T; Carissimo, C; Cerro, G; Abbatecola, AM; Marino, A; Miele, G; Ferrigno, L; Rodio, A"
Characterization of local white matter microstructural alterations in Alzheimer's disease: A reproducible study.,"Alzheimer's disease (AD) is a neurodegenerative disease with a close association with microstructural alterations in white matter (WM). Current studies lack the characterization and further validation of specific regions in WM fiber tracts in AD. This study subdivided fiber tracts into multiple fiber clusters on the basis of automated fiber clustering and performed quantitative analysis along the fiber clusters to identify local WM microstructural alterations in AD. Diffusion tensor imaging data from a public dataset (53 patients with AD and 70 healthy controls [HCs]) and a clinical dataset (27 patients with AD and 19 HCs) were included for mutual validation. Whole-brain tractograms were automatically subdivided into 800 clusters through the automatic fiber clustering approach. Then, 100 segments were divided along the clusters, and the diffusion properties of each segment were calculated. Results showed that patients with AD had significantly lower fraction anisotropy (FA) and significantly higher mean diffusivity (MD) in some regions of the fiber clusters in the cingulum bundle, uncinate fasciculus, external capsule, and corpus callosum than HCs. Importantly, these changes were reproducible across the two datasets. Correlation analysis revealed a positive correlation between FA and Mini-Mental State Examination (MMSE) scores and a negative correlation between MD and MMSE in these clusters. The accuracy of the constructed classifier reached 89.76% with an area under the curve of 0.93. This finding indicates that this study can effectively identify local WM microstructural changes in AD and provides new insight into the analysis and diagnosis of WM abnormalities in patients with AD.",2024,Alzheimer’s disease; Automated fiber clustering; Diffusion magnetic resonance imaging; White matter,,"Wen, C; Zeng, Q; Zhou, R; Xie, L; Yu, J; Zhang, C; Wang, J; Yu, Y; Gu, Y; Cao, G; Feng, Y; Wang, M"
The Case of the Cookie Jar: Differences in Typical Language Use in Dementia.,Findings from language sample analyses can provide efficient and effective indicators of cognitive impairment in older adults.,2024,Alzheimer’s disease; language; mild cognitive impairment; speech,,"Fromm, D; Dalton, SG; Brick, A; Olaiya, G; Hill, S; Greenhouse, J; MacWhinney, B"
Evaluation of core Biomarkers of Alzheimer's disease in saliva and plasma measured by chemiluminescent enzyme immunoassays on a fully automated platform.,"Cerebrospinal fluid (CSF) core biomarkers of Alzheimer's disease (AD), including amyloid peptide beta-42 (Aβ42), Aβ42/40 ratio, and phosphorylated tau (pTau), are precious tools for supporting AD diagnosis. However, their use in clinical practice is limited due to the invasiveness of CSF collection. Thus, there is intensive research to find alternative, noninvasive, and widely accessible biological matrices to measure AD core biomarkers. In this study, we measured AD core biomarkers in saliva and plasma by a fully automated platform. We enrolled all consecutive patients with cognitive decline. For each patient, we measured Aβ42, Aβ40, and pTau levels in CSF, saliva, and plasma by Lumipulse G1200 (Fujirebio). We included forty-two patients, of whom 27 had AD. Levels of all biomarkers significantly differed in the three biofluids, with saliva having the lowest and CSF the highest levels of Aβ42, Aβ40, and pTau. A positive correlation of pTau, Aβ42/40 ratio, and pTau/Aβ42 ratio levels in CSF and plasma was detected, while no correlation between any biomarker in CSF and saliva was found. Our findings suggest that plasma but not saliva could represent a surrogate biofluid for measuring core AD biomarkers. Specifically, plasma Aβ42/40 ratio, pTau/Aβ42 ratio, and pTau could serve as surrogates of the corresponding CSF biomarkers.",2024,AD; Beta-amyloid; Biomarker; Fujirebio; Plasma; Saliva; Tau,"Humans; Alzheimer Disease; Saliva; Biomarkers; Female; Male; Aged; Amyloid beta-Peptides; tau Proteins; Middle Aged; Peptide Fragments; Luminescent Measurements; Aged, 80 and over","Agnello, L; Giglio, RV; Del Ben, F; Piccoli, T; Colletti, T; Scazzone, C; Lo Sasso, B; Ciaccio, AM; Gambino, CM; Salemi, G; Ciaccio, M"
Improving brain atrophy quantification with deep learning from automated labels using tissue similarity priors.,"Brain atrophy measurements derived from magnetic resonance imaging (MRI) are a promising marker for the diagnosis and prognosis of neurodegenerative pathologies such as Alzheimer's disease or multiple sclerosis. However, its use in individualized assessments is currently discouraged due to a series of technical and biological issues. In this work, we present a deep learning pipeline for segmentation-based brain atrophy quantification that improves upon the automated labels of the reference method from which it learns. This goal is achieved through tissue similarity regularization that exploits the a priori knowledge that scans from the same subject made within a short interval must have similar tissue volumes. To train the presented pipeline, we use unlabeled pairs of T1-weighted MRI scans having a tissue similarity prior, and generate the target brain tissue segmentations in a fully automated manner using the fsl_anat pipeline implemented in the FMRIB Software Library (FSL). Tissue similarity regularization is enforced during training through a weighted loss term that penalizes tissue volume differences between short-interval scan pairs from the same subject. In inference, the pipeline performs end-to-end skull stripping and brain tissue segmentation from a single T1-weighted MRI scan in its native space, i.e., without performing image interpolation. For longitudinal evaluation, each image is independently segmented first, and then measures of change are computed. We evaluate the presented pipeline in two different MRI datasets, MIRIAD and ADNI1, which have longitudinal and short-interval imaging from healthy controls (HC) and Alzheimer's disease (AD) subjects. In short-interval scan pairs, tissue similarity regularization reduces the quantification error and improves the consistency of measured tissue volumes. In the longitudinal case, the proposed pipeline shows reduced variability of atrophy measures and higher effect sizes of differences in annualized rates between HC and AD subjects. Our pipeline obtains a Cohen's d effect size of d=2.07 on the MIRIAD dataset, an increase from the reference pipeline used to train it (d=1.01), and higher than that of SIENA (d=1.73), a well-known state-of-the-art approach. In the ADNI1 dataset, the proposed pipeline improves its effect size (d=1.37) with respect to the reference pipeline (d=0.80) and surpasses SIENA (d=1.33). The proposed data-driven deep learning regularization reduces the biases and systematic errors learned from the reference segmentation method, which is used to generate the training targets. Improving the accuracy and reliability of atrophy quantification methods is essential to unlock brain atrophy as a diagnostic and prognostic marker in neurodegenerative pathologies.",2024,Brain atrophy quantification; Brain tissue segmentation; Deep learning; Magnetic resonance imaging,,"Clèrigues, A; Valverde, S; Oliver, A; Lladó, X"
Can white matter hyperintensities based Fazekas visual assessment scales inform about Alzheimer's disease pathology in the population?,"White matter hyperintensities (WMH) are considered hallmark features of cerebral small vessel disease and have recently been linked to Alzheimer's disease (AD) pathology. Their distinct spatial distributions, namely periventricular versus deep WMH, may differ by underlying age-related and pathobiological processes contributing to cognitive decline. We aimed to identify the spatial patterns of WMH using the 4-scale Fazekas visual assessment and explore their differential association with age, vascular health, AD imaging markers, namely amyloid and tau burden, and cognition. Because our study consisted of scans from GE and Siemens scanners with different resolutions, we also investigated inter-scanner reproducibility and combinability of WMH measurements on imaging.",2024,Alzheimer’s disease; Deep white matter hyperintensity; Fazekas score; Periventricular white matter hyperintensity; White matter hyperintensities,"Humans; Alzheimer Disease; Female; Male; Aged; White Matter; Magnetic Resonance Imaging; Aged, 80 and over; Positron-Emission Tomography; Reproducibility of Results; Middle Aged; tau Proteins; Brain","Pradeep, A; Raghavan, S; Przybelski, SA; Preboske, GM; Schwarz, CG; Lowe, VJ; Knopman, DS; Petersen, RC; Jack, CR; Graff-Radford, J; Cogswell, PM; Vemuri, P"
