title,abstract,publication_year,keywords,mesh_terms,authors
Characterization of local white matter microstructural alterations in Alzheimer's disease: A reproducible study.,"Alzheimer's disease (AD) is a neurodegenerative disease with a close association with microstructural alterations in white matter (WM). Current studies lack the characterization and further validation of specific regions in WM fiber tracts in AD. This study subdivided fiber tracts into multiple fiber clusters on the basis of automated fiber clustering and performed quantitative analysis along the fiber clusters to identify local WM microstructural alterations in AD. Diffusion tensor imaging data from a public dataset (53 patients with AD and 70 healthy controls [HCs]) and a clinical dataset (27 patients with AD and 19 HCs) were included for mutual validation. Whole-brain tractograms were automatically subdivided into 800 clusters through the automatic fiber clustering approach. Then, 100 segments were divided along the clusters, and the diffusion properties of each segment were calculated. Results showed that patients with AD had significantly lower fraction anisotropy (FA) and significantly higher mean diffusivity (MD) in some regions of the fiber clusters in the cingulum bundle, uncinate fasciculus, external capsule, and corpus callosum than HCs. Importantly, these changes were reproducible across the two datasets. Correlation analysis revealed a positive correlation between FA and Mini-Mental State Examination (MMSE) scores and a negative correlation between MD and MMSE in these clusters. The accuracy of the constructed classifier reached 89.76% with an area under the curve of 0.93. This finding indicates that this study can effectively identify local WM microstructural changes in AD and provides new insight into the analysis and diagnosis of WM abnormalities in patients with AD.",2024,Alzheimer’s disease; Automated fiber clustering; Diffusion magnetic resonance imaging; White matter,,"Wen, C; Zeng, Q; Zhou, R; Xie, L; Yu, J; Zhang, C; Wang, J; Yu, Y; Gu, Y; Cao, G; Feng, Y; Wang, M"
Optimized efficient attention-based network for facial expressions analysis in neurological health care.,"Facial Expression Analysis (FEA) plays a vital role in diagnosing and treating early-stage neurological disorders (NDs) like Alzheimer's and Parkinson's. Manual FEA is hindered by expertise, time, and training requirements, while automatic methods confront difficulties with real patient data unavailability, high computations, and irrelevant feature extraction. To address these challenges, this paper proposes a novel approach: an efficient, lightweight convolutional block attention module (CBAM) based deep learning network (DLN) to aid doctors in diagnosing ND patients. The method comprises two stages: data collection of real ND patients, and pre-processing, involving face detection and an attention-enhanced DLN for feature extraction and refinement. Extensive experiments with validation on real patient data showcase compelling performance, achieving an accuracy of up to 73.2%. Despite its efficacy, the proposed model is lightweight, occupying only 3MB, making it suitable for deployment on resource-constrained mobile healthcare devices. Moreover, the method exhibits significant advancements over existing FEA approaches, holding tremendous promise in effectively diagnosing and treating ND patients. By accurately recognizing emotions and extracting relevant features, this approach empowers medical professionals in early ND detection and management, overcoming the challenges of manual analysis and heavy models. In conclusion, this research presents a significant leap in FEA, promising to enhance ND diagnosis and care.The code and data used in this work are available at: https://github.com/munsif200/Neurological-Health-Care.",2024,Deep learning; Facial expression analysis; Information processing; Mobile health care; Neurological disorder; Parkinson,,"Munsif, M; Sajjad, M; Ullah, M; Tarekegn, AN; Cheikh, FA; Tsakanikas, P; Muhammad, K"
Assessing CT-based Volumetric Analysis via Transfer Learning with MRI and Manual Labels for Idiopathic Normal Pressure Hydrocephalus.,"Brain computed tomography (CT) is an accessible and commonly utilized technique for assessing brain structure. In cases of idiopathic normal pressure hydrocephalus (iNPH), the presence of ventriculomegaly is often neuroradiologically evaluated by visual rating and manually measuring each image. Previously, we have developed and tested a deep-learning-model that utilizes transfer learning from magnetic resonance imaging (MRI) for CT-based intracranial tissue segmentation. Accordingly, herein we aimed to enhance the segmentation of ventricular cerebrospinal fluid (VCSF) in brain CT scans and assess the performance of automated brain CT volumetrics in iNPH patient diagnostics.",2024,CNNs; CT; MRI; deep learning; hydrocephalus; volumetry,,"Srikrishna, M; Seo, W; Zettergren, A; Kern, S; Cantré, D; Gessler, F; Sotoudeh, H; Seidlitz, J; Bernstock, JD; Wahlund, LO; Westman, E; Skoog, I; Virhammar, J; Fällmar, D; Schöll, M"
Artificial intelligence in Parkinson's disease: Early detection and diagnostic advancements.,"Parkinson's disease (PD) is the second most common neurodegenerative disorder, globally affecting men and women at an exponentially growing rate, with currently no cure. Disease progression starts when dopaminergic neurons begin to die. In PD, the loss of neurotransmitter, dopamine is responsible for the overall communication of neural cells throughout the body. Clinical symptoms of PD are slowness of movement, involuntary muscular contractions, speech & writing changes, lessened automatic movement, and chronic tremors in the body. PD occurs in both familial and sporadic forms and modifiable and non-modifiable risk factors and socioeconomic conditions cause PD. Early detectable diagnostics and treatments have been developed in the last several decades. However, we still do not have precise early detectable biomarkers and therapeutic agents/drugs that prevent and/or delay the disease process. Recently, artificial intelligence (AI) science and machine learning tools have been promising in identifying early detectable markers with a greater rate of accuracy compared to past forms of treatment and diagnostic processes. Artificial intelligence refers to the intelligence exhibited by machines or software, distinct from the intelligence observed in humans that is based on neural networks in a form and can be used to diagnose the longevity and disease severity of disease. The term Machine Learning or Neural Networks is a blanket term used to identify an emerging technology that is created to work in the way of a ""human brain"" using many intertwined neurons to achieve the same level of raw intelligence as that of a brain. These processes have been used for neurodegenerative diseases such as Parkinson's disease and Alzheimer's disease, to assess the severity of the patient's condition. In the current article, we discuss the prevalence and incidence of PD, and currently available diagnostic biomarkers and therapeutic strategies. We also highlighted currently available artificial intelligence science and machine learning tools and their applications to detect disease and develop therapeutic interventions.",2024,Artificial intelligence; Early detectable biomarkers; Machine learning tools; Parkinson’s disease; Therapeutic strategies,,"Reddy, A; Reddy, RP; Roghani, AK; Garcia, RI; Khemka, S; Pattoor, V; Jacob, M; Reddy, PH; Sehar, U"
Quantifying impairment and disease severity using AI models trained on healthy subjects.,"Automatic assessment of impairment and disease severity is a key challenge in data-driven medicine. We propose a framework to address this challenge, which leverages AI models trained exclusively on healthy individuals. The COnfidence-Based chaRacterization of Anomalies (COBRA) score exploits the decrease in confidence of these models when presented with impaired or diseased patients to quantify their deviation from the healthy population. We applied the COBRA score to address a key limitation of current clinical evaluation of upper-body impairment in stroke patients. The gold-standard Fugl-Meyer Assessment (FMA) requires in-person administration by a trained assessor for 30-45 minutes, which restricts monitoring frequency and precludes physicians from adapting rehabilitation protocols to the progress of each patient. The COBRA score, computed automatically in under one minute, is shown to be strongly correlated with the FMA on an independent test cohort for two different data modalities: wearable sensors (ρ = 0.814, 95% CI [0.700,0.888]) and video (ρ = 0.736, 95% C.I [0.584, 0.838]). To demonstrate the generalizability of the approach to other conditions, the COBRA score was also applied to quantify severity of knee osteoarthritis from magnetic-resonance imaging scans, again achieving significant correlation with an independent clinical assessment (ρ = 0.644, 95% C.I [0.585,0.696]).",2024,,,"Yu, B; Kaku, A; Liu, K; Parnandi, A; Fokas, E; Venkatesan, A; Pandit, N; Ranganath, R; Schambra, H; Fernandez-Granda, C"
An Overview of the ADReSS-M Signal Processing Grand Challenge on Multilingual Alzheimer's Dementia Recognition Through Spontaneous Speech.,"The ADReSS-M Signal Processing Grand Challenge was held at the 2023 IEEE International Conference on Acoustics, Speech and Signal Processing, ICASSP 2023. The challenge targeted difficult automatic prediction problems of great societal and medical relevance, namely, the detection of Alzheimer's Dementia (AD) and the estimation of cognitive test scoress. Participants were invited to create models for the assessment of cognitive function based on spontaneous speech data. Most of these models employed signal processing and machine learning methods. The ADReSS-M challenge was designed to assess the extent to which predictive models built based on speech in one language generalise to another language. The language data compiled and made available for ADReSS-M comprised English, for model training, and Greek, for model testing and validation. To the best of our knowledge no previous shared research task investigated acoustic features of the speech signal or linguistic characteristics in the context of multilingual AD detection. This paper describes the context of the ADReSS-M challenge, its data sets, its predictive tasks, the evaluation methodology we employed, our baseline models and results, and the top five submissions. The paper concludes with a summary discussion of the ADReSS-M results, and our critical assessment of the future outlook in this field.",2024,Alzheimer’s disease; Biomedical signal processing; human disease biomarkers; medical conditions; multilingual Alzheimer’s dementia detection; natural language processing; speech processing,,"Luz, S; Haider, F; Fromm, D; Lazarou, I; Kompatsiaris, I; Macwhinney, B"
Prolonged ventricular repolarization associated with mild cognitive impairment and white matter hyperintensities: a cross-sectional study.,"Prolonged ventricular repolarization has been associated with cardiovascular disease. We sought to investigate the association of prolonged ventricular repolarization with mild cognitive impairment (MCI) and the potential underlying neuropathological mechanisms in older adults. This cross-sectional study included 4328 dementia-free participants (age ≥ 65 years; 56.8% female) in the baseline examination of the Multidomain INterventions to delay dementia and Disability in rural China; of these, 989 undertook structural brain magnetic resonance imaging (MRI) scans. QT, QTc, JT, JTc, and QRS intervals were derived from 12-lead electrocardiograph. MCI, amnestic MCI (aMCI), and non-amnestic MCI (naMCI) were defined following the Petersen's criteria. Volumes of gray matter (GM), white matter, cerebrospinal fluid, total white matter hyperintensities (WMH), periventricular WMH (PWMH), and deep WMH (DWMH) were automatically estimated. Data were analyzed using logistic and general linear regression models. Prolonged QT, QTc, JT, and JTc intervals were significantly associated with an increased likelihood of MCI and aMCI, but not naMCI (p < 0.05). In the MRI subsample, QT, QTc, JT, and JTc intervals were significantly associated with larger total WMH and PWMH volumes (p < 0.05), but not with DWMH volume. Statistical interactions were detected, such that prolonged QT and JT intervals were significantly associated with reduced GM volume only among participants with coronary heart disease or without APOE ε4 allele (p < 0.05). Prolonged ventricular repolarization is associated with MCI and cerebral microvascular lesions in a general population of older adults. This underlies the importance of cognitive assessments and brain MRI examination among older adults with prolonged QT interval.",2024,Cross-sectional study; Electrocardiogram; Mild cognitive impairment; Prolonged ventricular repolarization; White matter hyperintensities,"Humans; Cognitive Dysfunction; Female; Male; Aged; Cross-Sectional Studies; White Matter; Magnetic Resonance Imaging; Electrocardiography; Aged, 80 and over; Gray Matter; China","Mao, M; Wei, Y; Wang, C; Han, X; Liu, R; Dong, Y; Song, L; Cong, L; Wang, Y; Du, Y; Qiu, C"
Cortex-to-caudate volume ratio as a predictor of cognitive decline in Alzheimer's disease and mild cognitive impairment.,Brain and cortical atrophy play crucial roles in supporting the clinical diagnosis of Alzheimer's disease (AD). This study hypothesized that the ratios of brain or cortical volume to subcortical gray matter structure volumes are potential imaging markers for cognitive alterations in AD dementia and amnestic mild cognitive impairment (aMCI).,2024,Cognition; Dementia; Image analysis,"Humans; Alzheimer Disease; Male; Female; Cognitive Dysfunction; Aged; Magnetic Resonance Imaging; Cerebral Cortex; Neuropsychological Tests; Aged, 80 and over; Organ Size; Follow-Up Studies; Middle Aged; Disease Progression; Atrophy","Na, S; Kim, T; Song, IU; Hong, YJ; Kim, SH"
Residual-Based Multi-Stage Deep Learning Framework for Computer-Aided Alzheimer's Disease Detection.,"Alzheimer's Disease (AD) poses a significant health risk globally, particularly among the elderly population. Recent studies underscore its prevalence, with over 50% of elderly Japanese facing a lifetime risk of dementia, primarily attributed to AD. As the most prevalent form of dementia, AD gradually erodes brain cells, leading to severe neurological decline. In this scenario, it is important to develop an automatic AD-detection system, and many researchers have been working to develop an AD-detection system by taking advantage of the advancement of deep learning (DL) techniques, which have shown promising results in various domains, including medical image analysis. However, existing approaches for AD detection often suffer from limited performance due to the complexities associated with training hierarchical convolutional neural networks (CNNs). In this paper, we introduce a novel multi-stage deep neural network architecture based on residual functions to address the limitations of existing AD-detection approaches. Inspired by the success of residual networks (ResNets) in image-classification tasks, our proposed system comprises five stages, each explicitly formulated to enhance feature effectiveness while maintaining model depth. Following feature extraction, a deep learning-based feature-selection module is applied to mitigate overfitting, incorporating batch normalization, dropout and fully connected layers. Subsequently, machine learning (ML)-based classification algorithms, including Support Vector Machines (SVM), Random Forest (RF) and SoftMax, are employed for classification tasks. Comprehensive evaluations conducted on three benchmark datasets, namely ADNI1: Complete 1Yr 1.5T, MIRAID and OASIS Kaggle, demonstrate the efficacy of our proposed model. Impressively, our model achieves accuracy rates of 99.47%, 99.10% and 99.70% for ADNI1: Complete 1Yr 1.5T, MIRAID and OASIS datasets, respectively, outperforming existing systems in binary class problems. Our proposed model represents a significant advancement in the AD-analysis domain.",2024,Alzheimer’s disease; CNN; Random Forest; machine learning; residual network,,"Hassan, N; Musa Miah, AS; Shin, J"
A Telemedicine Analytic Framework for Fully and Semi-automatic Alzheimer's Disease Screening using Clock Drawing Test.,"More than 6 million Americans are at risk for Alzheimer's Disease Related Dementias (ADRD), most of whom are 65 or older. The clock drawing test (CDT) is a quick, simple, and effective technique that has the potential advantage of self-management and screening for ADRD patients. Current CDT-based ADRD screening studies focus more on efficacy, involving many handcrafted features, ignoring data modalities, and lacking validation. This paper aims to propose a unified telemedicine framework for fully and semi-automatic effective early ADRD screening based on multimodal and agile data fusion, focusing on the interpretability and validation of the model by using gradient-weighted class activation mapping (Grad-CAM) and locally linear embedding (LLE). The datasets for this work include 1,662 samples of CDT images and related demographic and cognitive information. The fully automatic case involving only CDT images can achieve the highest AUC of 81% with a 75% recall rate in binary screening. The multimodal data fusion in the semi-automatic case can achieve up to 90% AUC with an 83% recall rate. The visualization of the Convolutional Neural Networks (CNN) shows that it can automatically obtain critical information about the outline, scale, and clock hands from CDT images, and the analysis of structured features shows that the memory test is key to effective ADRD screening.",2024,,,"Bo, W; Sullivan, SS; Zhang, X; Gao, M; Xu, W"
