title,abstract,publication_year,keywords,mesh_terms,authors
Genetic evidence for serum amyloid P component as a drug target in neurodegenerative disorders.,"The mechanisms responsible for neuronal death causing cognitive loss in Alzheimer's disease (AD) and many other dementias are not known. Serum amyloid P component (SAP) is a constitutive plasma protein, which is cytotoxic for cerebral neurones and also promotes formation and persistence of cerebral A",2024,Alzheimer's disease; C-reactive protein‌; Lewy body dementia; genome-wide association study; miridesap; serum amyloid P component,"Humans; Genome-Wide Association Study; Neurodegenerative Diseases; Serum Amyloid P-Component; Alzheimer Disease; Polymorphism, Single Nucleotide; Genetic Predisposition to Disease; Mendelian Randomization Analysis; Biomarkers; tau Proteins; Lewy Body Disease; Male; Female","Schmidt, AF; Finan, C; Chopade, S; Ellmerich, S; Rossor, MN; Hingorani, AD; Pepys, MB"
APOE 5'UTR Methylation Pattern Analysis in Blood and Brain Tissue from Alzheimer's Disease Affected Patients.,"APOE ε4 allele is the major genetic risk factor for Alzheimer's Disease (AD). Furthermore, APOE methylation pattern has been described to be associated with the disease and to follow a bimodal pattern, with a hypermethylated CpG island and a hypomethylated promoter region. However, little is known about the methylation levels in the APOE 5'UTR region. Here, the methylation of two regions (R1 and R2) within APOE 5'UTR was investigated in both peripheral blood mononuclear cells (PBMCs) and hippocampus (HIC) samples to identify differentially methylated CpG sites and to associate clinical, genetic features and cerebrospinal fluid (CSF) biomarkers levels. DNA was extracted from PBMCs of 20 AD and 20 healthy controls (HC) and from 6 AD and 3 HC HIC samples. The methylation analysis was carried out by means of pyrosequencing. In AD PBMCs we found that R1 region displayed a higher methylation level, while the opposite trend was observed in R2. The presence of ε4 allele highlighted a marked increase in R1 methylation level and a decrease in R2. In AD PBMCs and HIC, age progression resulted to be associated with an increase in the methylation level of R1. Lastly, the methylation of a CpG site in R2 was found to be related to CSF biomarkers. Despite the lack of a statistical significance, the outcome from this exploratory analysis highlighted the presence of a difference in methylation in APOE 5'UTR in PBMCs of AD patients which seemed to be associated also with APOE genotype, age and CSF biomarkers level.",2024,,,"Gerlando, RD; Dragoni, F; Rizzo, B; Ferrari, RR; Zardini, E; Ramusino, MC; Perini, G; Costa, A; Poloni, TE; Pansarasa, O; Davin, A; Gagliardi, S"
Mitochondrial DNA abundance in blood is associated with Alzheimer's disease- and dementia-risk.,"The mitochondrial cascade hypothesis of Alzheimer's disease (AD) has been portrayed through molecular, cellular, and animal studies; however large epidemiological studies are lacking. This study aimed to explore the association of mitochondrial DNA copy number (mtDNAcn), a marker representative of mtDNA abundance per cell, with risk of incident all-cause dementia, AD, and vascular dementia diagnosis within 17 years and dementia-related blood biomarkers (P-tau181, GFAP, and NfL). Additionally, sex-stratified analyses were completed. In this German population-based cohort study (ESTHER), 9940 participants aged 50-75 years were enrolled by general practitioners and followed for 17 years. Participants were included in this study if information on dementia status and blood-based mtDNAcn measured via real-time polymerase chain reaction were available. In a nested case-control approach, a subsample of participants additionally had measurements of P-tau181, GFAP, and NfL in blood samples taken at baseline. Of 4913 participants eligible for analyses, 386 were diagnosed with incident all-cause dementia, including 130 AD and 143 vascular dementia cases, while 4527 participants remained without dementia diagnosis within 17 years. Participants with low mtDNAcn (lowest 10%) experienced 45% and 65% percent increased risk of incident all-cause dementia and AD after adjusting for age and sex (all-cause dementia: HRadj, 95%CI:1.45, 1.08-1.94; AD: HRadj, 95%CI: 1.65, 1.01-2.68). MtDNAcn was not associated to vascular dementia diagnosis and was more strongly associated with all-cause dementia among women. In the nested case-control study (n = 790), mtDNAcn was not significantly associated with the dementia-related blood biomarkers (P-tau181, GFAP, and NfL) levels in blood from baseline before dementia diagnosis. This study provides novel epidemiological evidence connecting mtDNA abundance, measured via mtDNAcn, to incident dementia and AD at the population-based level. Reduced mitochondrial abundance may play a role in pathogenesis, especially among women.",2024,,,"Stocker, H; Gentiluomo, M; Trares, K; Beyer, L; Stevenson-Hoare, J; Rujescu, D; Holleczek, B; Beyreuther, K; Gerwert, K; Schöttker, B; Campa, D; Canzian, F; Brenner, H"
Prospects and challenges in using neuronal extracellular vesicles in biomarker research.,"Extracellular vesicles (EVs) hold promise as a source of disease biomarkers. The diverse molecular cargo of EVs can potentially indicate the status of their tissue of origin, even against the complex background of whole plasma. The main tools currently available for assessing biomarkers of brain health include brain imaging and analysis of the cerebrospinal fluid of patients. Given the costs and difficulties associated with these methods, isolation of EVs of neuronal origin (NEVs) from the blood is an attractive approach to identify brain-specific biomarkers. This perspective describes current key challenges in EV- and NEV-based biomarker research. These include the relative low abundance of EVs, the lack of validated isolation methods, and the difficult search for an adequate target for immunocapturing NEVs. We discuss that these challenges must be addressed before NEVs can fulfill their potential for biomarker research. HIGHLIGHTS: NEVs are promising sources of biomarkers for brain disorders. Immunocapturing NEVs from complex biofluids presents several challenges. The choice of surface target for capture will determine NEV yield. Contamination by non-EV sources is relevant for biomarkers at low concentrations.",2024,biomarkers; central nervous system; neurodegenerative disorders; neuronal‐enriched extracellular vesicles,,"Rocha, DAS; Santos, LE; Da Fonseca, PB; De Felice, FG"
Diffusion model enables quantitative CBF analysis of Alzheimer's Disease.,"Cerebral blood flow (CBF) measured by arterial spin labeling (ASL) is a promising biomarker for Alzheimer's Disease (AD). ASL data from multiple vendors were included in the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset. However, the M0 images were missing in Siemens ASL data, prohibiting CBF quantification. Here, we utilized a generative diffusion model to impute the missing M0 and validated generated CBF data with acquired data from GE.",2024,,,"Shou, Q; Cen, S; Chen, NK; Ringman, JM; Wen, J; Kim, H; Wang, DJ"
Circulating levels of neurofilament light chain as a biomarker of infarct and white matter hyperintensity volumes after ischemic stroke.,"Serum neurofilament light chain protein (sNfL) shows promise as a biomarker for infarct size in acute ischemic stroke and for monitoring cerebral small vessel disease (cSVD). However, distinguishing the cSVD contribution after stroke may not be possible due to post-stroke sNfL increase. Additionally, it remains unclear if etiologic subtype differences exist. We measured infarct and white matter hyperintensity (WMH) volumes using MRI at the index stroke in ischemic stroke patients (n = 316, mean age 53 years, 65% males) and at 7-year follow-up (n = 187). Serum NfL concentration was measured in the acute phase (n = 235), at 3-months (n = 288), and 7-years (n = 190) post stroke. In multivariable regression, acute and 3-month sNfL concentrations were associated with infarct volume and time since stroke, but not with stroke etiology or infarct location. Seven years post-stroke, sNfL was associated with WMHs and age, but not with stroke etiology. Nonlinear regression estimated that sNfL peaks around 1 month, and declines by 50% at 3 months, and 99% at 9 months. We conclude that sNfL can indicate infarct volume and time since brain injury in the acute and subacute phases after stroke. Due to the significant post-stroke sNfL increase, several months are needed for reliable assessment of cSVD activity.",2024,,Humans; Male; Middle Aged; Female; Neurofilament Proteins; Biomarkers; White Matter; Magnetic Resonance Imaging; Ischemic Stroke; Aged; Cerebral Small Vessel Diseases; Adult,"Holmegaard, L; Jensen, C; Pedersen, A; Blomstrand, C; Blennow, K; Zetterberg, H; Jood, K; Jern, C"
Navigating the Intersection: Diabetes and Alzheimer's Intertwined Relationship.,"Alzheimer's disease (AD) and Diabetes mellitus (DM) exhibit comparable pathophysiological pathways. Genetic abnormalities in APP, PS-1, and PS-2 are linked to AD, with diagnostic aid from CSF and blood biomarkers. Insulin dysfunction, termed ""type 3 diabetes mellitus"" in AD, involves altered insulin signalling and neuronal shrinkage. Insulin influences beta-amyloid metabolism, exacerbating neurotoxicity in AD and amyloid production in DM. Both disorders display impaired glucose transporter expression, hastening cognitive decline. Mitochondrial dysfunction and Toll-like receptor 4-mediated inflammation worsen neurodegeneration in both diseases. ApoE4 raises disease risk, especially when coupled with dyslipidemia common in DM. Targeting shared pathways like insulin-degrading enzyme activation and HSP60 holds promise for therapeutic intervention. Recognizing these interconnected mechanisms underscores the imperative for developing tailored treatments addressing the overlapping pathophysiology of AD and DM, offering potential avenues for more effective management of both conditions.",2024,Alzheimer’s disease; Diabetes mellitus; beta amyloid; insulin resistance; neurodegeneration,,"Kale, MB; Bhondge, HM; Wankhede, NL; Shende, PV; Thanekaer, RP; Aglawe, MM; Rahangdale, SR; Taksande, BG; Pandit, SB; Upaganlawar, AB; Umekar, MJ; Kopalli, SR; Koppula, S"
Assessing cognitive impairment and disability in older adults through the lens of whole brain white matter patterns.,This study aimed to explore the potential of whole brain white matter patterns as novel neuroimaging biomarkers for assessing cognitive impairment and disability in older adults.,2024,MRI and PET imaging; cognitive impairment; functional disability; neurodegeneration; white matter pattern,,"Roh, HW; Chauhan, N; Seo, SW; Choi, SH; Kim, EJ; Cho, SH; Kim, BC; Choi, JW; An, YS; Park, B; Lee, SM; Moon, SY; Nam, YJ; Hong, S; Son, SJ; Hong, CH; Lee, D"
Associations of Circulating Biomarkers with Disease Risks: A Two-Sample Mendelian Randomization Study.,"Circulating biomarkers play a pivotal role in personalized medicine, offering potential for disease screening, prevention, and treatment. Despite established associations between numerous biomarkers and diseases, elucidating their causal relationships is challenging. Mendelian Randomization (MR) can address this issue by employing genetic instruments to discern causal links. Additionally, using multiple MR methods with overlapping results enhances the reliability of discovered relationships. Here, we report an MR study using multiple methods, including inverse variance weighted, simple mode, weighted mode, weighted median, and MR-Egger. We use the MR-base resource (v0.5.6) from Hemani et al. 2018 to evaluate causal relationships between 212 circulating biomarkers (curated from UK Biobank analyses by Neale lab and from Shin et al. 2014, Roederer et al. 2015, and Kettunen et al. 2016 and 99 complex diseases (curated from several consortia by MRC IEU and Biobank Japan). We report novel causal relationships found by four or more MR methods between glucose and bipolar disorder (Mean Effect Size estimate across methods: 0.39) and between cystatin C and bipolar disorder (Mean Effect Size: -0.31). Based on agreement in four or more methods, we also identify previously known links between urate with gout and creatine with chronic kidney disease, as well as biomarkers that may be causal of cardiovascular conditions: apolipoprotein B, cholesterol, LDL, lipoprotein A, and triglycerides in coronary heart disease, as well as lipoprotein A, LDL, cholesterol, and apolipoprotein B in myocardial infarction. This Mendelian Randomization study not only corroborates known causal relationships between circulating biomarkers and diseases but also uncovers two novel biomarkers associated with bipolar disorder that warrant further investigation. Our findings provide insight into understanding how biological processes reflecting circulating biomarkers and their associated effects may contribute to disease etiology, which can eventually help improve precision diagnostics and intervention.",2024,biomarkers; human disease; mendelian randomization; metabolome; proteome,Humans; Mendelian Randomization Analysis; Biomarkers; Bipolar Disorder; Cardiovascular Diseases; Risk Factors; Cystatin C; Gout,"Elmas, A; Spehar, K; Do, R; Castellano, JM; Huang, KL"
Associations between the choroid plexus and tau in Alzheimer's disease using an active learning segmentation pipeline.,"The cerebrospinal fluid (CSF), primarily generated by the choroid plexus (ChP), is the major carrier of the glymphatic system. The alternations of CSF production and the ChP can be associated with the Alzheimer's disease (AD). The present work investigated the roles of the ChP in the AD based on a proposed ChP image segmentation pipeline.",2024,Active learning; Alzheimer’s disease; Cerebrospinal fluid; Choroid plexus; Glymphatic system,"Alzheimer Disease; Humans; tau Proteins; Choroid Plexus; Amyloid beta-Peptides; Male; Female; Aged; Supervised Machine Learning; Biomarkers; Magnetic Resonance Imaging; Image Processing, Computer-Assisted; Middle Aged; Aged, 80 and over","Li, J; Hu, Y; Xu, Y; Feng, X; Meyer, CH; Dai, W; Zhao, L"
