title,abstract,publication_year,keywords,mesh_terms,authors
"Effects of Mobile Intelligent Cognitive Training for Patients with Post-Stroke Cognitive Impairment: A 12-Week, Multicenter, Randomized Controlled Study.",The current application effects of computerized cognitive intervention are inconsistent and limited to hospital rehabilitation settings.,2024,Alzheimer’s disease; cognitive impairment; mobile intelligent cognitive training; rehabilitation; stroke,,"Han, K; Liu, G; Liu, N; Li, J; Li, J; Cui, L; Cheng, M; Long, J; Liao, X; Tang, Z; Liu, Y; Liu, J; Chen, J; Lu, H; Zhang, H"
"Novel measures of cognition and function for the AD spectrum in the Novel Measures for Alzheimer's Disease Prevention Trials (NoMAD) project: Psychometric properties, convergent validation, and contrasts with established measures.","This study derived composite scores for two novel cognitive measures, the No Practice Effect (NPE) battery and the Miami Computerized Functional Skills Assessment and Training system for use in early-stage Alzheimer's disease (AD) clinical trials. Their psychometric properties and associations with AD risk markers were compared to those of well-established measures.",2024,Alzheimer's disease; clinical trial methodology; practice effects; psychometrics,,"Kim, H; Lee, S; Levine, A; Huber, B; Andrews, H; Kerner, NA; Cohen, D; Carlson, S; Bell, SA; Rivera, AM; Gordon, ML; Simoes, S; Devanand, DP; Brickman, AM; Schneider, LS; Harvey, PD; Goldberg, TE"
Reliability and Validity of a Tablet-Based Neuropsychological Test (the Hellocog) for Screening Dementia.,"To address the gap in timely diagnosis of dementia due to limited screening tools, we investigated the validity and reliability of the Hellocog, computerized neuropsychological test based on tablets for screening dementia. The higher the probability score on the Hellocog, the higher the likelihood of dementia.",2024,Dementia; Reliability; Screen; Sensitivity; Specificity; Validity,,"Seok, DH; Yang, HW; Han, JW; Lim, JH; Kim, SH; Kim, EY; Kim, KW"
Comparison of the effect of online physical exercise and computerized cognitive stimulation in patients with Alzheimer's disease during the Covid-19 pandemic.,"To investigate the effect of physical exercise alone and in combination with cognitive stimulation on cognition, physical function, and quality of life in patients with Alzheimer's Disease (PwAD).",2024,Alzheimer's disease; Cognitive stimulation; Physical exercise; Telerehabilitation,,"Akbuga Koc, E; Yazici-Mutlu, Ç; Cinar, N; Sahiner, T"
"The Effect of Computerized Cognitive Training, with and without Exercise, on Cortical Volume and Thickness and Its Association with Gait Speed in Older Adults: A Secondary Analysis of a Randomized Controlled Trial.","Slower walking is associated with changes in cortical volume and thickness. Computerized cognitive training (CCT) and exercise improve cortical volume and thickness and thus, may promote gait speed. Slowing of gait is predictive of Alzheimer's disease.",2024,Alzheimer’s disease; clinical trial; cognitive training; exercise; gait; magnetic resonance imaging,,"Stein, RG; Ten Brinke, LF; Boa Sorte Silva, NC; Hsu, CL; Handy, TC; Hsiung, GR; Liu-Ambrose, T"
The Value of a Virtual Assistant to Improve Engagement in Computerized Cognitive Training at Home: Exploratory Study.,"Impaired cognitive function is observed in many pathologies, including neurodegenerative diseases such as Alzheimer disease. At present, the pharmaceutical treatments available to counter cognitive decline have only modest effects, with significant side effects. A nonpharmacological treatment that has received considerable attention is computerized cognitive training (CCT), which aims to maintain or improve cognitive functioning through repeated practice in standardized exercises. CCT allows for more regular and thorough training of cognitive functions directly at home, which represents a significant opportunity to prevent and fight cognitive decline. However, the presence of assistance during training seems to be an important parameter to improve patients' motivation and adherence to treatment. To compensate for the absence of a therapist during at-home CCT, a relevant option could be to include a virtual assistant to accompany patients throughout their training.",2024,Alzheimer disease; THERADIA; artificial intelligence; cognitive decline; cognitive disorders; cognitive training; conversational agent; digital therapies; mild cognitive impairment; social interaction; virtual health assistant,,"Zsoldos, I; Trân, E; Fournier, H; Tarpin-Bernard, F; Fruitet, J; Fouillen, M; Bailly, G; Elisei, F; Bouchot, B; Constant, P; Ringeval, F; Koenig, O; Chainay, H"
Cognitive Assessment with Cognivue Clarity®: Psychometric Properties and Normative Ranges in a Diverse Population.,Detecting cognitive impairment in clinical practice is challenging as most instruments do not perform well in diverse samples of older adults. These same instruments are often used for eligibility into clinical trials making it difficult to recruit minoritized adults into Alzheimer's disease (AD) studies. Cognivue Clarity® is an FDA-cleared computerized 10-minute cognitive screening platform using adaptive psychophysics to detect cognitive impairment.,2024,Alzheimer’s disease; cognition; cognitive impairment; cognitive testing; neuropsychology,,"Galvin, JE; Chang, LC; Estes, P; Harris, HM; Fung, E"
"Healthcare Needs Patterns and Pattern-Predicting Factors in Dementia: Results of the Comprehensive, Computerized Unmet Needs Assessment from the Randomized, Controlled Interventional Trial InDePendent.",Determining unmet need patterns and associated factors in primary care can potentially specify assessment batteries and tailor interventions in dementia more efficiently.,2024,Alzheimer’s disease; dementia; latent class analysis; primary care; profiles; unmet needs,"Humans; Male; Female; Dementia; Aged; Aged, 80 and over; Needs Assessment; Health Services Needs and Demand; Latent Class Analysis; Independent Living; Middle Aged","Michalowsky, B; Rädke, A; Scharf, A; Mühlichen, F; Buchholz, M; Platen, M; Kleinke, F; Penndorf, P; Pfitzner, S; van den Berg, N; Hoffmann, W"
A Novel Computerized Cognitive Test for the Detection of Mild Cognitive Impairment and Its Association with Neurodegeneration in Alzheimer's Disease Prone Brain Regions.,"During the prodromal stage of Alzheimer's disease (AD), neurodegenerative changes can be identified by measuring volumetric loss in AD-prone brain regions on MRI. Cognitive assessments that are sensitive enough to measure the early brain-behavior manifestations of AD and that correlate with biomarkers of neurodegeneration are needed to identify and monitor individuals at risk for dementia. Weak sensitivity to early cognitive change has been a major limitation of traditional cognitive assessments. In this study, we focused on expanding our previous work by determining whether a digitized cognitive stress test, the Loewenstein-Acevedo Scales for Semantic Interference and Learning, Brief Computerized Version (LASSI-BC) could differentiate between Cognitively Unimpaired (CU) and amnestic Mild Cognitive Impairment (aMCI) groups. A second focus was to correlate LASSI-BC performance to volumetric reductions in AD-prone brain regions. Data was gathered from 111 older adults who were comprehensively evaluated and administered the LASSI-BC. Eighty-seven of these participants (51 CU; 36 aMCI) underwent MR imaging. The volumes of 12 AD-prone brain regions were related to LASSI-BC and other memory tests correcting for False Discovery Rate (FDR). Results indicated that, even after adjusting for initial learning ability, the failure to recover from proactive semantic interference (frPSI) on the LASSI-BC differentiated between CU and aMCI groups. An optimal combination of frPSI and initial learning strength on the LASSI-BC yielded an area under the ROC curve of 0.876 (76.1% sensitivity, 82.7% specificity). Further, frPSI on the LASSI-BC was associated with volumetric reductions in the hippocampus, amygdala, inferior temporal lobes, precuneus, and posterior cingulate.",2023,Cortical Thickness; LASSI-L; MRI Volume; Mild Cognitive Impairment; Proactive Semantic Interference,,"Curiel Cid, RE; Zheng, DD; Kitaigorodsky, M; Adjouadi, M; Crocco, EA; Georgiou, M; Gonzalez-Jimenez, C; Ortega, A; Goryawala, M; Nagornaya, N; Pattany, P; Sfakianaki, E; Visser, U; Loewenstein, DA"
Plant-derived bioactive compounds and their novel role in central nervous system disorder treatment via ATF4 targeting: A systematic literature review.,"Central nervous system (CNS) disorders exhibit exceedingly intricate pathogenic mechanisms. Pragmatic and effective solutions remain elusive, significantly compromising human life and health. Activating transcription factor 4 (ATF4) participates in the regulation of multiple pathophysiological processes, including CNS disorders. Considering the widespread involvement of ATF4 in the pathological process of CNS disorders, the targeted regulation of ATF4 by plant-derived bioactive compounds (PDBCs) may become a viable strategy for the treatment of CNS disorders. However, the regulatory relationship between PDBCs and ATF4 remains incompletely understood. Here, we aimed to comprehensively review the studies on PDBCs targeting ATF4 to ameliorate CNS disorders, thereby offering novel directions and insights for the treatment of CNS disorders. A computerized search was conducted on PubMed, Embase, Web of Science, and Google Scholar databases to identify preclinical experiments related to PDBCs targeting ATF4 for the treatment of CNS disorders. The search timeframe was from the inception of the databases to December 2023. Two assessors conducted searches using the keywords ""ATF4,"" ""Central Nervous System,"" ""Neurological,"" ""Alzheimer's disease,"" ""Parkinson's Disease,"" ""Stroke,"" ""Spinal Cord Injury,"" ""Glioblastoma,"" ""Traumatic Brain Injury,"" and ""Spinal Cord Injury."" Overall, 31 studies were included, encompassing assessments of 27 PDBCs. Combining results from in vivo and in vitro studies, we observed that these PDBCs, via ATF4 modulation, prevent the deposition of amyloid-like fibers such as Aβ, tau, and α-synuclein. They regulate ERS, reduce the release of inflammatory factors, restore mitochondrial membrane integrity to prevent oxidative stress, regulate synaptic plasticity, modulate autophagy, and engage anti-apoptotic mechanisms. Consequently, they exert neuroprotective effects in CNS disorders. Numerous PDBCs targeting ATF4 have shown potential in facilitating the restoration of CNS functionality, thereby presenting expansive prospects for the treatment of such disorders. However, future endeavors necessitate high-quality, large-scale, and comprehensive preclinical and clinical studies to further validate this therapeutic potential.",2024,ATF4; CNS disorders; neuroprotection; plant-derived bioactive compounds; systematic review,Activating Transcription Factor 4; Humans; Central Nervous System Diseases; Animals; Phytochemicals; Neuroprotective Agents,"Zhang, N; Zhang, S; Dong, X"
