title,abstract,publication_year,keywords,mesh_terms,authors
CRY2 mediates the cognitive decline induced by sleep deprivation in 5xFAD mice.,Cryptochrome-2 (CRY2) is a core rhythm gene that plays a crucial role in DNA damage repair. The present study investigated the potential role of CRY2 in mediating sleep deprivation-induced cognitive decline in 5xFAD mice.,2024,,"Animals; Sleep Deprivation; Cognitive Dysfunction; Mice; Cryptochromes; Mice, Transgenic; Male; Positron Emission Tomography Computed Tomography; Disease Models, Animal; Alzheimer Disease; Maze Learning; Brain","Luo, S; Guo, L; Chen, N; Guo, Q; Xie, Y; Wang, Y; Wang, E"
Evaluating the efficacy of few-shot learning for GPT-4Vision in neurodegenerative disease histopathology: A comparative analysis with convolutional neural network model.,"Recent advances in artificial intelligence, particularly with large language models like GPT-4Vision (GPT-4V)-a derivative feature of ChatGPT-have expanded the potential for medical image interpretation. This study evaluates the accuracy of GPT-4V in image classification tasks of histopathological images and compares its performance with a traditional convolutional neural network (CNN).",2024,Alzheimer's disease; ChatGPT; GPT‐4Vision; convolutional neural network; digital pathology; few‐shot learning; large language model; neuropathology,"Humans; Neural Networks, Computer; Neurodegenerative Diseases; Image Interpretation, Computer-Assisted; Alzheimer Disease","Ono, D; Dickson, DW; Koga, S"
Ethnic differences in the effects of apolipoprotein E ɛ4 and vascular risk factors on accelerated brain aging.,"The frequency of the apolipoprotein E ɛ4 allele and vascular risk factors differs among ethnic groups. We aimed to assess the combined effects of apolipoprotein E ɛ4 and vascular risk factors on brain age in Korean and UK cognitively unimpaired populations. We also aimed to determine the differences in the combined effects between the two populations. We enrolled 2314 cognitively unimpaired individuals aged ≥45 years from Korea and 6942 cognitively unimpaired individuals from the UK, who were matched using propensity scores. Brain age was defined using the brain age index. The apolipoprotein E genotype (ɛ4 carriers, ɛ2 carriers and ɛ3/ɛ3 homozygotes) and vascular risk factors (age, hypertension and diabetes) were considered predictors. Apolipoprotein E ɛ4 carriers in the Korean (",2024,APOE ɛ4; brain age; ethnicity; vascular risk factors,,"Im, Y; Kang, SH; Park, G; Yoo, H; Chun, MY; Kim, CH; Park, CJ; Kim, JP; Jang, H; Kim, HJ; Oh, K; Koh, SB; Lee, JM; Na, DL; Seo, SW; Kim, H"
"Peer Support Workers as an Innovative Force in Advocacy in Dementia Care: A Transnational Project Delivered in Norway, Greece, Italy, and Romania.","Peer Support Workers (PSW) as an Innovative Force in Advocacy in Dementia Care (PIA) project aimed to create sustainable and competency-enhancing services for people with dementia by finding new ways to involve former as well as current caregivers in dementia services and, therefore, provide their valuable perspective in dementia care and daily practice.",2024,dementia care; dementia caregivers; peer support workers; training material,,"Tsatali, M; Gaspar De Almeida Santos, A; Makri, M; Santokhie, RT; Boccaletti, L; Caciula, I; Caciula, R; Trogu, G; Tsolaki, M; Johansen, KJ"
Association between Visceral Adipose Tissue Metabolism and Cerebral Glucose Metabolism in Patients with Cognitive Impairment.,Visceral adipose tissue (VAT) dysfunction has been recently recognized as a potential contributor to the development of Alzheimer's disease (AD). This study aimed to explore the relationship between VAT metabolism and cerebral glucose metabolism in patients with cognitive impairment. This cross-sectional prospective study included 54 patients who underwent ,2024,Alzheimer’s disease; cerebral glucose metabolism; cognitive impairment; visceral adipose tissue metabolism,Humans; Male; Female; Intra-Abdominal Fat; Glucose; Aged; Cognitive Dysfunction; Positron Emission Tomography Computed Tomography; Fluorodeoxyglucose F18; Cross-Sectional Studies; Brain; Middle Aged; Prospective Studies; Alzheimer Disease; Neuropsychological Tests,"Yu, MH; Lim, JS; Yi, HA; Won, KS; Kim, HW"
A pathologic study of Perivascular pTDP-43 Lin bodies in LATE-NC.,"TAR DNA-Binding Protein 43 (TDP-43) pathological inclusions are a distinctive feature in dozens of neurodegenerative pathologies, including limbic-predominant age-related TDP-43 encephalopathy neuropathologic change (LATE-NC). Prior investigations identified vascular-associated TDP-43-positive micro-lesions, known as ""Lin bodies,"" located on or near the brain capillaries of some individuals with LATE-NC. This study aimed to investigate the relationship between the accumulation of Lin bodies and glial cells in LATE-NC and the potential co-localization with ferritin, a protein associated with iron storage. Using multiplexed immunohistochemistry and digital pathology tools, we conducted pathological analyses to investigate the relationship between Lin bodies and glial markers (GFAP for astrocytes, IBA1 for microglia) and ferritin. Analyses were conducted on post-mortem brain tissues collected from individuals with pathologically confirmed Alzheimer's disease neuropathological changes (ADNC) and LATE-NC.",2024,Alzheimer’s disease; Astrocyte; Iron; LATE-NC; Microglia; TDP-43,"Humans; Male; Female; DNA-Binding Proteins; Aged; Aged, 80 and over; Brain; Ferritins; Glial Fibrillary Acidic Protein; Inclusion Bodies; Alzheimer Disease; Astrocytes; TDP-43 Proteinopathies; Neuroglia; Middle Aged; Dementia","Shahidehpour, RK; Nelson, PT; Bachstetter, AD"
Comparative analysis of quantitative susceptibility mapping in preclinical dementia detection.,"This review aims to explore the role of Quantitative Susceptibility Mapping (QSM) in the early detection of neurodegenerative diseases, particularly Alzheimer's disease (AD) and Lewy body dementia (LBD). By examining QSM's ability to map brain iron deposition, we seek to highlight its potential as a diagnostic tool for preclinical dementia.",2024,Alzheimer’s disease; Brain iron Levels; Fronto temporal dementia (FTD); Lewis body dementia (LBD); Microstructural changes; Pre-clinical dementia; Quantitative susceptibility mapping (QSM),,"Suresh Paul, J; T, AR; Raghavan, S; Kesavadas, C"
Optimized efficient attention-based network for facial expressions analysis in neurological health care.,"Facial Expression Analysis (FEA) plays a vital role in diagnosing and treating early-stage neurological disorders (NDs) like Alzheimer's and Parkinson's. Manual FEA is hindered by expertise, time, and training requirements, while automatic methods confront difficulties with real patient data unavailability, high computations, and irrelevant feature extraction. To address these challenges, this paper proposes a novel approach: an efficient, lightweight convolutional block attention module (CBAM) based deep learning network (DLN) to aid doctors in diagnosing ND patients. The method comprises two stages: data collection of real ND patients, and pre-processing, involving face detection and an attention-enhanced DLN for feature extraction and refinement. Extensive experiments with validation on real patient data showcase compelling performance, achieving an accuracy of up to 73.2%. Despite its efficacy, the proposed model is lightweight, occupying only 3MB, making it suitable for deployment on resource-constrained mobile healthcare devices. Moreover, the method exhibits significant advancements over existing FEA approaches, holding tremendous promise in effectively diagnosing and treating ND patients. By accurately recognizing emotions and extracting relevant features, this approach empowers medical professionals in early ND detection and management, overcoming the challenges of manual analysis and heavy models. In conclusion, this research presents a significant leap in FEA, promising to enhance ND diagnosis and care.The code and data used in this work are available at: https://github.com/munsif200/Neurological-Health-Care.",2024,Deep learning; Facial expression analysis; Information processing; Mobile health care; Neurological disorder; Parkinson,,"Munsif, M; Sajjad, M; Ullah, M; Tarekegn, AN; Cheikh, FA; Tsakanikas, P; Muhammad, K"
Identification of Parkinson's disease PACE subtypes and repurposing treatments through integrative analyses of multimodal data.,"Parkinson's disease (PD) is a serious neurodegenerative disorder marked by significant clinical and progression heterogeneity. This study aimed at addressing heterogeneity of PD through integrative analysis of various data modalities. We analyzed clinical progression data (≥5 years) of individuals with de novo PD using machine learning and deep learning, to characterize individuals' phenotypic progression trajectories for PD subtyping. We discovered three pace subtypes of PD exhibiting distinct progression patterns: the Inching Pace subtype (PD-I) with mild baseline severity and mild progression speed; the Moderate Pace subtype (PD-M) with mild baseline severity but advancing at a moderate progression rate; and the Rapid Pace subtype (PD-R) with the most rapid symptom progression rate. We found cerebrospinal fluid P-tau/α-synuclein ratio and atrophy in certain brain regions as potential markers of these subtypes. Analyses of genetic and transcriptomic profiles with network-based approaches identified molecular modules associated with each subtype. For instance, the PD-R-specific module suggested STAT3, FYN, BECN1, APOA1, NEDD4, and GATA2 as potential driver genes of PD-R. It also suggested neuroinflammation, oxidative stress, metabolism, PI3K/AKT, and angiogenesis pathways as potential drivers for rapid PD progression (i.e., PD-R). Moreover, we identified repurposable drug candidates by targeting these subtype-specific molecular modules using network-based approach and cell line drug-gene signature data. We further estimated their treatment effects using two large-scale real-world patient databases; the real-world evidence we gained highlighted the potential of metformin in ameliorating PD progression. In conclusion, this work helps better understand clinical and pathophysiological complexity of PD progression and accelerate precision medicine.",2024,,,"Su, C; Hou, Y; Xu, J; Xu, Z; Zhou, M; Ke, A; Li, H; Xu, J; Brendel, M; Maasch, JRMA; Bai, Z; Zhang, H; Zhu, Y; Cincotta, MC; Shi, X; Henchcliffe, C; Leverenz, JB; Cummings, J; Okun, MS; Bian, J; Cheng, F; Wang, F"
"Identification of retinal oligomeric, citrullinated, and other tau isoforms in early and advanced AD and relations to disease status.","This study investigates various pathological tau isoforms in the retina of individuals with early and advanced Alzheimer's disease (AD), exploring their connection with disease status. Retinal cross-sections from predefined superior-temporal and inferior-temporal subregions and corresponding brains from neuropathologically confirmed AD patients with a clinical diagnosis of either mild cognitive impairment (MCI) or dementia (n = 45) were compared with retinas from age- and sex-matched individuals with normal cognition (n = 30) and non-AD dementia (n = 4). Retinal tau isoforms, including tau tangles, paired helical filament of tau (PHF-tau), oligomeric-tau (Oligo-tau), hyperphosphorylated-tau (p-tau), and citrullinated-tau (Cit-tau), were stereologically analyzed by immunohistochemistry and Nanostring GeoMx digital spatial profiling, and correlated with clinical and neuropathological outcomes. Our data indicated significant increases in various AD-related pretangle tau isoforms, especially p-tau (AT8, 2.9-fold, pS396-tau, 2.6-fold), Cit-tau at arginine residue 209 (CitR",2024,Dementia with Lewy bodies; Eye; Frontotemporal lobar dementia; Neurodegenerative diseases; Retinal biomarkers; Tauopathy,"Humans; tau Proteins; Male; Female; Aged; Alzheimer Disease; Retina; Protein Isoforms; Aged, 80 and over; Cognitive Dysfunction; Middle Aged; Neurofibrillary Tangles; Brain","Shi, H; Mirzaei, N; Koronyo, Y; Davis, MR; Robinson, E; Braun, GM; Jallow, O; Rentsendorj, A; Ramanujan, VK; Fert-Bober, J; Kramerov, AA; Ljubimov, AV; Schneider, LS; Tourtellotte, WG; Hawes, D; Schneider, JA; Black, KL; Kayed, R; Selenica, MB; Lee, DC; Fuchs, DT; Koronyo-Hamaoui, M"
