title,abstract,publication_year,keywords,mesh_terms,authors
Comparative analysis of quantitative susceptibility mapping in preclinical dementia detection.,"This review aims to explore the role of Quantitative Susceptibility Mapping (QSM) in the early detection of neurodegenerative diseases, particularly Alzheimer's disease (AD) and Lewy body dementia (LBD). By examining QSM's ability to map brain iron deposition, we seek to highlight its potential as a diagnostic tool for preclinical dementia.",2024,Alzheimer’s disease; Brain iron Levels; Fronto temporal dementia (FTD); Lewis body dementia (LBD); Microstructural changes; Pre-clinical dementia; Quantitative susceptibility mapping (QSM),,"Suresh Paul, J; T, AR; Raghavan, S; Kesavadas, C"
Identification of Parkinson's disease PACE subtypes and repurposing treatments through integrative analyses of multimodal data.,"Parkinson's disease (PD) is a serious neurodegenerative disorder marked by significant clinical and progression heterogeneity. This study aimed at addressing heterogeneity of PD through integrative analysis of various data modalities. We analyzed clinical progression data (≥5 years) of individuals with de novo PD using machine learning and deep learning, to characterize individuals' phenotypic progression trajectories for PD subtyping. We discovered three pace subtypes of PD exhibiting distinct progression patterns: the Inching Pace subtype (PD-I) with mild baseline severity and mild progression speed; the Moderate Pace subtype (PD-M) with mild baseline severity but advancing at a moderate progression rate; and the Rapid Pace subtype (PD-R) with the most rapid symptom progression rate. We found cerebrospinal fluid P-tau/α-synuclein ratio and atrophy in certain brain regions as potential markers of these subtypes. Analyses of genetic and transcriptomic profiles with network-based approaches identified molecular modules associated with each subtype. For instance, the PD-R-specific module suggested STAT3, FYN, BECN1, APOA1, NEDD4, and GATA2 as potential driver genes of PD-R. It also suggested neuroinflammation, oxidative stress, metabolism, PI3K/AKT, and angiogenesis pathways as potential drivers for rapid PD progression (i.e., PD-R). Moreover, we identified repurposable drug candidates by targeting these subtype-specific molecular modules using network-based approach and cell line drug-gene signature data. We further estimated their treatment effects using two large-scale real-world patient databases; the real-world evidence we gained highlighted the potential of metformin in ameliorating PD progression. In conclusion, this work helps better understand clinical and pathophysiological complexity of PD progression and accelerate precision medicine.",2024,,,"Su, C; Hou, Y; Xu, J; Xu, Z; Zhou, M; Ke, A; Li, H; Xu, J; Brendel, M; Maasch, JRMA; Bai, Z; Zhang, H; Zhu, Y; Cincotta, MC; Shi, X; Henchcliffe, C; Leverenz, JB; Cummings, J; Okun, MS; Bian, J; Cheng, F; Wang, F"
"Identification of retinal oligomeric, citrullinated, and other tau isoforms in early and advanced AD and relations to disease status.","This study investigates various pathological tau isoforms in the retina of individuals with early and advanced Alzheimer's disease (AD), exploring their connection with disease status. Retinal cross-sections from predefined superior-temporal and inferior-temporal subregions and corresponding brains from neuropathologically confirmed AD patients with a clinical diagnosis of either mild cognitive impairment (MCI) or dementia (n = 45) were compared with retinas from age- and sex-matched individuals with normal cognition (n = 30) and non-AD dementia (n = 4). Retinal tau isoforms, including tau tangles, paired helical filament of tau (PHF-tau), oligomeric-tau (Oligo-tau), hyperphosphorylated-tau (p-tau), and citrullinated-tau (Cit-tau), were stereologically analyzed by immunohistochemistry and Nanostring GeoMx digital spatial profiling, and correlated with clinical and neuropathological outcomes. Our data indicated significant increases in various AD-related pretangle tau isoforms, especially p-tau (AT8, 2.9-fold, pS396-tau, 2.6-fold), Cit-tau at arginine residue 209 (CitR",2024,Dementia with Lewy bodies; Eye; Frontotemporal lobar dementia; Neurodegenerative diseases; Retinal biomarkers; Tauopathy,"Humans; tau Proteins; Male; Female; Aged; Alzheimer Disease; Retina; Protein Isoforms; Aged, 80 and over; Cognitive Dysfunction; Middle Aged; Neurofibrillary Tangles; Brain","Shi, H; Mirzaei, N; Koronyo, Y; Davis, MR; Robinson, E; Braun, GM; Jallow, O; Rentsendorj, A; Ramanujan, VK; Fert-Bober, J; Kramerov, AA; Ljubimov, AV; Schneider, LS; Tourtellotte, WG; Hawes, D; Schneider, JA; Black, KL; Kayed, R; Selenica, MB; Lee, DC; Fuchs, DT; Koronyo-Hamaoui, M"
Digital Biomarkers for the Assessment of Non-Cognitive Symptoms in Patients with Dementia with Lewy Bodies: A Systematic Review.,"Portable digital health technologies (DHTs) could help evaluate non-cognitive symptoms, but evidence to support their use in patients with dementia with Lewy bodies (DLB) is uncertain.",2024,Alzheimer’s disease; Lewy body disease; biomarkers; dementia; digital health; feasibility studies; symptom assessment; wearable electronic devices,,"Sjaelland, NS; Gramkow, MH; Hasselbalch, SG; Frederiksen, KS"
Longitudinal Assessment of Seasonal Impacts and Depression Associations on Circadian Rhythm Using Multimodal Wearable Sensing: Retrospective Analysis.,"Previous mobile health (mHealth) studies have revealed significant links between depression and circadian rhythm features measured via wearables. However, the comprehensive impact of seasonal variations was not fully considered in these studies, potentially biasing interpretations in real-world settings.",2024,MDD; biological rhythms; circadian rhythm; digital health; mHealth; major depressive disorder; mental health; mobile health; monitoring; wearable,Humans; Seasons; Female; Circadian Rhythm; Male; Wearable Electronic Devices; Adult; Longitudinal Studies; Depression; Middle Aged; Retrospective Studies; Telemedicine,"Zhang, Y; Folarin, AA; Sun, S; Cummins, N; Ranjan, Y; Rashid, Z; Stewart, C; Conde, P; Sankesara, H; Laiou, P; Matcham, F; White, KM; Oetzmann, C; Lamers, F; Siddi, S; Simblett, S; Vairavan, S; Myin-Germeys, I; Mohr, DC; Wykes, T; Haro, JM; Annas, P; Penninx, BW; Narayan, VA; Hotopf, M; Dobson, RJ"
Detection of Mild Cognitive Impairment Through Hand Motor Function Under Digital Cognitive Test: Mixed Methods Study.,"Early detection of cognitive impairment or dementia is essential to reduce the incidence of severe neurodegenerative diseases. However, currently available diagnostic tools for detecting mild cognitive impairment (MCI) or dementia are time-consuming, expensive, or not widely accessible. Hence, exploring more effective methods to assist clinicians in detecting MCI is necessary.",2024,digital cognitive test; dual task; mild cognitive impairment; mobile phone; movement kinetics,"Humans; Cognitive Dysfunction; Male; Female; Aged; Middle Aged; Neuropsychological Tests; Hand; Aged, 80 and over; Surveys and Questionnaires; Qualitative Research","Li, A; Li, J; Chai, J; Wu, W; Chaudhary, S; Zhao, J; Qiang, Y"
Protocol for a double-blind placebo-controlled randomised controlled trial assessing the impact of oral semaglutide in amyloid positivity (ISAP) in community dwelling UK adults.,"Glucagon-like peptide-1 receptor agonists (GLP-1 RAs), currently marketed for type 2 diabetes and obesity, may offer novel mechanisms to delay or prevent neurotoxicity associated with Alzheimer's disease (AD). The impact of semaglutide in amyloid positivity (ISAP) trial is investigating whether the GLP-1 RA semaglutide reduces accumulation in the brain of cortical tau protein and neuroinflammation in individuals with preclinical/prodromal AD.",2024,dementia; nuclear medicine; protocols & guidelines,"Humans; Glucagon-Like Peptides; Double-Blind Method; Alzheimer Disease; Positron-Emission Tomography; United Kingdom; Administration, Oral; Male; Middle Aged; Female; tau Proteins; Aged; Brain; Randomized Controlled Trials as Topic","Koychev, I; Adler, AI; Edison, P; Tom, B; Milton, JE; Butchart, J; Hampshire, A; Marshall, C; Coulthard, E; Zetterberg, H; Hellyer, P; Cormack, F; Underwood, BR; Mummery, CJ; Holman, RR"
1-Norm waveform analysis for MR elastography-based quantification of inhomogeneity: Effects of the freeze-thaw cycle and Alzheimer's disease.,"Despite its success in the mechanical characterization of biological tissues, magnetic resonance elastography (MRE) uses ill-posed wave inversions to estimate tissue stiffness. 1-Norm has been recently introduced as a mathematical measure for the scattering of mechanical waves due to inhomogeneities based on an analysis of the delineated contours of wave displacement.",2024,1-Norm; Alzheimer's disease; Freezing and thawing; Inhomogeneity; Magnetic resonance elastography,,"Palnitkar, H; Reiter, R; Majumdar, S; Crutison, J; Lin, S; Royston, TJ; Klatt, D"
Sharing brain imaging data in the Open Science era: how and why?,"The sharing of human neuroimaging data has great potential to accelerate the development of imaging biomarkers in neurological and psychiatric disorders; however, major obstacles remain in terms of how and why to share data in the Open Science context. In this Health Policy by the European Cluster for Imaging Biomarkers, we outline the current main opportunities and challenges based on the results of an online survey disseminated among senior scientists in the field. Although the scientific community fully recognises the importance of data sharing, technical, legal, and motivational aspects often prevent active adoption. Therefore, we provide practical advice on how to overcome the technical barriers. We also call for a harmonised application of the General Data Protection Regulation across EU countries. Finally, we suggest the development of a system that makes data count by recognising the generation and sharing of data as a highly valuable contribution to the community.",2024,,Humans; Information Dissemination; Neuroimaging; Brain,"Giehl, K; Mutsaerts, HJ; Aarts, K; Barkhof, F; Caspers, S; Chetelat, G; Colin, ME; Düzel, E; Frisoni, GB; Ikram, MA; Jovicich, J; Morbelli, S; Oertel, W; Paret, C; Perani, D; Ritter, P; Segura, B; Wisse, LEM; De Witte, E; Cappa, SF; van Eimeren, T"
Beyond Macrostructure: Is There a Role for Radiomics Analysis in Neuroimaging ?,"The most commonly used neuroimaging biomarkers of brain structure, particularly in neurodegenerative diseases, have traditionally been summary measurements from ROIs derived from structural MRI, such as volume and thickness. Advances in MR acquisition techniques, including high-field imaging, and emergence of learning-based methods have opened up opportunities to interrogate brain structure in finer detail, allowing investigators to move beyond macrostructural measurements. On the one hand, superior signal contrast has the potential to make appearance-based metrics that directly analyze intensity patterns, such as texture analysis and radiomics features, more reliable. Quantitative MRI, particularly at high-field, can also provide a richer set of measures with greater interpretability. On the other hand, use of neural networks-based techniques has the potential to exploit subtle patterns in images that can now be mined with advanced imaging. Finally, there are opportunities for integration of multimodal data at different spatial scales that is enabled by developments in many of the above techniques-for example, by combining digital histopathology with high-resolution ex-vivo and in-vivo MRI. Some of these approaches are at early stages of development and present their own set of challenges. Nonetheless, they hold promise to drive the next generation of validation and biomarker studies. This article will survey recent developments in this area, with a particular focus on Alzheimer's disease and related disorders. However, most of the discussion is equally relevant to imaging of other neurological disorders, and even to other organ systems of interest. It is not meant to be an exhaustive review of the available literature, but rather presented as a summary of recent trends through the discussion of a collection of representative studies with an eye towards what the future may hold.",2024,Alzheimer’s disease; deep learning; neural networks; neurodegenerative disorders; radiomics,"Humans; Neuroimaging; Magnetic Resonance Imaging; Brain; Image Processing, Computer-Assisted; Neurodegenerative Diseases; Biomarkers; Neural Networks, Computer; Image Interpretation, Computer-Assisted; Radiomics","Das, SR; Ilesanmi, A; Wolk, DA; Gee, JC"
