title,abstract,publication_year,keywords,mesh_terms,authors
Optimized efficient attention-based network for facial expressions analysis in neurological health care.,"Facial Expression Analysis (FEA) plays a vital role in diagnosing and treating early-stage neurological disorders (NDs) like Alzheimer's and Parkinson's. Manual FEA is hindered by expertise, time, and training requirements, while automatic methods confront difficulties with real patient data unavailability, high computations, and irrelevant feature extraction. To address these challenges, this paper proposes a novel approach: an efficient, lightweight convolutional block attention module (CBAM) based deep learning network (DLN) to aid doctors in diagnosing ND patients. The method comprises two stages: data collection of real ND patients, and pre-processing, involving face detection and an attention-enhanced DLN for feature extraction and refinement. Extensive experiments with validation on real patient data showcase compelling performance, achieving an accuracy of up to 73.2%. Despite its efficacy, the proposed model is lightweight, occupying only 3MB, making it suitable for deployment on resource-constrained mobile healthcare devices. Moreover, the method exhibits significant advancements over existing FEA approaches, holding tremendous promise in effectively diagnosing and treating ND patients. By accurately recognizing emotions and extracting relevant features, this approach empowers medical professionals in early ND detection and management, overcoming the challenges of manual analysis and heavy models. In conclusion, this research presents a significant leap in FEA, promising to enhance ND diagnosis and care.The code and data used in this work are available at: https://github.com/munsif200/Neurological-Health-Care.",2024,Deep learning; Facial expression analysis; Information processing; Mobile health care; Neurological disorder; Parkinson,,"Munsif, M; Sajjad, M; Ullah, M; Tarekegn, AN; Cheikh, FA; Tsakanikas, P; Muhammad, K"
"Effects of Mobile Intelligent Cognitive Training for Patients with Post-Stroke Cognitive Impairment: A 12-Week, Multicenter, Randomized Controlled Study.",The current application effects of computerized cognitive intervention are inconsistent and limited to hospital rehabilitation settings.,2024,Alzheimer’s disease; cognitive impairment; mobile intelligent cognitive training; rehabilitation; stroke,,"Han, K; Liu, G; Liu, N; Li, J; Li, J; Cui, L; Cheng, M; Long, J; Liao, X; Tang, Z; Liu, Y; Liu, J; Chen, J; Lu, H; Zhang, H"
Knowledge sharing in virtual communities of practice of family caregivers of people with Alzheimer's.,"Knowledge sharing can only happen in the context of a trusting and supportive environment, such as evolves in communities of practice and their virtual equivalent, virtual communities of practice. The main objective of this study was to understand knowledge sharing between participants in a virtual community of practice of caregivers of people with Alzheimer's.",2024,Alzheimer’s Disease; Family Caregiver; Knowledge sharing; Mobile Application; Shared Community,"Humans; Caregivers; Alzheimer Disease; Male; Information Dissemination; Female; Aged; Middle Aged; Adult; Health Knowledge, Attitudes, Practice","Romero-Mas, M; Cox, AM; Ramon-Aribau, A; Gómez-Zúñiga, B"
"Plasma biomarkers of amyloid, tau, axonal, and neuroinflammation pathologies in dementia with Lewy bodies.","Increasing evidence supports the use of plasma biomarkers of amyloid, tau, neurodegeneration, and neuroinflammation for diagnosis of dementia. However, their performance for positive and differential diagnosis of dementia with Lewy bodies (DLB) in clinical settings is still uncertain.",2024,Alzheimer’s disease; Amyloid pathology; Dementia with Lewy bodies; Plasma biomarkers,"Humans; Lewy Body Disease; tau Proteins; Female; Biomarkers; Male; Aged; Amyloid beta-Peptides; Retrospective Studies; Alzheimer Disease; Middle Aged; Aged, 80 and over; Axons; Neuroinflammatory Diseases; Chitinase-3-Like Protein 1; Glial Fibrillary Acidic Protein; Neurofilament Proteins; Peptide Fragments; Receptors, Immunologic; Diagnosis, Differential; Membrane Glycoproteins","Vrillon, A; Bousiges, O; Götze, K; Demuynck, C; Muller, C; Ravier, A; Schorr, B; Philippi, N; Hourregue, C; Cognat, E; Dumurgier, J; Lilamand, M; Cretin, B; Blanc, F; Paquet, C"
Technology Usability for People Living With Dementia: Concept Analysis.,"Usability is a key indicator of the quality of technology products. In tandem with technological advancements, potential use by individuals with dementia is increasing. However, defining the usability of technology for individuals with dementia remains an ongoing challenge. The diverse and progressive nature of dementia adds complexity to the creation of universal usability criteria, highlighting the need for focused deliberations. Technological interventions offer potential benefits for people living with dementia and caregivers. Amid COVID-19, technology's role in health care access is growing, especially among older adults. Enabling the diverse population of people living with dementia to enjoy the benefits of technologies requires particular attention to their needs, desires, capabilities, and vulnerabilities to potential harm from technologies. Successful technological interventions for dementia require meticulous consideration of technology usability.",2024,concept analysis; dementia; mobile phone; older adults; technology; usability,"Humans; Dementia; COVID-19; Aged; Female; Male; Caregivers; Aged, 80 and over","Chien, SY; Zaslavsky, O; Berridge, C"
"mHealth Apps for Dementia, Alzheimer Disease, and Other Neurocognitive Disorders: Systematic Search and Environmental Scan.","Lifestyle behaviors including exercise, sleep, diet, stress, mental stimulation, and social interaction significantly impact the likelihood of developing dementia. Mobile health (mHealth) apps have been valuable tools in addressing these lifestyle behaviors for general health and well-being, and there is growing recognition of their potential use for brain health and dementia prevention. Effective apps must be evidence-based and safeguard user data, addressing gaps in the current state of dementia-related mHealth apps.",2024,Alzheimer disease; apps; dementia; lifestyle behaviors; mHealth; mobile health; mobile phone,Humans; Mobile Applications; Dementia; Alzheimer Disease; Telemedicine,"Ali, S; Alizai, H; Hagos, DJ; Rubio, SR; Calabia, D; Serrano Jimenez, P; Senthil, VA; Appel, L"
"Quaternity method for integrated screening, separation, extraction optimization, and bioactivity evaluation of acetylcholinesterase inhibitors from Sophora flavescens Aiton.","Sophora flavescens Aiton (Fabaceae), a ubiquitous plant species in Asia, contains a wide range of pharmacologically active compounds, such as flavonoids, with potential anti-Alzheimer's disease (anti-AD) effects.",2024,Sophora flavescens; acetylcholinesterase; high‐speed countercurrent chromatography; multi‐objective extraction optimization; quaternity method screening,,"Zhang, Y; Zhang, Y; Li, S; Liu, C; Liang, J; Nong, Y; Chen, M; Sun, R"
Longitudinal Assessment of Seasonal Impacts and Depression Associations on Circadian Rhythm Using Multimodal Wearable Sensing: Retrospective Analysis.,"Previous mobile health (mHealth) studies have revealed significant links between depression and circadian rhythm features measured via wearables. However, the comprehensive impact of seasonal variations was not fully considered in these studies, potentially biasing interpretations in real-world settings.",2024,MDD; biological rhythms; circadian rhythm; digital health; mHealth; major depressive disorder; mental health; mobile health; monitoring; wearable,Humans; Seasons; Female; Circadian Rhythm; Male; Wearable Electronic Devices; Adult; Longitudinal Studies; Depression; Middle Aged; Retrospective Studies; Telemedicine,"Zhang, Y; Folarin, AA; Sun, S; Cummins, N; Ranjan, Y; Rashid, Z; Stewart, C; Conde, P; Sankesara, H; Laiou, P; Matcham, F; White, KM; Oetzmann, C; Lamers, F; Siddi, S; Simblett, S; Vairavan, S; Myin-Germeys, I; Mohr, DC; Wykes, T; Haro, JM; Annas, P; Penninx, BW; Narayan, VA; Hotopf, M; Dobson, RJ"
Detection of Mild Cognitive Impairment Through Hand Motor Function Under Digital Cognitive Test: Mixed Methods Study.,"Early detection of cognitive impairment or dementia is essential to reduce the incidence of severe neurodegenerative diseases. However, currently available diagnostic tools for detecting mild cognitive impairment (MCI) or dementia are time-consuming, expensive, or not widely accessible. Hence, exploring more effective methods to assist clinicians in detecting MCI is necessary.",2024,digital cognitive test; dual task; mild cognitive impairment; mobile phone; movement kinetics,"Humans; Cognitive Dysfunction; Male; Female; Aged; Middle Aged; Neuropsychological Tests; Hand; Aged, 80 and over; Surveys and Questionnaires; Qualitative Research","Li, A; Li, J; Chai, J; Wu, W; Chaudhary, S; Zhao, J; Qiang, Y"
Examining Associations Between Smartphone Use and Clinical Severity in Frontotemporal Dementia: Proof-of-Concept Study.,"Frontotemporal lobar degeneration (FTLD) is a leading cause of dementia in individuals aged <65 years. Several challenges to conducting in-person evaluations in FTLD illustrate an urgent need to develop remote, accessible, and low-burden assessment techniques. Studies of unobtrusive monitoring of at-home computer use in older adults with mild cognitive impairment show that declining function is reflected in reduced computer use; however, associations with smartphone use are unknown.",2024,clinical trials; cognition; cognitive impairment; digital; mobile phone; monitoring; neurodegenerative; neuropsychology; remote; screening; technology,Humans; Female; Male; Middle Aged; Frontotemporal Dementia; Smartphone; Aged; Severity of Illness Index; Proof of Concept Study; Adult; Longitudinal Studies; Neuropsychological Tests; Mobile Applications,"Paolillo, EW; Casaletto, KB; Clark, AL; Taylor, JC; Heuer, HW; Wise, AB; Dhanam, S; Sanderson-Cimino, M; Saloner, R; Kramer, JH; Kornak, J; Kremers, W; Forsberg, L; Appleby, B; Bayram, E; Bozoki, A; Brushaber, D; Darby, RR; Day, GS; Dickerson, BC; Domoto-Reilly, K; Elahi, F; Fields, JA; Ghoshal, N; Graff-Radford, N; G H Hall, M; Honig, LS; Huey, ED; Lapid, MI; Litvan, I; Mackenzie, IR; Masdeu, JC; Mendez, MF; Mester, C; Miyagawa, T; Naasan, G; Pascual, B; Pressman, P; Ramos, EM; Rankin, KP; Rexach, J; Rojas, JC; VandeVrede, L; Wong, B; Wszolek, ZK; Boeve, BF; Rosen, HJ; Boxer, AL; Staffaroni, AM"
