title,abstract,publication_year,keywords,mesh_terms,authors
Genetic evidence for serum amyloid P component as a drug target in neurodegenerative disorders.,"The mechanisms responsible for neuronal death causing cognitive loss in Alzheimer's disease (AD) and many other dementias are not known. Serum amyloid P component (SAP) is a constitutive plasma protein, which is cytotoxic for cerebral neurones and also promotes formation and persistence of cerebral A",2024,Alzheimer's disease; C-reactive protein‌; Lewy body dementia; genome-wide association study; miridesap; serum amyloid P component,"Humans; Genome-Wide Association Study; Neurodegenerative Diseases; Serum Amyloid P-Component; Alzheimer Disease; Polymorphism, Single Nucleotide; Genetic Predisposition to Disease; Mendelian Randomization Analysis; Biomarkers; tau Proteins; Lewy Body Disease; Male; Female","Schmidt, AF; Finan, C; Chopade, S; Ellmerich, S; Rossor, MN; Hingorani, AD; Pepys, MB"
"Dysregulation of Lipid Metabolism Serves as A Link Between Alzheimer's and Cardiovascular Disease, As Witnessed in A Cross-Sectional Study.","Cardiovascular risk factors and established cardiovascular disease (CVD) increase the risk of suffering dementia of the Alzheimer's type (DAT). Here, we set out to define specific molecular profiles of CVD in patients with DAT to better understand its relationship, to unravel the mechanisms underlying the high risk of developing DAT in CVD patients and to define new markers of early disease. Plasma samples from patients with DAT, with and without CVD, were analyzed through a multiomics approach, with integration of metabolomics and proteomics datasets using the OmicsNet web-based tool. Metabolomics results showed an enrichment in lipids and lipid-like molecules. Similarly, the most significant cluster identified through proteomics was formed by 5 proteins related to lipoprotein and cholesterol metabolism. After integration and functional enrichment, glycerolipid metabolism, fatty acid degradation and sphingolipid metabolism were among the most significant functions. Finally, differential expression of ABCA1 and APOH proteins was verified, in an independent cohort also including controls and patients with CVD alone. Both proteins positively correlated with phospho-Tau (181), a classical hallmark of DAT. Different molecular profiles exist in patients with DAT, with and without CVD, with exacerbated alterations in patients in which DAT and CVD co-exist. This information may help to define biomarkers like ABCA1 and APOH that identify patients with cardiovascular dysfunction that are at high risk of developing DAT. Such markers will allow more personalized interventions to be selected, a further step towards precision medicine for individuals whose molecular profiles indicate a distinct response to the same management strategies.",2024,,,"Mourino-Alvarez, L; Juarez-Alia, C; Sastre-Oliva, T; Perales-Sánchez, I; Hernandez-Fernandez, G; Chicano-Galvez, E; Peralbo-Molina, Á; Madruga, F; Blanco-Lopez, E; Tejerina, T; Barderas, MG"
Brain targeting efficacy of novel drug delivery system in the treatment of Alzheimer's disease.,"Alzheimer's disease (AD), a common degenerative disease of the central nervous system in the elderly, has become the third largest health killer after cardiovascular and cerebrovascular diseases and tumors. Based on the fact that Alzheimer's disease is a disease with multiple etiologies and complex pathology, a single target is bound to have a limited curative effect, and the synergy of multiple links and multiple targets is expected to achieve a better curative effect. The aim of this study is to investigate the brain targeting of a drug modified by chitosan, based on the new nanodrug delivery system for treating Alzheimer's disease developed by the research group.",2024,,"Alzheimer Disease; Chitosan; Administration, Intranasal; Brain; Drug Delivery Systems; Animals; Galantamine; Cholinesterase Inhibitors; Humans; Rats; Male; Nanoparticle Drug Delivery System","Duan, LH; Li, LI; Wang, CB; Liu, QQ; Zhang, X; Wu, ZZ"
Prospects and challenges in using neuronal extracellular vesicles in biomarker research.,"Extracellular vesicles (EVs) hold promise as a source of disease biomarkers. The diverse molecular cargo of EVs can potentially indicate the status of their tissue of origin, even against the complex background of whole plasma. The main tools currently available for assessing biomarkers of brain health include brain imaging and analysis of the cerebrospinal fluid of patients. Given the costs and difficulties associated with these methods, isolation of EVs of neuronal origin (NEVs) from the blood is an attractive approach to identify brain-specific biomarkers. This perspective describes current key challenges in EV- and NEV-based biomarker research. These include the relative low abundance of EVs, the lack of validated isolation methods, and the difficult search for an adequate target for immunocapturing NEVs. We discuss that these challenges must be addressed before NEVs can fulfill their potential for biomarker research. HIGHLIGHTS: NEVs are promising sources of biomarkers for brain disorders. Immunocapturing NEVs from complex biofluids presents several challenges. The choice of surface target for capture will determine NEV yield. Contamination by non-EV sources is relevant for biomarkers at low concentrations.",2024,biomarkers; central nervous system; neurodegenerative disorders; neuronal‐enriched extracellular vesicles,,"Rocha, DAS; Santos, LE; Da Fonseca, PB; De Felice, FG"
"Systemic inflammatory markers in ageing, Alzheimer's disease and other dementias.","Systemic inflammation with alterations in inflammatory markers is involved in aging and Alzheimer's disease. However, few studies have investigated the longitudinal trajectories of systemic inflammatory markers during aging and Alzheimer's disease, and specific markers contributing to Alzheimer's disease remain undetermined. In this study, a longitudinal cohort (cohort 1: n = 290; controls, 136; preclinical Alzheimer's disease, 154) and a cross-sectional cohort (cohort 2: n = 351; controls, 62; Alzheimer's disease, 63; vascular dementia, 58; Parkinson's disease dementia, 56; behavioural variant frontotemporal dementia, 57; dementia with Lewy bodies, 55) were included. Plasma levels of inflammatory markers were measured every 2 years during a 10-year follow-up in the longitudinal cohort and once in the cross-sectional cohort. The study demonstrated that the inflammatory markers significantly altered during both aging and the development of Alzheimer's disease. However, only complement C3, interleukin-1β, and interleukin-6 exhibited significant changes in participants with preclinical Alzheimer's disease, and their longitudinal changes were significantly associated with the development of Alzheimer's disease compared to controls over the 10-year follow-up. In the cross-sectional cohort, complement C3 demonstrates specificity to Alzheimer's disease, while interleukin-1β and interleukin-6 were also altered in other dementias. The study provides a new perspective on the involvement of inflammatory markers in the aging process and the development of Alzheimer's disease, implying that regulating inflammation may have a pivotal role in promoting successful aging and in the prevention and treatment of Alzheimer's disease.",2024,Alzheimer’s disease; aging; complement; interleukin; longitudinal; systemic inflammation,,"Cai, H; Zhao, T; Pang, Y; Fu, X; Ren, Z; Quan, S; Jia, L"
DAP12 interacts with RER1 and is retained in the secretory pathway before assembly with TREM2.,"DNAX-activating protein of 12 kDa (DAP12) is a transmembrane adapter protein expressed in lymphoid and myeloid lineage cells. It interacts with several immunoreceptors forming functional complexes that trigger intracellular signaling pathways. One of the DAP12 associated receptors is the triggering receptor expressed on myeloid cells 2 (TREM2). Mutations in both DAP12 and TREM2 have been linked to neurodegenerative diseases. However, mechanisms involved in the regulation of subcellular trafficking and turnover of these proteins are not well understood. Here, we demonstrate that proteasomal degradation of DAP12 is increased in the absence of TREM2. Interestingly, unassembled DAP12 is also retained in early secretory compartments, including the endoplasmic reticulum (ER) and the ER-Golgi intermediate compartment (ERGIC), thereby preventing its transport to the plasma membrane. We also show that unassembled DAP12 interacts with the retention in ER sorting receptor 1 (RER1). The deletion of endogenous RER1 decreases expression of functional TREM2-DAP12 complexes and membrane proximal signaling, and resulted in almost complete inhibition of phagocytic activity in THP-1 differentiated macrophage-like cells. These results indicate that RER1 acts as an important regulator of DAP12 containing immunoreceptor complexes and immune cell function.",2024,Alzheimer disease; Microglia; Nasu-Hakola disease; Neurodegeneration; Neuroinflammation; Phosphorylation,"Humans; Membrane Glycoproteins; Receptors, Immunologic; Adaptor Proteins, Signal Transducing; Endoplasmic Reticulum; Secretory Pathway; Membrane Proteins; HEK293 Cells; Signal Transduction; Phagocytosis; Macrophages; Protein Transport; Protein Binding; Animals; Golgi Apparatus; Vesicular Transport Proteins; Cell Membrane","Liu, Y; Theil, S; Ibach, M; Walter, J"
A Comprehensive Head-to-Head Comparison of Key Plasma Phosphorylated Tau 217 Biomarker Tests.,"Plasma phosphorylated-tau 217 (p-tau217) is currently the most promising biomarkers for reliable detection of Alzheimer's disease (AD) pathology. Various p-tau217 assays have been developed, but their relative performance is unclear. We compared key plasma p-tau217 tests using cross-sectional and longitudinal measures of amyloid-β (Aβ)-PET, tau-PET, and cognition as outcomes, and benchmarked them against cerebrospinal fluid (CSF) biomarker tests. Samples from 998 individuals (mean[range] age 68.5[20.0-92.5], 53% female) from the Swedish BioFINDER-2 cohort were analyzed. Plasma p-tau217 was measured with mass spectrometry (MS) assays (the ratio between phosphorylated and non-phosphorylated [%p-tau217 ",2024,,,"Warmenhoven, N; Salvadó, G; Janelidze, S; Mattsson-Carlgren, N; Bali, D; Dolado, AO; Kolb, H; Triana-Baltzer, G; Barthélemy, NR; Schindler, SE; Aschenbrenner, AJ; Raji, CA; Benzinger, TLS; Morris, JC; Ibanez, L; Timsina, J; Cruchaga, C; Bateman, RJ; Ashton, N; Arslan, B; Zetterberg, H; Blennow, K; Binette, AP; Hansson, O"
Characterisation of LPS+ bacterial extracellular vesicles along the gut-hepatic portal vein-liver axis.,"Gut microbiome dysbiosis is a major contributing factor to several pathological conditions. However, the mechanistic understanding of the communication between gut microbiota and extra-intestinal organs remains largely elusive. Extracellular vesicles (EVs), secreted by almost every form of life, including bacteria, could play a critical role in this inter-kingdom crosstalk and are the focus of present study. Here, we present a novel approach for isolating lipopolysaccharide (LPS)+ bacterial extracellular vesicles (bEV",2024,bacterial extracellular vesicles; dysbiosis; gut microbiome; inflammation; lipopolysaccharide,"Animals; Extracellular Vesicles; Liver; Lipopolysaccharides; Mice; Gastrointestinal Microbiome; Portal Vein; Mice, Inbred C57BL; Male; Bacteria; Toll-Like Receptor 4; Obesity; Feces; Dysbiosis","Jain, H; Kumar, A; Almousa, S; Mishra, S; Langsten, KL; Kim, S; Sharma, M; Su, Y; Singh, S; Kerr, BA; Deep, G"
Genetic and multi-omic resources for Alzheimer disease and related dementia from the Knight Alzheimer Disease Research Center.,"The Knight-Alzheimer Disease Research Center (Knight-ADRC) at Washington University in St. Louis has pioneered and led worldwide seminal studies that have expanded our clinical, social, pathological, and molecular understanding of Alzheimer Disease. Over more than 40 years, research volunteers have been recruited to participate in cognitive, neuropsychologic, imaging, fluid biomarkers, genomic and multi-omic studies. Tissue and longitudinal data collected to foster, facilitate, and support research on dementia and aging. The Genetics and high throughput -omics core (GHTO) have collected of more than 26,000 biological samples from 6,625 Knight-ADRC participants. Samples available include longitudinal DNA, RNA, non-fasted plasma, cerebrospinal fluid pellets, and peripheral blood mononuclear cells. The GHTO has performed deep molecular profiling (genomic, transcriptomic, epigenomic, proteomic, and metabolomic) from large number of brain (n = 2,117), CSF (n = 2,012) and blood/plasma (n = 8,265) samples with the goal of identifying novel risk and protective variants, identify novel molecular biomarkers and causal and druggable targets. Overall, the resources available at GHTO support the increase of our understanding of Alzheimer Disease.",2024,,Alzheimer Disease; Humans; Genomics; Biomarkers; Dementia; Proteomics; Multiomics,"Fernandez, MV; Liu, M; Beric, A; Johnson, M; Cetin, A; Patel, M; Budde, J; Kohlfeld, P; Bergmann, K; Lowery, J; Flynn, A; Brock, W; Sanchez Montejo, B; Gentsch, J; Sykora, N; Norton, J; Gentsch, J; Valdez, O; Gorijala, P; Sanford, J; Sun, Y; Wang, C; Western, D; Timsina, J; Mangetti Goncalves, T; Do, AN; Sung, YJ; Zhao, G; Morris, JC; Moulder, K; Holtzman, DM; Bateman, RJ; Karch, C; Hassenstab, J; Xiong, C; Schindler, SE; Balls-Berry, JJ; Benzinger, TLS; Perrin, RJ; Denny, A; Snider, BJ; Stark, SL; Ibanez, L; Cruchaga, C"
Antigen-specific age-related memory CD8 T cells induce and track Alzheimer's-like neurodegeneration.,"Cerebral (Aβ) plaque and (pTau) tangle deposition are hallmarks of Alzheimer's disease (AD), yet are insufficient to confer complete AD-like neurodegeneration experimentally. Factors acting upstream of Aβ/pTau in AD remain unknown, but their identification could enable earlier diagnosis and more effective treatments. T cell abnormalities are emerging AD hallmarks, and CD8 T cells were recently found to mediate neurodegeneration downstream of tangle deposition in hereditary neurodegeneration models. The precise impact of T cells downstream of Aβ/pTau, however, appears to vary depending on the animal model. Our prior work suggested that antigen-specific memory CD8 T (""",2024,Alzheimer’s disease; T cell; biomarker; mouse model; neuroscience,"Alzheimer Disease; Animals; CD8-Positive T-Lymphocytes; Mice; Humans; Disease Models, Animal; Plaque, Amyloid; Amyloid beta-Peptides; Mice, Transgenic; Brain; Male; Interferon-gamma; Aging; Immunologic Memory; Memory T Cells; Perforin; Female","Panwar, A; Rentsendorj, A; Jhun, M; Cohen, RM; Cordner, R; Gull, N; Pechnick, RN; Duvall, G; Mardiros, A; Golchian, D; Schubloom, H; Jin, LW; Van Dam, D; Vermeiren, Y; De Reu, H; De Deyn, PP; Raskatov, JA; Black, KL; Irvin, DK; Williams, BA; Wheeler, CJ"
