title,abstract,publication_year,keywords,mesh_terms,authors
c-KIT inhibitors reduce pathology and improve behavior in the Tg(SwDI) model of Alzheimer's disease.,"Treatments for Alzheimer's disease have primarily focused on removing brain amyloid plaques to improve cognitive outcomes in patients. We developed small compounds, known as BK40143 and BK40197, and we hypothesize that these drugs alleviate microglial-mediated neuroinflammation and induce autophagic clearance of neurotoxic proteins to improve behavior in models of neurodegeneration. Specificity binding assays of BK40143 and BK40197 showed primary binding to c-KIT/Platelet Derived Growth Factor Receptors (PDGFR)α/β, whereas BK40197 also differentially binds to FYVE finger-containing phosphoinositide kinase (PIKFYVE). Both compounds penetrate the CNS, and treatment with these drugs inhibited the maturation of peripheral mast cells in transgenic mice, correlating with cognitive improvements on measures of memory and anxiety. In the brain, microglial activation was profoundly attenuated and amyloid-beta and tau were reduced via autophagy. Multi-kinase inhibition, including c-KIT, exerts multifunctional effects to reduce neurodegenerative pathology via autophagy and microglial activity and may represent a potential therapeutic option for neurodegeneration.",2024,,"Alzheimer Disease; Animals; Mice, Transgenic; Mice; Disease Models, Animal; Proto-Oncogene Proteins c-kit; Microglia; Autophagy; Humans; Amyloid beta-Peptides; Protein Kinase Inhibitors; Brain; Mast Cells; tau Proteins; Plaque, Amyloid; Behavior, Animal; Male","Stevenson, M; Hebron, ML; Liu, X; Balaraman, K; Wolf, C; Moussa, C"
Reduced platelet activation and thrombus formation in male transgenic model mice of Alzheimer's disease suggests early sex-specific differences in platelet pathophysiology.,"Alzheimer's disease (AD) is the most common form of dementia and characterized by extracellular amyloid-β (Aβ) plaques, intracellular neurofibrillary tau tangles and neurodegeneration. Over 80 % of AD patients also exhibit cerebral amyloid angiopathy (CAA). CAA is a cerebrovascular disease caused by deposition of Aβ in the walls of cerebral blood vessels leading to vessel damage and impairment of normal blood flow. To date, different studies suggest that platelet function, including activation, adhesion and aggregation, is altered in AD due to vascular Aβ deposition. For example, the transgenic AD model mice APP23 mice that exhibit CAA and parenchymal Aβ plaques, show pre-activated platelets in the blood circulation and increased platelet integrin activation leading to a pro-thrombotic phenotype in these mice late stages of AD. However, it is still an open question whether or not platelets exhibit changes in their activation profile before they are exposed to vascular Aβ deposits. Therefore, the present study examined platelets from middle-aged transgenic APP23 mice at the age of 8-10 months. At this age, APP23 mice show amyloid plaques in the brain parenchyma but not in the vasculature. Our analyses show that these APP23 mice have unaltered platelet numbers and size, and unaltered surface expression of glycoproteins. However, the number of dense granules in transgenic platelets was increased while the release was unaltered. Male, but not female APP23 mice, exhibited reduced platelet activation after stimulation of the thrombin receptor PAR4 and decreased thrombus stability on collagen under flow conditions ex vivo compared to control mice. In an arterial thrombosis model in vivo, male APP23 mice showed attenuated occlusion of the injured artery compared to controls. These findings provide clear evidence for early changes in platelet activation and thrombus formation in male mice before development of overt CAA. Furthermore, reduced platelet activation and thrombus formation suggest sex-specific differences in platelet physiology in AD that has to be considered in future studies of platelets and their role in AD.",2024,Alzheimer's disease; Dense granules; Platelet activation; Platelets; Sex-related differences; thrombus formation,,"Donner, L; Krüger, I; Pfeiler, S; Gerdes, N; Schaller, M; Kelm, M; Elvers, M"
Platelets and Neurodegenerative Diseases: Current Knowledge and Future Perspectives.,"Platelets have a fundamental role in mediating hemostasis and thrombosis. However, more recently, a new idea is making headway, highlighting the importance of platelets as significant actors in modulating immune and inflammatory responses. In particular, platelets have an important role in the development of vascular amyloid-b-peptide(ab) deposits, known to play a relevant role in Alzheimer's disease (AD) through accumulation and deposition within the frontal cortex and hippocampus in the brain. The involvement of platelets in the pathogenesis of AD opens up the highly attractive possibility of applying antiplatelet therapy for the treatment and/or prevention of AD, but conclusive results are scarce. Even less is known about the potential role of platelets in mild cognitive impairment (MCI). The aim to this brief review is to summarize current knowledge on this topic and to introduce the new perspectives on the possible role of platelet activation as therapeutic target both in AD and MCI.",2024,Alzheimer’s; amyloid; cognitive impairment; platelets,Humans; Blood Platelets; Alzheimer Disease; Platelet Activation; Neurodegenerative Diseases; Cognitive Dysfunction; Animals; Amyloid beta-Peptides; Platelet Aggregation Inhibitors,"Gallo, A; Lipari, A; Di Francesco, S; Ianuà, E; Liperoti, R; Cipriani, MC; Martone, AM; De Candia, E; Landi, F; Montalto, M"
"Causal associations between platelet count, alcohol consumption, and the risk of liver hepatocellular carcinoma based on a Mendelian randomization study.","Liver hepatocellular carcinoma (LIHC) exhibits a multifactorial etiology, insidious onset, and a significantly low 5-year survival rate. We aimed to evaluate the causal impact of exposure factors (Alzheimer's disease, platelet count, ambidextrousness, cigarettes smoked per day, alcohol consumption, and endocarditis) on the risk of LIHC using a two-sample Mendelian randomization (MR) study.",2024,Alzheimer’s disease; Mendelian randomization; alcohol consumption; liver hepatocellular carcinoma; platelet count,"Humans; Mendelian Randomization Analysis; Liver Neoplasms; Carcinoma, Hepatocellular; Alcohol Drinking; Platelet Count; Polymorphism, Single Nucleotide; Genome-Wide Association Study; Risk Factors","Yu, L; Wang, L; Xue, Y; Ren, Y; Liu, T; Hu, H"
Sex-differences in the association of social health and marital status with blood-based immune and neurodegeneration markers in a cohort of community-dwelling older adults.,"The immune system has been proposed to play a role in the link between social health and all-cause dementia risk. We explored cross-sectional and longitudinal associations between social health, immune system balance and plasma neurodegeneration markers in community-dwelling older adults, and explored whether the balance between innate and adaptive immunity mediates associations between social health and both cognition and total brain volume.",2024,Immunity; Marital status; Mediation; Neurodegeneration; Social health,,"van der Velpen, IF; Yaqub, A; Vernooij, MW; Perry, M; Vernooij-Dassen, MJF; Ghanbari, M; Ikram, MA; Melis, RJF"
Effects of antidiabetic agents on platelet characteristics with implications in Alzheimer's disease: Mendelian randomization and colocalization study.,"Observational studies have found a potential link between the use of thiazolidinediones (TZDs) and a lower risk of Alzheimer's disease (AD) development. Platelets were the great source of amyloid-β (Aβ) and involved in the development of AD. This study aimed to assess the correlation between antidiabetic agents and platelet characteristics, hoping to provide a potential mechanism of TZDs neuroprotection in AD.",2024,,,"Xie, Z; Liu, Y; Huang, M; Zhong, S; Lai, W"
"Resveratrol in Neurodegeneration, in Neurodegenerative Diseases, and in the Redox Biology of the Mitochondria.","Neurodegeneration is a process leading to the progressive loss of structure and functions of neurons. Many neurodegenerative diseases such as Alzheimer's disease, Parkinson's disease, and Huntington's disease have shown many common points at the subcellular level. Neurons are metabolically active cells and need a high amount of energy. Mitochondria are known as the energy synthesis center for cells, involved in the synthesis of adenosine triphosphate by oxidative phosphorylation. Rather than just being an energy synthesis center, it has critical importance for many cellular functions such as calcium homeostasis, cell proliferation, cell growth, and apoptosis. In the process of mitochondrial dysfunction, cellular functions are disrupted and cells enter the apoptotic or necrotic pathway. Resveratrol (trans-3,5,4-trihydoxystilbene), a plant-derived polyphenol found in the seed of grapes, berries, peanuts, and wine, has many biological effects such as inhibition of lipid peroxidation, scavenging of free radicals, changes in eicosanoid synthesis, inhibition of platelet aggregation, anti-inflammatory and anticancer activity, and regulation of lipid metabolism. Through the reviewed literature, the current study investigated the protective role of resveratrol in neurodegenerative diseases. Studies show that resveratrol moderates mitochondrial function, redox status, and cellular dynamics in both ",2023,,,"Danışman, B; Ercan Kelek, S; Aslan, M"
Elevated protease-activated receptor 4 (PAR4) gene expression in Alzheimer's disease predicts cognitive decline.,"Platelet activation of protease-activated receptor 4 (PAR4) and thrombin are at the top of a chain of events leading to fibrin deposition, microinfarcts, blood-brain barrier disruption, and inflammation. We evaluated mRNA expression of the PAR4 gene F2RL3 in human brain and global cognitive performance in participants with and without cognitive impairment or dementia. Data were acquired from the Religious Orders Study (ROS) and the Rush Memory and Aging Project (MAP). F2RL3 mRNA was elevated in AD cases and was associated with worse retrospective longitudinal cognitive performance. Moreover, F2RL3 expression interacted with clinical AD diagnosis on longitudinal cognition whereas this relationship was attenuated in individuals without cognitive impairment. Additionally, when adjusting for the effects of AD neuropathology, F2RL3 expression remained a significant predictor of cognitive decline. F2RL3 expression correlated positively with transcript levels of proinflammatory markers including TNFα, IL-1β, NFκB, and fibrinogen α/β/γ. Together, these results reveal that F2RL3 mRNA expression is associated with multiple AD-relevant outcomes and its encoded product, PAR4, may play a role in disease pathogenesis.",2024,Cerebrovascular disease; Cytokines; Inflammation; PAR4; Thrombin,"Humans; Alzheimer Disease; Receptors, Thrombin; Male; Female; Aged, 80 and over; RNA, Messenger; Gene Expression; Aged; Cognitive Dysfunction; Brain; Cognition; Inflammation; NF-kappa B; Interleukin-1beta; Fibrinogen; Tumor Necrosis Factor-alpha; Inflammation Mediators","Winfree, RL; Erreger, K; Phillips, J; Seto, M; Wang, Y; Schneider, JA; Bennett, DA; Schrag, MS; Hohman, TJ; Hamm, HE"
Integrating the patient's voice into the research agenda for treatment of chemosensory disorders.,"World-wide some 658 million people were infected with coronavirus disease 2019 (COVID-19) and millions suffer from chemosensory impairment associated with long COVID. Current treatments for taste and smell disorders are limited. Involving patients has the potential to catalyze the dynamic exchange and development of new ideas and approaches to facilitate biomedical research and therapeutics. We assessed patients' perceptions of the efficacy of treatments for chemosensory impairment using an online questionnaire completed by 5,815 people in the US Logistic regression determined variables predictive of reported treatment efficacy for patients aged 18 to 24, 25 to 39, 40 to 60, and 60+ yrs. who were treated with nasal steroids, oral steroids, zinc, nasal rinse, smell training, theophylline, platelet-rich plasma, and Omega 3. The most consistent predictor was age, with the majority of those 40 to 60 and 60+ reporting that nasal steroids, oral steroids, zinc, nasal rinse, and smell training were only slightly effective or not effective at all. Many of these treatment strategies target regeneration and immune response, processes compromised by age. Only those under 40 reported more than slight efficacy of steroids or smell training. Findings emphasize the need to include patients of all ages in clinical trials. Older adults with olfactory impairment are at increased risk for Alzheimer's disease (AD). We speculate that olfactory impairment associated with long COVID introduces the potential for a significant rise in AD. Long COVID-associated chemosensory impairment increases the urgency for translational and clinical research on novel treatment strategies. Suggestions for high-priority areas for epidemiological, basic, and clinical research on chemosensory impairment follow.",2024,chemosensory disorders; patient engagement; post-acute COVID; research agenda; smell,Humans; Middle Aged; Adult; Olfaction Disorders; Male; COVID-19; Female; Adolescent; Young Adult; SARS-CoV-2; Aged; Surveys and Questionnaires; Taste Disorders; Zinc,"Murphy, C; Dalton, P; Boateng, K; Hunter, S; Silberman, P; Trachtman, J; Schrandt, S; Naimi, B; Garvey, E; Joseph, PV; Frank, C; Albertazzi, A; Nyquist, G; Rawson, NE"
Evidence of Pericyte Damage in a Cognitively Normal Cohort: Association With CSF and PET Biomarkers of Alzheimer Disease.,Blood-brain barrier (BBB) dysfunction is emerging as an important pathophysiologic factor in Alzheimer disease (AD). Cerebrospinal fluid (CSF) platelet-derived growth factor receptor-β (PDGFRβ) is a biomarker of BBB pericyte injury and has been implicated in cognitive impairment and AD.,2024,,"Humans; Female; Alzheimer Disease; Male; Biomarkers; Middle Aged; Cross-Sectional Studies; Aged; tau Proteins; Pericytes; Positron-Emission Tomography; Amyloid beta-Peptides; Blood-Brain Barrier; Receptor, Platelet-Derived Growth Factor beta; Prospective Studies; Cohort Studies","Haghdel, A; Smith, N; Glodzik, L; Li, Y; Wang, X; Crowder, T; Zhu, YS; Butler, T; Blennow, K; McIntire, LB; Pahlajani, S; Osborne, J; Chiang, G; de Leon, M; Ivanidze, J"
