title,abstract,publication_year,keywords,mesh_terms,authors
Telemedicine Utilization Among Residents With Alzheimer Disease and Related Dementia: Association With Nursing Home Characteristics.,To examine telemedicine use among nursing home (NH) residents with Alzheimer disease and related dementias (ADRD) and the associations with NH characteristics.,2024,Alzheimer disease and related dementia; COVID-19; nursing home; telemedicine,,"Qin, Q; Yang, M; Veazie, P; Temkin-Greener, H; Conwell, Y; Cai, S"
Personalized goals of people living with dementia and family carers: A content analysis of goals set within an individually tailored psychosocial intervention trial.,"Person-centered goals capture individual priorities in personal contexts. Goal Attainment Scaling (GAS) has been used in drug trials involving people living with dementia (PLWD) but GAS has been characterized as difficult to incorporate into trials and clinical practice. We used GAS in a trial of New Interventions for Independence in Dementia Study (NIDUS)-family, a manualized care and support intervention, as the primary outcome and to tailor the interventions to goals set. We aimed to assess the feasibility and content of baseline goal-setting.",2024,Alzheimer's disease; dementia; goal attainment scaling; goal setting; goals; individualized care; outcome measures; person centered; psychosocial intervention,,"Budgett, J; Sommerlad, A; Kupeli, N; Zabihi, S; Rockwood, K; Cooper, C"
Longitudinal Assessment of Seasonal Impacts and Depression Associations on Circadian Rhythm Using Multimodal Wearable Sensing: Retrospective Analysis.,"Previous mobile health (mHealth) studies have revealed significant links between depression and circadian rhythm features measured via wearables. However, the comprehensive impact of seasonal variations was not fully considered in these studies, potentially biasing interpretations in real-world settings.",2024,MDD; biological rhythms; circadian rhythm; digital health; mHealth; major depressive disorder; mental health; mobile health; monitoring; wearable,Humans; Seasons; Female; Circadian Rhythm; Male; Wearable Electronic Devices; Adult; Longitudinal Studies; Depression; Middle Aged; Retrospective Studies; Telemedicine,"Zhang, Y; Folarin, AA; Sun, S; Cummins, N; Ranjan, Y; Rashid, Z; Stewart, C; Conde, P; Sankesara, H; Laiou, P; Matcham, F; White, KM; Oetzmann, C; Lamers, F; Siddi, S; Simblett, S; Vairavan, S; Myin-Germeys, I; Mohr, DC; Wykes, T; Haro, JM; Annas, P; Penninx, BW; Narayan, VA; Hotopf, M; Dobson, RJ"
Prediction of Alzheimer's disease progression within 6 years using speech: A novel approach leveraging language models.,Identification of individuals with mild cognitive impairment (MCI) who are at risk of developing Alzheimer's disease (AD) is crucial for early intervention and selection of clinical trials.,2024,Alzheimer's disease prognosis; Framingham Heart Study; natural language processing; neuropsychological test,,"Amini, S; Hao, B; Yang, J; Karjadi, C; Kolachalama, VB; Au, R; Paschalidis, IC"
Examining Associations Between Smartphone Use and Clinical Severity in Frontotemporal Dementia: Proof-of-Concept Study.,"Frontotemporal lobar degeneration (FTLD) is a leading cause of dementia in individuals aged <65 years. Several challenges to conducting in-person evaluations in FTLD illustrate an urgent need to develop remote, accessible, and low-burden assessment techniques. Studies of unobtrusive monitoring of at-home computer use in older adults with mild cognitive impairment show that declining function is reflected in reduced computer use; however, associations with smartphone use are unknown.",2024,clinical trials; cognition; cognitive impairment; digital; mobile phone; monitoring; neurodegenerative; neuropsychology; remote; screening; technology,Humans; Female; Male; Middle Aged; Frontotemporal Dementia; Smartphone; Aged; Severity of Illness Index; Proof of Concept Study; Adult; Longitudinal Studies; Neuropsychological Tests; Mobile Applications,"Paolillo, EW; Casaletto, KB; Clark, AL; Taylor, JC; Heuer, HW; Wise, AB; Dhanam, S; Sanderson-Cimino, M; Saloner, R; Kramer, JH; Kornak, J; Kremers, W; Forsberg, L; Appleby, B; Bayram, E; Bozoki, A; Brushaber, D; Darby, RR; Day, GS; Dickerson, BC; Domoto-Reilly, K; Elahi, F; Fields, JA; Ghoshal, N; Graff-Radford, N; G H Hall, M; Honig, LS; Huey, ED; Lapid, MI; Litvan, I; Mackenzie, IR; Masdeu, JC; Mendez, MF; Mester, C; Miyagawa, T; Naasan, G; Pascual, B; Pressman, P; Ramos, EM; Rankin, KP; Rexach, J; Rojas, JC; VandeVrede, L; Wong, B; Wszolek, ZK; Boeve, BF; Rosen, HJ; Boxer, AL; Staffaroni, AM"
The Daily Experiences of Hispanic and Latinx Dementia Caregivers Study: Protocol for a Fully Remote Daily Diary Observational Cohort Study.,"The Hispanic and Latinx community is disproportionately affected by Alzheimer disease and related dementias (ADRDs). In the United States, approximately 8.5 million caregivers of individuals with ADRDs identify as Hispanic and Latinx people, and caregiving-related stress and burden place caregivers at elevated risk for poor mental health outcomes, as well as loneliness and social isolation. To date, there is limited knowledge about the daily stress experiences of Hispanic and Latinx caregivers. Given this knowledge gap, it is critical to examine how personal, cultural, and contextual factors influence daily stress, mental health, and resilience over time among Hispanic and Latinx ADRD caregivers.",2024,Alzheimer; Alzheimer’s disease; Hispanic; Latinx; burden; caregivers; cohort; daily diary; dementia; loneliness; longitudinal; mental health; observational cohort study; protocol; stress; well-being,"Humans; Hispanic or Latino; Caregivers; Cohort Studies; Dementia; Female; Male; Stress, Psychological; Middle Aged; Aged; United States; Adult; Diaries as Topic","Mildrum Chana, S; Álvarez, L; Poe, A; Bibriescas, N; Wang, DH; DiFiglia, S; Azuero, A; Crowe, M; Puga, F"
Remote and unsupervised digital memory assessments can reliably detect cognitive impairment in Alzheimer's disease.,Remote unsupervised cognitive assessments have the potential to complement and facilitate cognitive assessment in clinical and research settings.,2024,Alzheimer's disease; ambulatory assessments; blood‐based biomarkers; digital cognitive markers; ecological momentary assessments; mHealth; memory; plasma marker; smartphone‐based unsupervised assessments,"Humans; Alzheimer Disease; Female; Male; Cognitive Dysfunction; Aged; Neuropsychological Tests; Reproducibility of Results; Magnetic Resonance Imaging; Positron-Emission Tomography; tau Proteins; Sweden; Biomarkers; Middle Aged; Aged, 80 and over","Berron, D; Olsson, E; Andersson, F; Janelidze, S; Tideman, P; Düzel, E; Palmqvist, S; Stomrud, E; Hansson, O"
"""Dementia Doesn't Mean That Life Doesn't Have More Wonderful Things Ahead"": A Qualitative Study Evaluating a Canadian Dementia Support Services Program.","Community support programs can improve quality of life for people living with dementia and their care partners. Important to the successful implementation of such programs is close engagement with end-users to gain a better understanding of their needs. This study describes the perspectives of people living with dementia, care partners, and health-care providers on the First Link",2024,Alzheimer’s; dementia; patient experience; program evaluation,,"Tam, MT; Martin, S; Jiang, YF; Machado, A; Robillard, JM"
Decentralized clinical trials for medications to reduce the risk of dementia: Consensus report and guidance.,"Recent growth in the functionality and use of technology has prompted an increased interest in the potential for remote or decentralized clinical trials in dementia. There are many potential benefits associated with decentralized medication trials, but we currently lack specific recommendations for their delivery in the dementia field.",2024,Delphi process; decentralized clinical trials; dementia prevention; recommendations; remote clinical trials,Humans; Dementia; Clinical Trials as Topic; Consensus; Delphi Technique; Research Design,"Howard, L; Abdelnour, C; Abner, EL; Allegri, RF; Dodge, HH; Gauthier, S; Hoyos, CM; Jicha, GA; Kehoe, PG; Mummery, CJ; Ogunniyi, A; Scarmeas, N; Chen, X; Titiner, JR; Weber, CR; Peters, R"
Exploring the Acceptability and Feasibility of Remote Blood Pressure Measurements and Cognition Assessments Among Participants Recruited From a Safety-Net Emergency Department (Reach Out Cognition): Nonrandomized Mobile Health Trial.,"Hypertension is a prevalent cardiovascular risk factor disproportionately affecting Black Americans, who also experience a higher incidence of Alzheimer disease and Alzheimer disease-related dementias. Monitoring blood pressure (BP) and cognition may be important strategies in reducing these disparities.",2024,Bluetooth; RCT; acceptability; assessment; blood pressure; cardiology; cardiovascular; cognition; feasibility; hypertension; hypertensive; low income; mHealth; mobile health; monitor; monitoring; neurological; randomized controlled trial; remote; satisfaction,,"Dinh, M; Lin, CC; Whitfield, C; Farhan, Z; Meurer, WJ; Bailey, S; Skolarus, LE"
Effectiveness of Early Multimodal Non-pharmacological Interventions in Cognitive Preservation in the Elderly.,Multimodal non-pharmacological interventions (MNPI) have been determined as effective in delaying cognitive deterioration. The effectiveness of timing of such interventions in elderly is less discussed. We compared the different effectiveness of MNPI in cognitive preservation in elderly subjects with and without dementia.,2024,cognitive assessment screening instrument; cognitive preservation; dementia; multimodal non-pharmacological interventions; neuropsychiatric tests,"Humans; Male; Female; Aged; Dementia; Cognitive Dysfunction; Aged, 80 and over; Combined Modality Therapy; Neuropsychological Tests; Cognition; Treatment Outcome","Hsieh, SW; Hsiao, SF; Liaw, LJ; Huang, LC; Yang, YH"
A process evaluation of the NIDUS-Professional dementia training intervention for UK homecare workers.,"This process evaluation was conducted in parallel to the randomised controlled feasibility trial of NIDUS-Professional, a manualised remote dementia training intervention for homecare workers (HCWs), delivered alongside an individualised intervention for clients living with dementia and their family carers (NIDUS-Family). The process evaluation reports on: (i) intervention reach, dose and fidelity; (ii) contexts influencing agency engagement and (iii) alignment of findings with theoretical assumptions about how the intervention might produce change.",2024,carers; dementia; homecare; implementation; older people; process evaluation; training,"Humans; Dementia; Caregivers; Home Health Aides; Home Care Services; Male; Female; Health Knowledge, Attitudes, Practice; United Kingdom; Process Assessment, Health Care; Middle Aged; Attitude of Health Personnel; Interviews as Topic","Kelleher, D; Windle, K; Randell, R; Lord, K; Duffy, L; Akhtar, A; Budgett, J; Zabihi, S; Banks, S; Rapaport, P; Lee, T; Barber, J; Orgeta, V; Manthorpe, J; Walters, K; Rockwood, K; Dow, B; Hoe, J; Banerjee, S; Cooper, C"
Graph methods to infer spatial disturbances: Application to Huntington's Disease's speech.,"Huntington's Disease (HD) is an inherited neurodegenerative disease caused by the mutation of the Htt gene, impacting all aspects of living and functioning. Among cognitive disabilities, spatial capacities are impaired, but their monitoring remains scarce as limited by lengthy experts' assessments. Language offers an alternative medium to evaluate patients' performance in HD. Yet, its capacities to assess HD's spatial abilities are unknown. Here, we aimed to bring proof-of-concept that HD's spatial deficits can be assessed through speech.",2024,Cognition; Cognitive modeling; Huntington's Disease; Language; Picture description task,Humans; Huntington Disease; Male; Female; Middle Aged; Adult; Speech; Neuropsychological Tests; Space Perception; Aged,"Chenain, L; Riad, R; Fraisse, N; Jubin, C; Morgado, G; Youssov, K; Lunven, M; Bachoud-Levi, AC"
Photobiomodulation in experimental models of Alzheimer's disease: state-of-the-art and translational perspectives.,"Alzheimer's disease (AD) poses a significant public health problem, affecting millions of people across the world. Despite decades of research into therapeutic strategies for AD, effective prevention or treatment for this devastating disorder remains elusive. In this review, we discuss the potential of photobiomodulation (PBM) for preventing and alleviating AD-associated pathologies, with a focus on the biological mechanisms underlying this therapy. Future research directions and guidance for clinical practice for this non-invasive and non-pharmacological therapy are also highlighted. The available evidence indicates that different treatment paradigms, including transcranial and systemic PBM, along with the recently proposed remote PBM, all could be promising for AD. PBM exerts diverse biological effects, such as enhancing mitochondrial function, mitigating the neuroinflammation caused by activated glial cells, increasing cerebral perfusion, improving glymphatic drainage, regulating the gut microbiome, boosting myokine production, and modulating the immune system. We suggest that PBM may serve as a powerful therapeutic intervention for AD.",2024,Alzheimer’s disease (AD); Experimental models; Neurodegeneration; Photobiomodulation (PBM); Therapy,"Alzheimer Disease; Low-Level Light Therapy; Animals; Humans; Disease Models, Animal; Translational Research, Biomedical","Huang, Z; Hamblin, MR; Zhang, Q"
Effect of Endovascular Thrombectomy for Acute Ischemic Stroke on Cognitive Outcomes: A Secondary Analysis of the ESCAPE Trial.,The effect of endovascular therapy (EVT) for large vessel occlusion stroke on cognitive outcomes is not well understood. We evaluated the effect of EVT on cognitive function in the Endovascular Treatment for Small Core and Anterior Circulation Proximal Occlusion With Emphasis on Minimizing CT to Recanalization Times (ESCAPE) trial.,2024,,"Humans; Male; Female; Ischemic Stroke; Endovascular Procedures; Aged; Thrombectomy; Middle Aged; Treatment Outcome; Cognition; Neuropsychological Tests; Aged, 80 and over","Joundi, RA; Smith, EE; Mandzia, J; Ganesh, A; Menon, BK; Rempel, JL; Thornton, J; Roy, D; Jovin, TG; Dowlatshahi, D; Frei, DF; Bharatha, A; Poppe, A; Silver, FL; Shuaib, A; Teitelbaum, JS; Williams, D; Bang, OY; Sapkota, BL; Burns, P; Choe, H; Heo, JH; Kelly, ME; Linares, G; Shankar, JJ; Sohn, SI; Swartz, RH; Barber, P; Coutts, SB; Demchuk, A; Goyal, M; Hill, MD"
