title,abstract,publication_year,keywords,mesh_terms,authors
"Defining Trajectories of Linguistic, Cognitive-Communicative, and Quality of Life Outcomes in Aphasia: Longitudinal Observational Study Protocol.","To describe the trajectories of linguistic, cognitive-communicative, and health-related quality of life (HRQOL) outcomes after stroke in persons with aphasia.",2024,Aphasia; Clinical protocols; Longitudinal studies; Recovery of function; Rehabilitation; Stroke,,"Cherney, LR; Kozlowski, AJ; Domenighetti, AA; Baliki, MN; Kwasny, MJ; Heinemann, AW"
Evaluation of core Biomarkers of Alzheimer's disease in saliva and plasma measured by chemiluminescent enzyme immunoassays on a fully automated platform.,"Cerebrospinal fluid (CSF) core biomarkers of Alzheimer's disease (AD), including amyloid peptide beta-42 (Aβ42), Aβ42/40 ratio, and phosphorylated tau (pTau), are precious tools for supporting AD diagnosis. However, their use in clinical practice is limited due to the invasiveness of CSF collection. Thus, there is intensive research to find alternative, noninvasive, and widely accessible biological matrices to measure AD core biomarkers. In this study, we measured AD core biomarkers in saliva and plasma by a fully automated platform. We enrolled all consecutive patients with cognitive decline. For each patient, we measured Aβ42, Aβ40, and pTau levels in CSF, saliva, and plasma by Lumipulse G1200 (Fujirebio). We included forty-two patients, of whom 27 had AD. Levels of all biomarkers significantly differed in the three biofluids, with saliva having the lowest and CSF the highest levels of Aβ42, Aβ40, and pTau. A positive correlation of pTau, Aβ42/40 ratio, and pTau/Aβ42 ratio levels in CSF and plasma was detected, while no correlation between any biomarker in CSF and saliva was found. Our findings suggest that plasma but not saliva could represent a surrogate biofluid for measuring core AD biomarkers. Specifically, plasma Aβ42/40 ratio, pTau/Aβ42 ratio, and pTau could serve as surrogates of the corresponding CSF biomarkers.",2024,AD; Beta-amyloid; Biomarker; Fujirebio; Plasma; Saliva; Tau,"Humans; Alzheimer Disease; Saliva; Biomarkers; Female; Male; Aged; Amyloid beta-Peptides; tau Proteins; Middle Aged; Peptide Fragments; Luminescent Measurements; Aged, 80 and over","Agnello, L; Giglio, RV; Del Ben, F; Piccoli, T; Colletti, T; Scazzone, C; Lo Sasso, B; Ciaccio, AM; Gambino, CM; Salemi, G; Ciaccio, M"
Biomarkers in Alzheimer's disease.,"Alzheimer's disease (AD) is among the most common neurodegenerative disorders. AD is characterized by deposition of neurofibrillary tangles and amyloid plaques, leading to associated secondary pathologies, progressive neurodegeneration, and eventually death. Currently used diagnostics are largely image-based, lack accuracy and do not detect early disease, ie, prior to onset of symptoms, thus limiting treatment options and outcomes. Although biomarkers such as amyloid-β and tau protein in cerebrospinal fluid have gained much attention, these are generally limited to disease progression. Unfortunately, identification of biomarkers for early and accurate diagnosis remains a challenge. As such, body fluids such as sweat, serum, saliva, mucosa, tears, and urine are under investigation as alternative sources for biomarkers that can aid in early disease detection. This review focuses on biomarkers identified through proteomics in various biofluids and their potential for early and accurate diagnosis of AD.",2024,Alzheimer’s disease; Biofluid; Biomarker; Blood; CSF; Diagnosis; Saliva; Sweat; Tears,,"Rajendran, K; Krishnan, UM"
Sex-steroid hormones relate to cerebellar structure and functional connectivity across adulthood.,"Aging involves complex biological changes that affect disease susceptibility and aging trajectories. Although females typically live longer than males, they have a higher susceptibility to diseases like Alzheimer's, speculated to be influenced by menopause, and reduced ovarian hormone production. Understanding sex-specific differences is crucial for personalized medical interventions and gender equality in health. Our study aims to elucidate sex differences in regional cerebellar structure and connectivity during normal aging by investigating both structural and functional connectivity variations, with a focus on investigating these differences in the context of sex-steroid hormones. The study included 138 participants (mean age = 57(13.3) years, age range = 35-86 years, 54% women). The cohort was divided into three groups: 38 early middle-aged individuals (EMA) (mean age = 41(4.7) years), 48 late middle-aged individuals (LMA) (mean age = 58(4) years), and 42 older adults (OA) (mean age = 72(6.3) years). All participants underwent MRI scans, and saliva samples were collected for sex-steroid hormone quantification (17β-estradiol (E), progesterone (P), and testosterone (T)). We found less connectivity in females between Lobule I-IV and the cuneus, and greater connectivity in females between Crus I, Crus II, and the precuneus with increased age. Higher 17β-estradiol levels were linked to greater connectivity in Crus I and Crus II cerebellar subregions. Analyzing all participants together, testosterone was associated with both higher and lower connectivity in Lobule I-IV and Crus I, respectively, while higher progesterone levels were linked to lower connectivity in females. Structural differences were observed, with EMA males having larger volumes compared to LMA and OA groups, particularly in the right I-IV, right Crus I, right V, and right VI. EMA females showed higher volumes in the right lobules V and VI. These results highlight the significant role of sex hormones in modulating cerebellar connectivity and structure across adulthood, emphasizing the need to consider sex and hormonal status in neuroimaging studies to better understand age-related cognitive decline and neurological disorders.",2024,,,"Magalhães, TNC; Hicks, TH; Jackson, TB; Ballard, HK; Herrejon, IA; Bernard, JA"
"The PREVENT dementia programme: baseline demographic, lifestyle, imaging and cognitive data from a midlife cohort study investigating risk factors for dementia.","PREVENT is a multi-centre prospective cohort study in the UK and Ireland that aims to examine midlife risk factors for dementia and identify and describe the earliest indices of disease development. The PREVENT dementia programme is one of the original epidemiological initiatives targeting midlife as a critical window for intervention in neurodegenerative conditions. This paper provides an overview of the study protocol and presents the first summary results from the initial baseline data to describe the cohort. Participants in the PREVENT cohort provide demographic data, biological samples (blood, saliva, urine and optional cerebrospinal fluid), lifestyle and psychological questionnaires, undergo a comprehensive cognitive test battery and are imaged using multi-modal 3-T MRI scanning, with both structural and functional sequences. The PREVENT cohort governance structure is described, which includes a steering committee, a scientific advisory board and core patient and public involvement groups. A number of sub-studies that supplement the main PREVENT cohort are also described. The PREVENT cohort baseline data include 700 participants recruited between 2014 and 2020 across five sites in the UK and Ireland (Cambridge, Dublin, Edinburgh, London and Oxford). At baseline, participants had a mean age of 51.2 years (range 40-59, SD ± 5.47), with the majority female (",2024,Alzheimer’s disease; brain health; observational cohort; preclinical dementia; risk factors,,"Ritchie, CW; Bridgeman, K; Gregory, S; O'Brien, JT; Danso, SO; Dounavi, ME; Carriere, I; Driscoll, D; Hillary, R; Koychev, I; Lawlor, B; Naci, L; Su, L; Low, A; Mak, E; Malhotra, P; Manson, J; Marioni, R; Murphy, L; Ntailianis, G; Stewart, W; Muniz-Terrera, G; Ritchie, K"
"Cognitive reserve, cortisol, and Alzheimer's disease biomarkers: A memory clinic study.",Cognitive reserve might mitigate the risk of Alzheimer's dementia among memory clinic patients. No study has examined the potential modifying role of stress on this relation.,2024,amyloid beta; cerebrospinal fluid biomarkers; cognitive performance; cognitive reserve; memory clinic; perceived stress; phosphorylated tau; salivary cortisol; total tau,Humans; Hydrocortisone; Alzheimer Disease; Male; Female; Cognitive Reserve; Biomarkers; Aged; Cross-Sectional Studies; Saliva; Neuropsychological Tests; Middle Aged; tau Proteins,"Yerramalla, MS; Darin-Mattsson, A; Udeh-Momoh, CT; Holleman, J; Kåreholt, I; Aspö, M; Hagman, G; Kivipelto, M; Solomon, A; Marseglia, A; Sindi, S"
Sialic acid metabolism of oral bacteria and its potential role in colorectal cancer and Alzheimer's disease.,"Sialic acid metabolism in oral bacteria is a complex process involving nutrient acquisition, immune evasion, cell surface modification, and the production of metabolites that contribute to bacterial persistence and virulence in the oral cavity. In addition to causing various periodontal diseases, certain oral pathogenic bacteria, such as Porphyromonas gingivalis, Tannerella forsythia, and Fusobacterium nucleatum, can induce inflammatory reactions and influence the immunity of host cells. These associations with host cells are linked to various diseases, particularly colorectal cancer and Alzheimer's disease. Sialic acid can be found in the host oral mucosa, saliva, or food residues in the oral cavity, and it may promote the colonization of oral bacteria and contribute to disease development. This review aims to summarize the role of sialic acid metabolism in oral bacteria and discuss its effect on the pathogenesis of colorectal cancer and Alzheimer's disease.",2024,Alzheimer's disease; Colorectal cancer; Fusobacterium nucleatum; Porphyromonas gingivalis; Sialic acid metabolism,Humans; Alzheimer Disease; N-Acetylneuraminic Acid; Colorectal Neoplasms; Mouth; Bacteria; Fusobacterium nucleatum; Animals,"Zhu, J; Li, M; Li, J; Wu, J"
Polygenic Risk Score-Based Association Analysis Identifies Genetic Comorbidities Associated with Age-Related Hearing Difficulty in Two Independent Samples.,"Age-related hearing loss is the most common form of permanent hearing loss that is associated with various health traits, including Alzheimer's disease, cognitive decline, and depression. The present study aims to identify genetic comorbidities of age-related hearing loss. Past genome-wide association studies identified multiple genomic loci involved in common adult-onset health traits. Polygenic risk scores (PRS) could summarize the polygenic inheritance and quantify the genetic susceptibility of complex traits independent of trait expression. The present study conducted a PRS-based association analysis of age-related hearing difficulty in the UK Biobank sample (N = 425,240), followed by a replication analysis using hearing thresholds (HTs) and distortion-product otoacoustic emissions (DPOAEs) in 242 young adults with self-reported normal hearing. We hypothesized that young adults with genetic comorbidities associated with age-related hearing difficulty would exhibit subclinical decline in HTs and DPOAEs in both ears.",2024,Age-related hearing difficulty; Age-related hearing loss; Distortion-product otoacoustic emissions; Extended-high frequency audiometry; Hearing loss; Polygenic risk scores; Presbycusis,,"Bhatt, IS; Raygoza Garay, JA; Bhagavan, SG; Ingalls, V; Dias, R; Torkamani, A"
Salivary biomarkers: The early diagnosis of Alzheimer's disease.,"The precise identification of Alzheimer's disease and other prevalent neurodegenerative diseases remains a difficult issue that requires the development of early detection of the disease and inexpensive biomarkers that can replace the present cerebrospinal fluid and imaging biomarkers. Blood biomarkers, such as amyloid and neurofilament light, have been emphasized as an important and practical tool in a testing or examination procedure thanks to advancements in ultra-sensitive detection techniques. Although saliva is not currently being researched for neurodegenerative diseases, it is an important source of biomarkers that can be used for the identification of diseases and has some advantages over other biofluids. While this may be true for most people, getting saliva from elderly people presents some significant challenges. In this overview, we will first discuss how saliva is created and how aging-related illnesses may affect the amount and kind of saliva produced. The findings support the use of salivary amyloid protein, tau species, and novel biomarkers in the diagnosis of Alzheimer's disease.",2024,Alzheimer's disease; biomarkers; early diagnosis; saliva,,"Nazir, S"
"Advancing Neurological Health: Insights into Aging, Immunity, and Vascular Dynamics.","This editorial provides an overview of recent advancements in the understanding and treatment of neurological disorders, focusing on aging, immunity, and blood flow, as featured in this special issue. The first section explores the importance of identifying biomarkers of aging and aging-related diseases, such as Alzheimer's Disease, highlighting the emerging role of saliva-based biomarkers and the gut-brain axis in disease diagnosis and management. In the subsequent section, the dysregulated immune systems associated with aging are discussed, emphasizing the intricate landscape of the immune system during aging and its bidirectional relationship with neuroinflammation. Additionally, insights into the involvement of Myeloid-Derived Suppressor Cells (MDSCs) in Multiple Sclerosis (MS) pathogenesis are presented. The third section examines the role of microglia in neuroinflammation and various neurological diseases, including age-related macular degeneration (AMD) and Tuberculous Meningitis (TBM). Furthermore, the therapeutic potential of stem cell and extracellular vesicle-based therapies for stroke is explored, along with molecular mechanism of how inflammation regulates cerebral and myocardial ischemia. Finally, the importance of blood flow in maintaining vascular health and its impact on neurological disorders are discussed, highlighting the potential of novel assessment methods for optimizing patient care. Overall, this special issue offers valuable insights into the complex mechanisms underlying neurological disorders and identifies potential avenues for therapeutic intervention.",2024,,Humans; Aging; Nervous System Diseases; Neuroinflammatory Diseases,"Xu, T; Ye, J; Gan, L; Deng, S; Guo, Y; Tang, Y"
