title,abstract,publication_year,keywords,mesh_terms,authors
Novel diagnostic and prognostic approach for rapidly progressive dementias: Indicators based on amyloid/tau/neurodegeneration (ATN) framework.,Apply established cerebrospinal fluid (CSF) and serum biomarkers and novel combined indicators based on the amyloid/tau/neurodegeneration (ATN) framework to improve diagnostic and prognostic power in patients with rapidly progressive dementias (RPDs).,2024,ATN framework; Creutzfeldt–Jakob disease; autoimmune encephalitis; diagnosis; prognosis; rapidly progressive Alzheimer's disease,,"Cheng, Y; Chen, SF; Zhang, YR; Guo, Y; Wu, KM; Huang, YY; Aerqin, Q; Kuo, K; Li, HQ; Chen, SD; Liu, WS; Dong, Q; Yu, JT"
Genetic evidence for serum amyloid P component as a drug target in neurodegenerative disorders.,"The mechanisms responsible for neuronal death causing cognitive loss in Alzheimer's disease (AD) and many other dementias are not known. Serum amyloid P component (SAP) is a constitutive plasma protein, which is cytotoxic for cerebral neurones and also promotes formation and persistence of cerebral A",2024,Alzheimer's disease; C-reactive protein‌; Lewy body dementia; genome-wide association study; miridesap; serum amyloid P component,"Humans; Genome-Wide Association Study; Neurodegenerative Diseases; Serum Amyloid P-Component; Alzheimer Disease; Polymorphism, Single Nucleotide; Genetic Predisposition to Disease; Mendelian Randomization Analysis; Biomarkers; tau Proteins; Lewy Body Disease; Male; Female","Schmidt, AF; Finan, C; Chopade, S; Ellmerich, S; Rossor, MN; Hingorani, AD; Pepys, MB"
Magnesium and Cognitive Health in Adults: A Systematic Review and Meta-Analysis.,"Magnesium (Mg) plays a key role in neurological functioning and manifestations. However, the evidence from randomized controlled trials (RCTs) and cohorts on Mg and cognitive health among adults has not been systematically reviewed. We aimed to examine the associations of various Mg forms (supplements, dietary intake, and biomarkers) with cognitive outcomes by summarizing evidence from RCTs and cohorts. PubMed, Embase, PsycINFO, and the Cochrane Central Register of Controlled Trials were searched for relevant peer-reviewed articles published up to May 3, 2024. Three random-effects models were performed, when appropriate, to evaluate the relationship between Mg and cognitive outcomes: 1) linear meta-regression, 2) non-linear (quadratic) meta-regression, and 3) meta-analysis using Mg variables categorized based on pre-existing recommendations. Three RCTs and 12 cohort studies were included in this systematic review. Evidence from the limited numbers of RCTs was insufficient to draw conclusions on the effects of Mg supplements. Cohort studies showed inconsistent dose-response relationships between dietary Mg and cognitive disorders, with high heterogeneity across populations. However, consistent U-shape associations of serum Mg with all-cause dementia and cognitive impairment were found in cohorts, suggesting an optimal serum Mg concentration around 0.85 mmol/L. This non-linear association was detected in meta-regression (P",2024,Alzheimer’s disease; adults; cognition; cognitive impairment; dementia; dietary magnesium; magnesium supplement; meta-analysis; serum magnesium; systematic review,,"Chen, F; Wang, J; Cheng, Y; Li, R; Wang, Y; Chen, Y; Scott, T; Tucker, KL"
Erratum to: Elucidating the Mechanisms of Sodium Benzoate in Alzheimer Disease: Insights from Quantitative Proteomics Analysis of Serum Samples.,No abstract,2024,,,
Systemic Administration of Neurotransmitter-Derived Lipidoids-PROTACs-DNA Nanocomplex Promotes Tau Clearance and Cognitive Recovery for Alzheimer's Disease Therapy.,"Alzheimer's disease (AD) poses a significant burden on the economy and healthcare systems worldwide. Although the pathophysiology of AD remains debatable, its progression is strongly correlated with the accumulation of tau aggregates. Therefore, tau clearance from brain lesions can be a promising strategy for AD therapy. To achieve this, the present study combined proteolysis-targeting chimera (PROTAC), a novel protein-degradation technique that mediates degradation of target proteins via the ubiquitin-proteasome system, and a neurotransmitter-derived lipidoid (NT-lipidoid) nanoparticle delivery system with high blood-brain barrier-penetration activity, to generate a novel nanomedicine named NPD. Peptide 1, a cationic tau-targeting PROTAC is loaded onto the positively charged nanoparticles using DNA-intercalation technology. The resulting nanomedicine displayed good encapsulation efficiency, serum stability, drug release profile, and blood-brain barrier-penetration capability. Furthermore, NPD potently induced tau clearance in both cultured neuronal cells and the brains of AD mice. Moreover, intravenous injection of NPD led to a significant improvement in the cognitive function of the AD mice, without any remarkable abnormalities, thereby supporting its clinical development. Collectively, the novel nanomedicine developed in this study may serve as an innovative strategy for AD therapy, since it effectively and specifically induces tau protein clearance in brain lesions, which in turn enhances cognition.",2024,Alzheimer's disease; PROTAC; clearance strategy; nanocomplex; tau protein,,"Gong, B; Zhang, W; Cong, W; Gu, Y; Ji, W; Yin, T; Zhou, H; Hu, H; Zhuang, J; Luo, Y; Liu, Y; Gao, J; Yin, Y"
Circulating levels of neurofilament light chain as a biomarker of infarct and white matter hyperintensity volumes after ischemic stroke.,"Serum neurofilament light chain protein (sNfL) shows promise as a biomarker for infarct size in acute ischemic stroke and for monitoring cerebral small vessel disease (cSVD). However, distinguishing the cSVD contribution after stroke may not be possible due to post-stroke sNfL increase. Additionally, it remains unclear if etiologic subtype differences exist. We measured infarct and white matter hyperintensity (WMH) volumes using MRI at the index stroke in ischemic stroke patients (n = 316, mean age 53 years, 65% males) and at 7-year follow-up (n = 187). Serum NfL concentration was measured in the acute phase (n = 235), at 3-months (n = 288), and 7-years (n = 190) post stroke. In multivariable regression, acute and 3-month sNfL concentrations were associated with infarct volume and time since stroke, but not with stroke etiology or infarct location. Seven years post-stroke, sNfL was associated with WMHs and age, but not with stroke etiology. Nonlinear regression estimated that sNfL peaks around 1 month, and declines by 50% at 3 months, and 99% at 9 months. We conclude that sNfL can indicate infarct volume and time since brain injury in the acute and subacute phases after stroke. Due to the significant post-stroke sNfL increase, several months are needed for reliable assessment of cSVD activity.",2024,,Humans; Male; Middle Aged; Female; Neurofilament Proteins; Biomarkers; White Matter; Magnetic Resonance Imaging; Ischemic Stroke; Aged; Cerebral Small Vessel Diseases; Adult,"Holmegaard, L; Jensen, C; Pedersen, A; Blomstrand, C; Blennow, K; Zetterberg, H; Jood, K; Jern, C"
Micronutrient-Associated Single Nucleotide Polymorphism and Mental Health: A Mendelian Randomization Study.,"Previous studies have demonstrated the link between micronutrients and mental health. However, it remains uncertain whether this connection is causal. We aim to investigate the potential causal effects of micronutrients on mental health based on linkage disequilibrium score (LDSC) regression and Mendelian randomization (MR) analysis.",2024,causal relationship; linkage disequilibrium score (LDSC) regression; mendelian randomization; mental health; micronutrients,"Humans; Mendelian Randomization Analysis; Polymorphism, Single Nucleotide; Micronutrients; Mental Health; Genome-Wide Association Study; Linkage Disequilibrium; Attention Deficit Disorder with Hyperactivity; Alzheimer Disease","Hui, J; Zhang, N; Kang, M; Gou, Y; Liu, C; Zhou, R; Liu, Y; Wang, B; Shi, P; Cheng, S; Yang, X; Pan, C; Zhang, F"
Sex-Specific Differences in Serum Kallikrein-8 (KLK8): An Exploratory Study.,"There are indications for sex-specific differences regarding the association between kallikrein-8 (KLK8) and cognitive impairment in early stages of Alzheimer's disease for which KLK8 may be an early blood-based biomarker. These may be due to different levels of sex hormones. To correctly interpret KLK8 blood concentrations, sex-specific analyses are needed.",2024,Alzheimer’s disease; DHEAS; Heinz Nixdorf Recall study; KLK8; amnestic mild cognitive impairment; estradiol; kallikrein-8; non-amnestic mild cognitive impairment; subjective cognitive decline; testosterone,,"Krizanovic, N; Jokisch, M; Jöckel, KH; Schmidt, B; Stang, A; Schramm, S"
Enhanced neuroprotective effect of verapamil-loaded hyaluronic acid modified carbon quantum dots in an in-vitro model of amyloid-induced Alzheimer's disease.,"This study aims to investigate the molecular mechanisms and the neuroprotective effect of hyaluronic acid modified verapamil-loaded carbon quantum dots (VRH-loaded HA-CQDs) against an in-vitro Alzheimer's disease model induced by amyloid beta (Aβ) in SH-SY5Y and Neuro 2a neuroblastoma cells. Briefly, different HA-CQDs were prepared using hydrothermal method and optimized by Box-Behnken design to maximize quantum yield and minimize particle size. Serum stable negatively charged VRH-loaded HA-CQDs was successfully prepared by admixing the optimized HA-CQDs and VRH with association efficiency and loading capacity of 81.25 ± 3.65 % and 5.11 ± 0.81 %, respectively. Cells were pretreated with VRH solution or loaded-HA-CQDs followed by exposure to Aβ. Compared to the control group, amyloidosis led to reduction in cellular proliferation, mitochondrial membrane potential, expression of cytochrome P450, cytochrome c oxidase, CREB-regulated transcriptional coactivator 3, and mitotic index, along with marked increase in reactive oxygen species (ROS) and inflammatory cytokines. Pretreatment with VRH, either free or loaded HA-CQDs, enhanced cell survival, mitochondrial membrane potential, mitotic index, and gene expression. It also reduced inflammation and ROS. However, VRH-loaded HA-CQDs exhibited superior effectiveness in the measured parameters. These findings suggest that VRH-loaded HA-CQDs have enhanced therapeutic potential compared to free VRH in mitigating amyloidosis negative features.",2024,Carbon quantum dots; Neuroblastoma; Verapamil,,"Mosalam, EM; Abdel-Bar, HM; Elberri, AI; Abdallah, MS; Zidan, AA; Batakoushy, HA; Abo Mansour, HE"
Biomarkers in Alzheimer's disease.,"Alzheimer's disease (AD) is among the most common neurodegenerative disorders. AD is characterized by deposition of neurofibrillary tangles and amyloid plaques, leading to associated secondary pathologies, progressive neurodegeneration, and eventually death. Currently used diagnostics are largely image-based, lack accuracy and do not detect early disease, ie, prior to onset of symptoms, thus limiting treatment options and outcomes. Although biomarkers such as amyloid-β and tau protein in cerebrospinal fluid have gained much attention, these are generally limited to disease progression. Unfortunately, identification of biomarkers for early and accurate diagnosis remains a challenge. As such, body fluids such as sweat, serum, saliva, mucosa, tears, and urine are under investigation as alternative sources for biomarkers that can aid in early disease detection. This review focuses on biomarkers identified through proteomics in various biofluids and their potential for early and accurate diagnosis of AD.",2024,Alzheimer’s disease; Biofluid; Biomarker; Blood; CSF; Diagnosis; Saliva; Sweat; Tears,,"Rajendran, K; Krishnan, UM"
"Cardiometabolic multimorbidity, peripheral biomarkers, and dementia in rural older adults: The MIND-China study.","Evidence has emerged that cardiometabolic multimorbidity (CMM) is associated with dementia, but the underlying mechanisms are poorly understood.",2024,cardiometabolic multimorbidity; dementia; neurodegeneration; plasma Alzheimer's biomarkers; population‐based study; serum cytokines,,"Liu, C; Liu, R; Tian, N; Fa, W; Liu, K; Wang, N; Zhu, M; Liang, X; Ma, Y; Ren, Y; Wang, Y; Cong, L; Tang, S; Vetrano, DL; Ngandu, T; Kivipelto, M; Hou, T; Du, Y; Qiu, C"
Identifying determinants for falls among Iranian older adults: insights from the Bushehr Elderly Health Program.,Falls are a common cause of fractures in older adults. This study aimed to investigate the factors associated with spontaneous falls among people aged ≥ 60 years in southern Iran.,2024,Accidental falls; Falls; Iran; Older adults; Risk factors,"Humans; Accidental Falls; Male; Female; Aged; Iran; Prospective Studies; Middle Aged; Risk Factors; Cohort Studies; Aged, 80 and over","Khalagi, K; Hoveidaei, AH; AziziKia, H; Karimi, A; Sattarpour, R; Fahimfar, N; Sanjari, M; Mansourzadeh, MJ; Nabipour, I; Larijani, B; Ostovar, A"
