title,abstract,publication_year,keywords,mesh_terms,authors
Mechanism of action of miR-15a-5p and miR-152-3p in paraquat-induced pulmonary fibrosis through Wnt/β-catenin signaling mediation.,"miRNAs are small, conserved, single-stranded non-coding RNA that are typically transported by exosomes for their functional roles. The therapeutic potential of exosomal miRNAs has been explored in various diseases including breast cancer, pancreatic cancer, cholangiocarcinoma, skin diseases, Alzheimer's disease, stroke, and glioma. Pathophysiological processes such as cellular inflammation, apoptosis, necrosis, immune dysfunction, and oxidative stress are closely associated with miRNAs. Internal and external factors such as tissue ischemia, hypoxia, pathogen infection, and endotoxin exposure can trigger these reactions and are linked to miRNAs. Paraquat-induced fibrosis is a protracted process that may not manifest immediately after injury but develops during bodily recovery, providing insights into potential miRNA intervention treatments.",2024,Lung fibrosis; Mechanism; Paraquat; Wnt/β-catenin; miRNA,MicroRNAs; Wnt Signaling Pathway; Paraquat; Pulmonary Fibrosis; Humans; Animals; beta Catenin,"Liu, D; Guan, Y"
Generation of an induced pluripotent stem cell line (CSBZZUi001-A) from a female Alzheimer's patient carrying the PSEN1 709 T > C heterozygous mutation.,"Pluripotent stem cells were generated through the electroporation of episomal plasmids, containing crucial reprogramming factors, into skin fibroblasts extracted from a female Alzheimer's patient harboring the PSEN1 709 T > C (p.Phe237Leu) heterozygous mutation. The pluripotent stem cells exhibit a normal karyotype and express pivotal stem cell markers including TRA-1-60, Nanog, SOX2, and OCT4. Furthermore, their capacity to differentiate into the three germ layers in in vivo teratoma experiments has been substantiated. The pluripotent stem cell line can serve as a cellular model for Alzheimer's disease, offering significant value in elucidating the pathogenesis and therapeutic strategies of the disease.",2024,,,"Meng, XY; Sun, HF; Zhang, YJ; Li, WX; Wang, DD; Liu, DH; Li, SM; Wu, Y; Li, JK; Liu, XH; Liu, PP; Yang, RZ; Li, SA; Kang, JS"
The Skin and Lewy Body Disease.,"This manuscript reviews the significant skin manifestations of Lewy body disease, including Parkinson's disease and dementia with Lewy bodies, and the diagnostic utility of skin biopsy. Besides classic motor and cognitive symptoms, non-motor manifestations, particularly dermatologic disorders, can play a crucial role in disease presentation and diagnosis. This review explores the intricate relationship between the skin and Lewy body disease. Seborrheic dermatitis, autoimmune blistering diseases (bullous pemphigoid and pemphigus), rosacea, and melanoma are scrutinized for their unique associations with Parkinson's disease, revealing potential links through shared pathophysiological mechanisms. Advances in diagnostic techniques allow the identification of promising biomarkers such as α-synuclein in samples obtained by skin punch biopsy. Understanding the dermatologic aspects of Lewy body disease not only contributes to its holistic characterization but also holds implications for innovative diagnostic approaches.",2024,Alzheimer’s disease; Lewy body disease; Parkinson’s disease; dementia with Lewy bodies; skin biopsy,,"Cassard, L; Honari, G; Tousi, B"
Implantable trilayer microneedle transdermal delivery system to enhance bioavailability and brain delivery of rivastigmine for Alzheimer treatment: A proof-of-concept study.,"Alzheimer's disease (ALZ) is a neurological disorder characterized by cognitive decline. Rivastigmine (RV), an acetylcholinesterase inhibitor, is commonly used to treat ALZ. Unfortunately, RV is availablein capsule form, which is associated with low drug bioavailability, and in patch form, which can lead to skin irritation upon repeated use. This study successfully fabricated a trilayer dissolving microneedle (TDMN) containing RV with adequate mechanical strength by using the molding method. In vitro release and ex vivo permeation showed that the release and permeation of RV were significantly sustained compared to control without PCL. The release and permeation percentages were 91.34 ± 11.39 % and 13.76 ± 1.49 μg/cm",2024,Alzheimer’s disease; Dissolving microneedle; Implant; Polycaprolactone; Rivastigmine; Trilayer,"Rivastigmine; Biological Availability; Administration, Cutaneous; Alzheimer Disease; Animals; Cholinesterase Inhibitors; Brain; Drug Delivery Systems; Male; Rats; Needles; Proof of Concept Study; Rats, Sprague-Dawley; Drug Liberation; Skin Absorption; Skin","Ilyas, NRA; Putri, APD; Pratama, FA; Abdullah, DAP; Azzahra, KS; Permana, AD"
Concordance With Screening and Treatment Guidelines for Chronic Kidney Disease in Type 2 Diabetes.,Chronic kidney disease (CKD) is an often-asymptomatic complication of type 2 diabetes (T2D) that requires annual screening to diagnose. Patient-level factors linked to inadequate screening and treatment can inform implementation strategies to facilitate guideline-recommended CKD care.,2024,,"Humans; Diabetes Mellitus, Type 2; Female; Male; Middle Aged; Renal Insufficiency, Chronic; Retrospective Studies; Aged; Guideline Adherence; Practice Guidelines as Topic; Mass Screening; Angiotensin-Converting Enzyme Inhibitors; Angiotensin Receptor Antagonists; Risk Factors; Sodium-Glucose Transporter 2 Inhibitors; United States; Glomerular Filtration Rate","Edmonston, D; Lydon, E; Mulder, H; Chiswell, K; Lampron, Z; Marsolo, K; Goss, A; Ayoub, I; Shah, RC; Chang, AR; Ford, DE; Jones, WS; Fonesca, V; Machineni, S; Fort, D; Butler, J; Hunt, KJ; Pitlosh, M; Rao, A; Ahmad, FS; Gordon, HS; Hung, AM; Hwang, W; Bosworth, HB; Pagidipati, NJ"
From Skin and Gut to the Brain: The Infectious Journey of the Human Commensal Fungus Malassezia and Its Neurological Consequences.,"The human mycobiome encompasses diverse communities of fungal organisms residing within the body and has emerged as a critical player in shaping health and disease. While extensive research has focused on the skin and gut mycobiome, recent investigations have pointed toward the potential role of fungal organisms in neurological disorders. Among those fungal organisms, the presence of the commensal fungus Malassezia in the brain has created curiosity because of its commensal nature and primary association with the human skin and gut. This budding yeast is responsible for several diseases, such as Seborrheic dermatitis, Atopic dermatitis, Pityriasis versicolor, Malassezia folliculitis, dandruff, and others. However recent findings surprisingly show the presence of Malassezia DNA in the brain and have been linked to diseases like Alzheimer's disease, Parkinson's disease, Multiple sclerosis, and Amyotrophic lateral sclerosis. The exact role of Malassezia in these disorders is unknown, but its ability to infect human cells, travel through the bloodstream, cross the blood-brain barrier, and reside along with the lipid-rich neuronal cells are potential mechanisms responsible for pathogenesis. This also includes the induction of pro-inflammatory cytokines, disruption of the blood-brain barrier, gut-microbe interaction, and accumulation of metabolic changes in the brain environment. In this review, we discuss these key findings from studies linking Malassezia to neurological disorders, emphasizing the complex and multifaceted nature of these cases. Furthermore, we discuss potential mechanisms through which Malassezia might contribute to the development of neurological conditions. Future investigations will open up new avenues for our understanding of the fungal gut-brain axis and how it influences human behavior. Collaborative research efforts among microbiologists, neuroscientists, immunologists, and clinicians hold promise for unraveling the enigmatic connections between human commensal Malassezia and neurological disorders.",2024,Malassezia; Blood-brain barrier; Central nervous system; Mycobiome; Neurological disorders,,"Naik, B; Sasikumar, J; Das, SP"
"Physicochemistry, Nutritional, and Therapeutic Potential of ","In an era where synthetic supplements have raised concerns regarding their effects on human health, ",2024,antioxidant; dietary supplement; fig; natural compound; phytochemical,Ficus; Humans; Dietary Supplements; Animals; Plant Extracts; Antioxidants; Phytochemicals,"Fazel, MF; Abu, IF; Mohamad, MHN; Mat Daud, NA; Hasan, AN; Aboo Bakkar, Z; Md Khir, MAN; Juliana, N; Das, S; Mohd Razali, MR; Zainal Baharin, NH; Ismail, AA"
Does photobiomodulation alter mitochondrial dynamics?,"Mitochondrial dysfunction is one of the leading causes of disease development. Dysfunctional mitochondria limit energy production, increase reactive oxygen species generation, and trigger apoptotic signals. Photobiomodulation is a noninvasive, nonthermal technique involving the application of monochromatic light with low energy density, inducing non-thermal photochemical effects at the cellular level, and it has been used due to its therapeutic potential. This review focuses on the mitochondrial dynamic's role in various diseases, evaluating the possible therapeutic role of low-power lasers (LPL) and light-emitting diodes (LED). Studies increasingly support that mitochondrial dysfunction is correlated with severe neurodegenerative diseases such as Parkinson's, Huntington's, Alzheimer's, and Charcot-Marie-Tooth diseases. Furthermore, a disturbance in mitofusin activity is also associated with metabolic disorders, including obesity and type 2 diabetes. The effects of PBM on mitochondrial dynamics have been observed in cells using a human fibroblast cell line and in vivo models of brain injury, diabetes, spinal cord injury, Alzheimer's disease, and skin injury. Thus, new therapies aiming to improve mitochondrial dynamics are clinically relevant. Several studies have demonstrated that LPL and LED can be important therapies to improve health conditions when there is dysfunction in mitochondrial dynamics.",2024,LED; fission; fusion; laser; mitochondrial dynamics; photobiomodulation,,"Trajano, LADSN; Siqueira, PB; Rodrigues, MMS; Pires, BRB; da Fonseca, AS; Mencalha, AL"
Metabolome analyses of skin dialysate: Insights into skin interstitial fluid biomarkers.,"Metabolites in biofluids can serve as biomarkers for diagnosing diseases and monitoring body conditions. Among the available biofluids, interstitial fluid (ISF) in the skin has garnered considerable attention owing to its advantages, which include inability to clot, easy access to the skin, and possibility of incorporating wearable devices. However, the scientific understanding of skin ISF composition is limited.",2024,Dermal interstitial fluid; Human skin; Metabolomics; Microdialysis,"Humans; Biomarkers; Extracellular Fluid; Skin; Male; Female; Metabolomics; Adult; Microdialysis; Metabolome; Young Adult; Electrophoresis, Capillary; Healthy Volunteers; Forearm; Mass Spectrometry","Oharazawa, A; Maimaituxun, G; Watanabe, K; Nishiyasu, T; Fujii, N"
"Skin-brain axis in Alzheimer's disease - Pathologic, diagnostic, and therapeutic implications: A Hypothetical Review.","The dynamic interaction between the brain and the skin is termed the 'skin-brain axis.' Changes in the skin not only reflect conditions in the brain but also exert direct and indirect effects on the brain. Interestingly, the connection between the skin and brain is crucial for understanding aging and neurodegenerative diseases. Several studies have shown an association between Alzheimer's disease (AD) and various skin disorders, such as psoriasis, bullous pemphigoid, and skin cancer. Previous studies have shown a significantly increased risk of new-onset AD in patients with psoriasis. In contrast, skin cancer may reduce the risk of developing AD. Accumulating evidence suggests an interaction between skin disease and AD; however, AD-associated pathological changes mediated by the skin-brain axis are not yet clearly defined. While some studies have reported on the diagnostic implications of the skin-brain axis in AD, few have discussed its potential therapeutic applications. In this review, we address the pathological changes mediated by the skin-brain axis in AD. Furthermore, we summarize (1) the diagnostic implications elucidated through the role of the skin-brain axis in AD and (2) the therapeutic implications for AD based on the skin-brain axis. Our review suggests that a potential therapeutic approach targeting the skin-brain axis will enable significant advances in the treatment of AD.",2024,,,"Kim, HS; Jung, H; Park, YH; Heo, SH; Kim, S; Moon, M"
