title,abstract,publication_year,keywords,mesh_terms,authors
Examining Associations Between Smartphone Use and Clinical Severity in Frontotemporal Dementia: Proof-of-Concept Study.,"Frontotemporal lobar degeneration (FTLD) is a leading cause of dementia in individuals aged <65 years. Several challenges to conducting in-person evaluations in FTLD illustrate an urgent need to develop remote, accessible, and low-burden assessment techniques. Studies of unobtrusive monitoring of at-home computer use in older adults with mild cognitive impairment show that declining function is reflected in reduced computer use; however, associations with smartphone use are unknown.",2024,clinical trials; cognition; cognitive impairment; digital; mobile phone; monitoring; neurodegenerative; neuropsychology; remote; screening; technology,Humans; Female; Male; Middle Aged; Frontotemporal Dementia; Smartphone; Aged; Severity of Illness Index; Proof of Concept Study; Adult; Longitudinal Studies; Neuropsychological Tests; Mobile Applications,"Paolillo, EW; Casaletto, KB; Clark, AL; Taylor, JC; Heuer, HW; Wise, AB; Dhanam, S; Sanderson-Cimino, M; Saloner, R; Kramer, JH; Kornak, J; Kremers, W; Forsberg, L; Appleby, B; Bayram, E; Bozoki, A; Brushaber, D; Darby, RR; Day, GS; Dickerson, BC; Domoto-Reilly, K; Elahi, F; Fields, JA; Ghoshal, N; Graff-Radford, N; G H Hall, M; Honig, LS; Huey, ED; Lapid, MI; Litvan, I; Mackenzie, IR; Masdeu, JC; Mendez, MF; Mester, C; Miyagawa, T; Naasan, G; Pascual, B; Pressman, P; Ramos, EM; Rankin, KP; Rexach, J; Rojas, JC; VandeVrede, L; Wong, B; Wszolek, ZK; Boeve, BF; Rosen, HJ; Boxer, AL; Staffaroni, AM"
"Latent Profiles and Transitions of Bedtime Procrastination Among Chinese College Students: The Predictive Roles of Anxiety, Depression, Problematic Smartphone Use and Self-Control.",Bedtime procrastination (BP) has become an important factor affecting individual well-being. This study aimed to assess the stability and changes in BP and examine risk and protective factors.,2024,anxiety; bedtime procrastination; depression; latent profile analysis; latent transition analysis; problematic smartphone use; self-control,,"Hong, L; Xu, H; Zheng, J; Lin, X; Wang, L; Zhao, C; Tu, X; Zhang, J; Zhao, K; Zhang, G"
Remote and unsupervised digital memory assessments can reliably detect cognitive impairment in Alzheimer's disease.,Remote unsupervised cognitive assessments have the potential to complement and facilitate cognitive assessment in clinical and research settings.,2024,Alzheimer's disease; ambulatory assessments; blood‐based biomarkers; digital cognitive markers; ecological momentary assessments; mHealth; memory; plasma marker; smartphone‐based unsupervised assessments,"Humans; Alzheimer Disease; Female; Male; Cognitive Dysfunction; Aged; Neuropsychological Tests; Reproducibility of Results; Magnetic Resonance Imaging; Positron-Emission Tomography; tau Proteins; Sweden; Biomarkers; Middle Aged; Aged, 80 and over","Berron, D; Olsson, E; Andersson, F; Janelidze, S; Tideman, P; Düzel, E; Palmqvist, S; Stomrud, E; Hansson, O"
Value-based motivational strategies combined with technology to encourage a lifestyle that helps to prevent dementia.,"Lifestyles aimed at reducing dementia risk typically combine physical and cognitive training, nutritional adaptations, and, potentially, an augmentation in social interactions. Interventions at the population level are essential but should be complemented by individual efforts. For efficacy, lasting changes to an individual's lifestyle are needed, necessitating robust motivation and volition. Acting in accordance with one's values is assumed to be rewarding, leading to improved motivation and volition, and produces stable behaviour-outcome relationships. To this end, future preventive endeavours might first evaluate an individual's extant lifestyle, preferences, and values, including considerations of age-related changes to ensure these values remain a motivational source. Digital technology can support lifestyle goals and be targeted to support an individual's values. A digital platform could implement situation-specific, sensing-based feedback to alert users to a target situation (eg, opportunity for exercise) coupled with (smartphone-based) feedback on the extent of accomplished behavioural change to support individually set goals and facilitate their adjustment depending on whether these goals are achieved. This use of the motivational impetus of values, coupled with interpersonal techniques, such as motivational interviewing and SMART goal setting, in combination with sensor technology and just-in-time adaptive interventions, is assumed to hold high potential for dementia prevention.",2024,,Humans; Dementia; Motivation; Life Style,"Klöppel, S; Brill, E; Frisoni, GB; Aarsland, D; Klusmann-Weißkopf, V"
Tracking amyotrophic lateral sclerosis disease progression using passively collected smartphone sensor data.,Passively collected smartphone sensor data provide an opportunity to study physical activity and mobility unobtrusively over long periods of time and may enable disease monitoring in people with amyotrophic lateral sclerosis (PALS).,2024,,Humans; Amyotrophic Lateral Sclerosis; Smartphone; Male; Female; Middle Aged; Disease Progression; Aged; Accelerometry; Mobile Applications; Walking; Exercise,"Karas, M; Olsen, J; Straczkiewicz, M; Johnson, SA; Burke, KM; Iwasaki, S; Lahav, A; Scheier, ZA; Clark, AP; Iyer, AS; Huang, E; Berry, JD; Onnela, JP"
Multidomain Dementia Risk Reduction in Primary Care is Feasible: A Proof-of-concept study.,"Dementia risk reduction is a public health priority, but interventions that can be easily implemented in routine care are scarce.",2024,Alzheimer’s disease; dementia; health behavior; lifestyle; prevention and control; primary health care; risk factors; telemedicine,Humans; Female; Male; Primary Health Care; Middle Aged; Risk Reduction Behavior; Dementia; Feasibility Studies; Adult; Proof of Concept Study; Mobile Applications; Risk Factors; Netherlands,"Van Asbroeck, S; Köhler, S; Wimmers, SCPM; Muris, JWM; van Boxtel, MPJ; Deckers, K"
Automatic offline-capable smartphone paper-based microfluidic device for efficient biomarker detection of Alzheimer's disease.,"Alzheimer's disease (AD) is a prevalent neurodegenerative disease with no effective treatment. Efficient and rapid detection plays a crucial role in mitigating and managing AD progression. Deep learning-assisted smartphone-based microfluidic paper analysis devices (μPADs) offer the advantages of low cost, good sensitivity, and rapid detection, providing a strategic pathway to address large-scale disease screening in resource-limited areas. However, existing smartphone-based detection platforms usually rely on large devices or cloud servers for data transfer and processing. Additionally, the implementation of automated colorimetric enzyme-linked immunoassay (c-ELISA) on μPADs can further facilitate the realization of smartphone μPADs platforms for efficient disease detection.",2024,Alzheimer's disease; Colorimetric enzyme-linked immunoassay (c-ELISA); Deep learning; Microfluidic paper analysis devices (μPADs); Offline; Smartphone,Alzheimer Disease; Humans; Smartphone; Biomarkers; Amyloid beta-Peptides; Paper; Enzyme-Linked Immunosorbent Assay; Peptide Fragments; Lab-On-A-Chip Devices; Deep Learning; Automation; Microfluidic Analytical Techniques,"Duan, S; Cai, T; Liu, F; Li, Y; Yuan, H; Yuan, W; Huang, K; Hoettges, K; Chen, M; Lim, EG; Zhao, C; Song, P"
Cognitive Training with Older Adults Using Smartphone and Web-Based Applications: A Scoping Review.,The present scoping review focused on: i) which apps were previously studied; ii) what is the most common frequency for implementing cognitive training; and iii) what cognitive functions the interventions most focus on.,2024,"Alzheimer’s disease; Cognition, mild cognitive impairment; cognitive training; mobile tech",Humans; Smartphone; Mobile Applications; Aged; Internet; Cognition; Cognitive Behavioral Therapy; Cognitive Dysfunction; Cognitive Training,"Silva, AF; Silva, RM; Murawska-Ciałowicz, E; Zurek, G; Danek, N; Cialowicz, M; Carvalho, J; Clemente, FM"
PROCare4Life lessons learned.,"PeRsOnalised Integrated CARE Solution for Elderly (PROCare4Life) was an EU-funded project that ran from January 2020 until June 2023, whose focus was to further develop and integrate previous ICT solutions developed by several previous EU-funded projects into a unique modular system able to support the autonomy and empowerment and to increase the Quality of Life (QoL) of elderly people living with Parkinson's, Alzheimer's, or similar dementia, having also tested the system for elderly people living with comorbidities. This article focuses on the methodology and results used to identify the internal lessons learned. PROCare4Life was developed using a codesign approach involving more than 2,000 participants whose input has been listened to and transformed into valuable changes of the system and also into lessons learned included in this case study report. Since the beginning of the implementation of PROCare4Life, there has been a commitment to make invisible knowledge visible through open discussion and including our lessons learned in each of our deliverables. In the last six months of implementation, qualitative research has been implemented by the PROCare4Life consortium to identify and select our most relevant challenges and recommendations for future projects and initiatives. PROCare4Life was highly impacted by the COVID-19 pandemic, and it is acknowledged in the lessons learned. However, the consortium has focused on the recommendations that could be more valuable for ordinary implementation of future projects and initiatives developing eHealth tools for elderly citizens living with conditions that might affect their cognitive or mobility capacities.",2023,dementia; eHealth; Integrated Care; Lessons Learned; Digital technologies; People centred codesign; Parkinson’s; Alzheimer’s,,"Gangas, P; Judica, E; Marin, M; Bouça-Machado, R; Ferreira, JJ; Louro, C; Brach, M; Linnane, D; Ahmed, M; Bentlage, E; Semerci, YC; Proença, JP; Alfonso, J"
Development of a smartphone screening test for preclinical Alzheimer's disease and validation across the dementia continuum.,"Dementia prevalence is predicted to triple to 152 million globally by 2050. Alzheimer's disease (AD) constitutes 70% of cases. There is an urgent need to identify individuals with preclinical AD, a 10-20-year period of progressive brain pathology without noticeable cognitive symptoms, for targeted risk reduction. Current tests of AD pathology are either too invasive, specialised or expensive for population-level assessments. Cognitive tests are normal in preclinical AD. Emerging evidence demonstrates that movement analysis is sensitive to AD across the disease continuum, including preclinical AD. Our new smartphone test, TapTalk, combines analysis of hand and speech-like movements to detect AD risk. This study aims to [1] determine which combinations of hand-speech movement data most accurately predict preclinical AD [2], determine usability, reliability, and validity of TapTalk in cognitively asymptomatic older adults and [3], prospectively validate TapTalk in older adults who have cognitive symptoms against cognitive tests and clinical diagnoses of Mild Cognitive Impairment and AD dementia.",2024,Alzheimer’s disease; Artificial intelligence; Computer vision; Dementia; Diadochokinesis; Digital biomarker; Finger-tapping; Kinematics; Multimodal; TAS Test; TapTalk,"Humans; Female; Aged; Middle Aged; Aged, 80 and over; Male; Alzheimer Disease; Smartphone; Prospective Studies; Cross-Sectional Studies; Reproducibility of Results; Cognitive Dysfunction; Biomarkers; Amyloid beta-Peptides","Alty, J; Goldberg, LR; Roccati, E; Lawler, K; Bai, Q; Huang, G; Bindoff, AD; Li, R; Wang, X; St George, RJ; Rudd, K; Bartlett, L; Collins, JM; Aiyede, M; Fernando, N; Bhagwat, A; Giffard, J; Salmon, K; McDonald, S; King, AE; Vickers, JC"
