title,abstract,publication_year,keywords,mesh_terms,authors
Macro and micro structural preservation of grey matter integrity after 24 weeks of rTMS in Alzheimer's disease patients: a pilot study.,"Alzheimer's Disease (AD) is characterized by structural and functional dysfunction involving the Default Mode Network (DMN), for which the Precuneus (PC) is a key node. We proposed a randomized double-blind pilot study to determine neurobiological changes after 24 weeks of PC-rTMS in patients with mild-to-moderate AD. Sixteen patients were randomly assigned to SHAM or PC-rTMS, and received an intensive 2-weeks course with daily rTMS sessions, followed by a maintenance phase in which rTMS has been applied once a week. Before and after the treatment structural and functional MRIs were collected. Our results showed macro- and micro-structural preservation in PC-rTMS compared to SHAM-rTMS group after 24 weeks of treatment, correlated to an increase of functional connectivity (FC) within the PC in the PC-rTMS group. Even if preliminary, these results trigger the possibility of using PC-rTMS to arrest atrophy progression by manipulating distributed network connectivity patterns.",2024,Alzheimer’s disease; Brain plasticity; Cortex; Default mode network; Microstructural; Precuneus; Transcranial magnetic stimulation,Humans; Alzheimer Disease; Pilot Projects; Male; Female; Aged; Double-Blind Method; Magnetic Resonance Imaging; Transcranial Magnetic Stimulation; Gray Matter; Middle Aged; Treatment Outcome; Parietal Lobe,"Mencarelli, L; Torso, M; Borghi, I; Assogna, M; Pezzopane, V; Bonnì, S; Di Lorenzo, F; Santarnecchi, E; Giove, F; Martorana, A; Bozzali, M; Ridgway, GR; Chance, SA; Koch, G"
Artificial intelligence classifies primary progressive aphasia from connected speech.,"Neurodegenerative dementia syndromes, such as Primary Progressive Aphasias (PPA), have traditionally been diagnosed based in part on verbal and nonverbal cognitive profiles. Debate continues about whether PPA is best divided into three variants and also regarding the most distinctive linguistic features for classifying PPA variants. In this cross-sectional study, we first harnessed the capabilities of artificial intelligence (AI) and Natural Language Processing (NLP) to perform unsupervised classification of short, connected speech samples from 78 PPA patients. We then used NLP to identify linguistic features that best dissociate the three PPA variants. Large Language Models (LLMs) discerned three distinct PPA clusters, with 88.5% agreement with independent clinical diagnoses. Patterns of cortical atrophy of three data-driven clusters corresponded to the localization in the clinical diagnostic criteria. In the subsequent supervised classification, seventeen distinctive features emerged, including the observation that separating verbs into high and low-frequency types significantly improves classification accuracy. Using these linguistic features derived from the analysis of short, connected speech samples, we developed a classifier that achieved 97.9% accuracy in classifying the four groups (three PPA variants and healthy controls). The data-driven section of this study showcases the ability of LLMs to find natural partitioning in the speech of patients with PPA consistent with conventional variants. In addition, the work identifies a robust set of language features indicative of each PPA variant, emphasizing the significance of dividing verbs into high and low-frequency categories. Beyond improving diagnostic accuracy, these findings enhance our understanding of the neurobiology of language processing.",2024,data-driven classification; generative artificial intelligence; primary progressive aphasia (PPA); theory-driven classification; verb frequency,,"Rezaii, N; Hochberg, D; Quimby, M; Wong, B; Brickhouse, M; Touroutoglou, A; Dickerson, BC; Wolff, P"
Dynamic functional connectivity is modulated by the amount of p-Tau231 in blood in cognitively intact participants.,"Electrophysiology and plasma biomarkers are early and non-invasive candidates for Alzheimer's disease detection. The purpose of this paper is to evaluate changes in dynamic functional connectivity measured with magnetoencephalography, associated with the plasma pathology marker p-tau231 in unimpaired adults.",2024,cognitively intact; dynamic functional connectivity; entropy; fractional anisotropy; magnetoencephalography; p-tau231; static functional connectivity,,"Carrasco-Gómez, M; García-Colomo, A; Nebreda, A; Bruña, R; Santos, A; Maestú, F"
Machine Learning Approaches for Dementia Detection Through Speech and Gait Analysis: A Systematic Literature Review.,Dementia is a general term for several progressive neurodegenerative disorders including Alzheimer's disease. Timely and accurate detection is crucial for early intervention. Advancements in artificial intelligence present significant potential for using machine learning to aid in early detection.,2024,Alzheimer’s disease; cognitive impairment; deep learning; dementia disorders; gait analysis; machine learning; non-invasive; speech analysis,Humans; Machine Learning; Dementia; Speech; Gait Analysis,"Al-Hammadi, M; Fleyeh, H; Åberg, AC; Halvorsen, K; Thomas, I"
Automated free speech analysis reveals distinct markers of Alzheimer's and frontotemporal dementia.,"Dementia can disrupt how people experience and describe events as well as their own role in them. Alzheimer's disease (AD) compromises the processing of entities expressed by nouns, while behavioral variant frontotemporal dementia (bvFTD) entails a depersonalized perspective with increased third-person references. Yet, no study has examined whether these patterns can be captured in connected speech via natural language processing tools. To tackle such gaps, we asked 96 participants (32 AD patients, 32 bvFTD patients, 32 healthy controls) to narrate a typical day of their lives and calculated the proportion of nouns, verbs, and first- or third-person markers (via part-of-speech and morphological tagging). We also extracted objective properties (frequency, phonological neighborhood, length, semantic variability) from each content word. In our main study (with 21 AD patients, 21 bvFTD patients, and 21 healthy controls), we used inferential statistics and machine learning for group-level and subject-level discrimination. The above linguistic features were correlated with patients' scores in tests of general cognitive status and executive functions. We found that, compared with HCs, (i) AD (but not bvFTD) patients produced significantly fewer nouns, (ii) bvFTD (but not AD) patients used significantly more third-person markers, and (iii) both patient groups produced more frequent words. Machine learning analyses showed that these features identified individuals with AD and bvFTD (AUC = 0.71). A generalizability test, with a model trained on the entire main study sample and tested on hold-out samples (11 AD patients, 11 bvFTD patients, 11 healthy controls), showed even better performance, with AUCs of 0.76 and 0.83 for AD and bvFTD, respectively. No linguistic feature was significantly correlated with cognitive test scores in either patient group. These results suggest that specific cognitive traits of each disorder can be captured automatically in connected speech, favoring interpretability for enhanced syndrome characterization, diagnosis, and monitoring.",2024,,Humans; Frontotemporal Dementia; Alzheimer Disease; Female; Male; Aged; Speech; Middle Aged; Case-Control Studies; Biomarkers; Natural Language Processing; Machine Learning; Neuropsychological Tests; Executive Function,"Lopes da Cunha, P; Ruiz, F; Ferrante, F; Sterpin, LF; Ibáñez, A; Slachevsky, A; Matallana, D; Martínez, Á; Hesse, E; García, AM"
Cognitive trajectories preluding the onset of different dementia entities: a descriptive longitudinal study using the NACC database.,"To describe the 10-year preclinical cognitive trajectories of older, non-demented individuals towards the onset of the four most prevalent types of dementia, i.e., Alzheimer's disease(AD), Lewy body(LBD), vascular(VD) and frontotemporal dementia(FTD).",2024,Alzheimer’s disease; Frontotemporal Lobal degeneration; Lewy body dementia; Vascular dementia,"Humans; Aged; Male; Female; Longitudinal Studies; Cognition; Dementia; Neuropsychological Tests; Middle Aged; Alzheimer Disease; Aged, 80 and over; Disease Progression; Databases, Factual; Frontotemporal Dementia; Lewy Body Disease; Dementia, Vascular; Memory, Episodic; Cognitive Dysfunction; Executive Function","Liampas, I; Dimitriou, N; Siokas, V; Messinis, L; Nasios, G; Dardiotis, E"
Machine Learning-Based Prediction Models for Cognitive Decline Progression: A Comparative Study in Multilingual Settings Using Speech Analysis.,"Mild cognitive impairment (MCI) is a condition commonly associated with dementia. Therefore, early prediction of progression from MCI to dementia is essential for preventing or alleviating cognitive decline. Given that dementia affects cognitive functions like language and speech, detecting disease progression through speech analysis can provide a cost-effective solution for patients and caregivers.",2024,Spontaneous speech; dementia; machine learning; mental status and dementia tests; mild cognitive impairment,,"Ceyhan, B; Bek, S; Önal-Süzek, T"
Using explainable artificial intelligence to identify linguistic biomarkers of amyloid pathology in primary progressive aphasia.,"Recent success has been achieved in Alzheimer's disease (AD) clinical trials targeting amyloid beta (β), demonstrating a reduction in the rate of cognitive decline. However, testing methods for amyloid-β positivity are currently costly or invasive, motivating the development of accessible screening approaches to steer patients toward appropriate diagnostic tests. Here, we employ a pre-trained language model (Distil-RoBERTa) to identify amyloid-β positivity from a short, connected speech sample. We further use explainable AI (XAI) methods to extract interpretable linguistic features that can be employed in clinical practice.",2024,,,"Robertson, C; Rezaii, N; Hochberg, D; Quimby, M; Wolff, P; Dickerson, BC"
Amyloid-β and Phosphorylated Tau are the Key Biomarkers and Predictors of Alzheimer's Disease.,"Alzheimer's disease (AD) is a age-related neurodegenerative disease and is a major public health concern both in Texas, US and Worldwide. This neurodegenerative disease is mainly characterized by amyloid-beta (Aβ) and phosphorylated Tau (p-Tau) accumulation in the brains of patients with AD and increasing evidence suggests that these are key biomarkers in AD. Both Aβ and p-tau can be detected through various imaging techniques (such as positron emission tomography, PET) and cerebrospinal fluid (CSF) analysis. The presence of these biomarkers in individuals, who are asymptomatic or have mild cognitive impairment can indicate an increased risk of developing AD in the future. Furthermore, the combination of Aβ and p-tau biomarkers is often used for more accurate diagnosis and prediction of AD progression. Along with AD being a neurodegenerative disease, it is associated with other chronic conditions such as cardiovascular disease, obesity, depression, and diabetes because studies have shown that these comorbid conditions make people more vulnerable to AD. In the first part of this review, we discuss that biofluid-based biomarkers such as Aβ, p-Tau in cerebrospinal fluid (CSF) and Aβ & p-Tau in plasma could be used as an alternative sensitive technique to diagnose AD. In the second part, we discuss the underlying molecular mechanisms of chronic conditions linked with AD and how they affect the patients in clinical care.",2024,,,"Pradeepkiran, JA; Baig, J; Islam, MA; Kshirsagar, S; Reddy, PH"
"Reversal of the concreteness effect can be detected in the natural speech of older adults with amnestic, but not non-amnestic, mild cognitive impairment.","Patients with Alzheimer's disease present with difficulty in lexical retrieval and reversal of the concreteness effect in nouns. Little is known about the phenomena before the onset of symptoms. We anticipate early linguistic signs in the speech of people who suffer from amnestic mild cognitive impairment (MCI). Here, we report the results of a corpus-linguistic approach to the early detection of cognitive impairment.",2024,Alzheimer's disease; imageability; mild cognitive impairment; natural speech; reversal of the concreteness effect,,"Cao, L; Han, K; Lin, L; Hing, J; Ooi, V; Huang, N; Yu, J; Ng, TKS; Feng, L; Mahendran, R; Kua, EH; Bao, Z"
