title,abstract,publication_year,keywords,mesh_terms,authors
The association between urinary sodium and the risk of dementia: Evidence from a population-based cohort study.,"Sodium intake reduction is crucial for cardiovascular health, however, its lasting impact on dementia remains unclear.",2024,All-cause dementia; Alzheimer's disease; UK biobank; Urinary sodium; Vascular dementia,,"Li, Y; Feng, Q; Wang, S; Li, B; Zheng, B; Peng, N; Li, B; Jiang, Y; Liu, D; Yang, Z; Sha, F; Tang, J"
Biomarkers in Alzheimer's disease.,"Alzheimer's disease (AD) is among the most common neurodegenerative disorders. AD is characterized by deposition of neurofibrillary tangles and amyloid plaques, leading to associated secondary pathologies, progressive neurodegeneration, and eventually death. Currently used diagnostics are largely image-based, lack accuracy and do not detect early disease, ie, prior to onset of symptoms, thus limiting treatment options and outcomes. Although biomarkers such as amyloid-β and tau protein in cerebrospinal fluid have gained much attention, these are generally limited to disease progression. Unfortunately, identification of biomarkers for early and accurate diagnosis remains a challenge. As such, body fluids such as sweat, serum, saliva, mucosa, tears, and urine are under investigation as alternative sources for biomarkers that can aid in early disease detection. This review focuses on biomarkers identified through proteomics in various biofluids and their potential for early and accurate diagnosis of AD.",2024,Alzheimer’s disease; Biofluid; Biomarker; Blood; CSF; Diagnosis; Saliva; Sweat; Tears,,"Rajendran, K; Krishnan, UM"
Effects of Hepatorenal Function on Urinary Alzheimer-Associated Neuronal Thread Protein: A Laboratory-Based Cross-Sectional Study Among the Older Chinese Population.,Urinary Alzheimer-associated neuronal thread protein (AD7c-NTP) is a biomarker for the early diagnosis of Alzheimer's disease (AD). It remains unclear whether hepatorenal function affects the urinary AD7c-NTP level.,2024,Alzheimer-associated neuronal thread protein; Alzheimer’s disease; hepatorenal indicator; kidney; liver; urine,,"Jin, H; Yang, Q; Chen, G; Zhang, W; Wu, Y; Wang, R"
"The PREVENT dementia programme: baseline demographic, lifestyle, imaging and cognitive data from a midlife cohort study investigating risk factors for dementia.","PREVENT is a multi-centre prospective cohort study in the UK and Ireland that aims to examine midlife risk factors for dementia and identify and describe the earliest indices of disease development. The PREVENT dementia programme is one of the original epidemiological initiatives targeting midlife as a critical window for intervention in neurodegenerative conditions. This paper provides an overview of the study protocol and presents the first summary results from the initial baseline data to describe the cohort. Participants in the PREVENT cohort provide demographic data, biological samples (blood, saliva, urine and optional cerebrospinal fluid), lifestyle and psychological questionnaires, undergo a comprehensive cognitive test battery and are imaged using multi-modal 3-T MRI scanning, with both structural and functional sequences. The PREVENT cohort governance structure is described, which includes a steering committee, a scientific advisory board and core patient and public involvement groups. A number of sub-studies that supplement the main PREVENT cohort are also described. The PREVENT cohort baseline data include 700 participants recruited between 2014 and 2020 across five sites in the UK and Ireland (Cambridge, Dublin, Edinburgh, London and Oxford). At baseline, participants had a mean age of 51.2 years (range 40-59, SD ± 5.47), with the majority female (",2024,Alzheimer’s disease; brain health; observational cohort; preclinical dementia; risk factors,,"Ritchie, CW; Bridgeman, K; Gregory, S; O'Brien, JT; Danso, SO; Dounavi, ME; Carriere, I; Driscoll, D; Hillary, R; Koychev, I; Lawlor, B; Naci, L; Su, L; Low, A; Mak, E; Malhotra, P; Manson, J; Marioni, R; Murphy, L; Ntailianis, G; Stewart, W; Muniz-Terrera, G; Ritchie, K"
The Use of Artificial Intelligence in the Management of Neurodegenerative Disorders; Focus on Alzheimer's Disease.,"Recent advances in artificial intelligence (AI) have shown great promise in the diagnosis, prediction, treatment plans, and monitoring of neurodegenerative disorders. AI algorithms can analyze huge quantities of data from numerous sources, including medical images, quantifiable proteins in urine, blood, and cerebrospinal fluid (CSF), genetic information, clinical records, electroencephalography (EEG) signals, driving behaviors, and so forth. Alzheimer's disease (AD) is one of the most common neurodegenerative disorders that progressively damage cognitive abilities and memory. This study specifically explores the possible application of AI in the diagnosis, prediction, monitoring, biomarker or drug discovery, and classification of AD.",2023,Alzheimer; Artificial Intelligence; Neurodegenerative Diseases,,"Ghasempour Dabbaghi, K; Khosravirad, Z; Jamalnia, S; GhorbaniNia, R; Mahmoudikohani, F; Zakeri, H; Khastehband, S"
Association between serum 25-hydroxyvitamin D3 level and cognitive impairment in older chronic kidney disease patients.,"This study aims to examine whether hypovitaminosis D was associated with cognitive impairment among chronic kidney patients with different level of albuminuria. This population-based cross-sectional study was conducted on elderly (over 60 years old) with urine albumin to creatinine ratio (UACR) ≥ 30 mg/g from 2011 to 2014 in the US National Health and Nutrition Examination Survey (NHANES). Cognitive function was assessed by the Consortium to Establish a Registry for Alzheimer's Disease Word List Learning (CERAD). Subjects were divided into 2 groups according to the absence or presence of cognitive impairment and a propensity score matching (PSM) was further conducted. The association was assessed with Spearman correlation and logistic regression analysis. The positive association of 25-hydroxyvitamin D3 (25(OH)D3) and cognitive score was presented. PSM analysis revealed that a higher level of 25(OH)D3 correlated to a better cognitive function in CKD patients with albuminuria, especially in patients with 30 mg/g ≤ UACR < 300 mg/g. This study indicated that a low 25(OH)D3 level was associated with poor cognitive performance, especially in patients with microalbuminuria. Thus, early diagnosis of vitamin D insufficiency and an effective intervention might be a useful therapeutic strategy to prevent cognitive decline in patients with the progression of renal dysfunction.",2024,,"Humans; Female; Male; Renal Insufficiency, Chronic; Cognitive Dysfunction; Aged; Cross-Sectional Studies; Calcifediol; Middle Aged; Albuminuria; Vitamin D Deficiency; Aged, 80 and over; Nutrition Surveys","Zhang, J; Zhang, A"
A Copper-Selective Sensor and Its Inhibition of Copper-Amyloid Beta Aggregation.,"Copper is an essential trace metal for biological processes in humans and animals. A low level of copper detection at physiological pH using fluorescent probes is very important for in vitro applications, such as the detection of copper in water or urine, and in vivo applications, such as tracking the dynamic copper concentrations inside cells. Copper homeostasis is disrupted in neurological diseases like Alzheimer's disease, and copper forms aggregates with amyloid beta (Ab42) peptide, resulting in senile plaques in Alzheimer's brains. Therefore, a selective copper detector probe that can detect amyloid beta peptide-copper aggregates and decrease the aggregate size has potential uses in medicine. We have developed a series of Cu",2024,Cu-amyloid beta; fluorescent copper chelator; non-amyloid aggregate inhibition,Copper; Amyloid beta-Peptides; Humans; Alzheimer Disease; Biosensing Techniques; Protein Aggregates; Fluorescent Dyes; Chelating Agents,"Nguyen, NK; Poduska, B; Franks, M; Bera, M; MacCormack, I; Lin, G; Petroff, AP; Das, S; Nag, A"
Predicting exacerbation of renal function by DNA methylation clock and DNA damage of urinary shedding cells: a pilot study.,"Recent reports have shown the feasibility of measuring biological age from DNA methylation levels in blood cells from specific regions identified by machine learning, collectively known as the epigenetic clock or DNA methylation clock. While extensive research has explored the association of the DNA methylation clock with cardiovascular diseases, cancer, and Alzheimer's disease, its relationship with kidney diseases remains largely unexplored. In particular, it is unclear whether the DNA methylation clock could serve as a predictor of worsening kidney function. In this pilot study involving 20 subjects, we investigated the association between the DNA methylation clock and subsequent deterioration of renal function. Additionally, we noninvasively evaluated DNA damage in urinary shedding cells using a previously reported method to examine the correlation with the DNA methylation clock and worsening kidney function. Our findings revealed that patients with an accelerated DNA methylation clock exhibited increased DNA damage in urinary shedding cells, along with a higher rate of eGFR decline. Moreover, in cases of advanced CKD (G4-5), the DNA damage in urinary shedding cells was significantly increased, highlighting the interplay between elevated DNA damage and eGFR decline. This study suggests the potential role of the DNA methylation clock and urinary DNA damage as predictive markers for the progression of chronic kidney disease.",2024,,"Humans; DNA Methylation; Pilot Projects; Male; DNA Damage; Female; Middle Aged; Aged; Renal Insufficiency, Chronic; Glomerular Filtration Rate; Disease Progression; Biomarkers; Kidney; Epigenesis, Genetic","Hishikawa, A; Nishimura, ES; Yoshimoto, N; Nakamichi, R; Hama, EY; Ito, W; Maruki, T; Nagashima, K; Shimizu-Hirota, R; Takaishi, H; Itoh, H; Hayashi, K"
Circulating Cell Free DNA and DNA Double-Strand Breakage in Alzheimer's Disease.,"Alzheimer's disease (AD) is an age-related neurodegenerative disease that is characterized by memory loss and multiple cognitive impairments. AD is pathologically characterized by age-dependent accumulation of amyloid-β protein and the phosphorylation of tau protein in the brains of patients with AD. Clinically, manifestations of AD include cognitive decline, dementia, alterations of high-order brain functions, and movement disorders. Double-stranded DNA breaks are a lethal form of DNA damage and are typically repaired via non-homologous end joining and homologous recombination. However, in AD brain, repair mechanism is disrupted, leading to a cascade of events, cognitive dysfunction, organ failure and reduced lifespan. Increased circulating cell-free DNA in the blood, cerebrospinal fluid, and urine in patients with AD, can be used as early detectable biomarkers for AD. The purpose of our article is to explore the potential uses of cell-free DNA and double-stranded DNA breaks as prognostic markers for AD and examine the recent research on the application of these markers in studies.",2024,Alzheimer’s disease; cell-free DNA; dementia; double-stranded DNA breaks,,"Nguyen, M; Wood, C; Rios, A; Salter, Z; Reddy, PH"
Effects of Exercise on Urinary AD7c-NTP (Alzheimer-Associated Neuronal Thread Protein) Levels and Cognitive Function Among Active Korean Elderly: A Randomized Controlled Trial.,"Alzheimer-associated neuronal thread protein (AD7c-NTP) has been demonstrated to have high diagnostic accuracy in differentiating Alzheimer's disease (AD) patients from healthy individuals. However, it is yet unclear whether exercise can lower the level of AD7c-NTP in urine among active Korean elderly.",2024,AD7C-NTP; Alzheimer’s disease; cognitive function; exercise; urine biomarker,Humans; Male; Female; Aged; Cognition; Exercise; Republic of Korea; Nerve Tissue Proteins; Exercise Therapy; Alzheimer Disease; Biomarkers; Neuropsychological Tests,"Kim, D; Jamrasi, P; Li, X; Ahn, S; Sung, Y; Ahn, S; Kang, Y; Song, W"
"Serum and urine metabolomics based on UPLC-QTOF/MS reveal the effect and potential mechanism of ""schisandra-evodia"" herb pair in the treatment of Alzheimer's disease.","The ""schisandra-evodia"" herb pair (S-E) is a herbal preparation to treat Alzheimer's disease (AD). This study aims to investigate the therapeutic efficacy and potential mechanism of S-E in AD rats, utilizing pharmacodynamic assessments and serum- and urine-based metabolomic analyses. Pharmacodynamic assessments included Morris water maze test, hematoxylin-eosin staining and immunohistochemistry experiments. The results of the study showed that the AD model was successful; the S-E significantly enhanced long-term memory and spatial learning in AD rats. Meanwhile, S-E notably ameliorated Aβ",2024,Alzheimer's disease; UPLC–QTOF/MS; metabolomics; “Schisandra–evodia” herb pair,"Alzheimer Disease; Animals; Metabolomics; Rats; Chromatography, High Pressure Liquid; Male; Rats, Sprague-Dawley; Metabolome; Tandem Mass Spectrometry; Disease Models, Animal; Drugs, Chinese Herbal; Biomarkers; Hippocampus; Amyloid beta-Peptides","Pang, C; Wang, R; Liu, K; Yuan, X; Ni, J; Cao, Q; Chen, Y; Dong, PL; Han, H"
Association of multiple metabolic and cardiovascular markers with the risk of cognitive decline and mortality in adults with Alzheimer's disease and AD-related dementia or cognitive decline: a prospective cohort study.,There is a scarcity of data stemming from large-scale epidemiological longitudinal studies focusing on potentially preventable and controllable risk factors for Alzheimer's disease (AD) and AD-related dementia (ADRD). This study aimed to examine the effect of multiple metabolic factors and cardiovascular disorders on the risk of cognitive decline and AD/ADRD.,2024,Alzheimer’s disease; Multiple biomarkers; association analysis; metabolic and vascular disorders; risk of cognitive decline,,"Liu, L; Gracely, EJ; Zhao, X; Gliebus, GP; May, NS; Volpe, SL; Shi, J; DiMaria-Ghalili, RA; Eisen, HJ"
Specific Binding of Alzheimer's Aβ Peptides to Extracellular Vesicles.,"Alzheimer's disease (AD) is the fifth leading cause of death among adults aged 65 and older, yet the onset and progression of the disease is poorly understood. What is known is that the presence of amyloid, particularly polymerized Aβ42, defines when people are on the AD continuum. Interestingly, as AD progresses, less Aβ42 is detectable in the plasma, a phenomenon thought to result from Aβ becoming more aggregated in the brain and less Aβ42 and Aβ40 being transported from the brain to the plasma via the CSF. We propose that extracellular vesicles (EVs) play a role in this transport. EVs are found in bodily fluids such as blood, urine, and cerebrospinal fluid and carry diverse ""cargos"" of bioactive molecules (e.g., proteins, nucleic acids, lipids, metabolites) that dynamically reflect changes in the cells from which they are secreted. While Aβ42 and Aβ40 have been reported to be present in EVs, it is not known whether this interaction is specific for these peptides and thus whether amyloid-carrying EVs play a role in AD and/or serve as brain-specific biomarkers of the AD process. To determine if there is a specific interaction between Aβ and EVs, we used isothermal titration calorimetry (ITC) and discovered that Aβ42 and Aβ40 bind to EVs in a manner that is sequence specific, saturable, and endothermic. In addition, Aβ incubation with EVs overnight yielded larger amounts of bound Aβ peptide that was fibrillar in structure. These findings point to a specific amyloid-EV interaction, a potential role for EVs in the transport of amyloid from the brain to the blood, and a role for this amyloid pool in the AD process.",2024,amyloid; atomic force microscopy (AFM); extracellular vesicles (EVs); isothermal titration calorimetry (ITC),Adult; Humans; Alzheimer Disease; Peptides; Extracellular Vesicles; Amyloidogenic Proteins; Plasma,"Coughlan, C; Lindenberger, J; Jacot, JG; Johnson, NR; Anton, P; Bevers, S; Welty, R; Graner, MW; Potter, H"
