title,abstract,publication_year,keywords,mesh_terms,authors
Through Alzheimer's Eyes: A Virtual Pilot Intervention for Family Caregivers of People with Dementia.,To evaluate the feasibility and acceptability of a virtually delivered psychoeducational skill-building intervention for ADRD caregivers.,2024,Acceptability; feasibility; information and communication technologies; memory; virtual reality,,"Gómez-Morales, A; Coon, DW; Joseph, RP; Pipe, T"
Embodied Spatial Navigation Training in Mild Cognitive Impairment: A Proof-of-Concept Trial.,Egocentric and allocentric spatial memory impairments affect the navigation abilities of older adults with mild cognitive impairment (MCI). Embodied cognition research hints that specific aids can be implemented into virtual reality (VR) training to enhance spatial memory.,2024,Alzheimer’s disease; dementia; embodied cognition; mild cognitive impairment; rehabilitation; spatial cognition; virtual reality,,"Tuena, C; Serino, S; Pedroli, E; Stramba-Badiale, C; Goulene, KM; Stramba-Badiale, M; Riva, G"
Exploring the Relationship between Behavioral and Neurological Impairments Due to Mild Cognitive Impairment: Correlation Study between Virtual Kiosk Test and EEG-SSVEP.,"Amnestic mild cognitive impairment (aMCI) is a transitional stage between normal aging and Alzheimer's disease, making early screening imperative for potential intervention and prevention of progression to Alzheimer's disease (AD). Therefore, there is a demand for research to identify effective and easy-to-use tools for aMCI screening. While behavioral tests in virtual reality environments have successfully captured behavioral features related to instrumental activities of daily living for aMCI screening, further investigations are necessary to establish connections between cognitive decline and neurological changes. Utilizing electroencephalography with steady-state visual evoked potentials, this study delved into the correlation between behavioral features recorded during virtual reality tests and neurological features obtained by measuring neural activity in the dorsal stream. As a result, this multimodal approach achieved an impressive screening accuracy of 98.38%.",2024,brain–computer interface; human cognition; instrumental activities of daily living; steady-state visual evoked potentials; virtual reality,"Humans; Cognitive Dysfunction; Electroencephalography; Aged; Male; Female; Evoked Potentials, Visual; Virtual Reality; Alzheimer Disease; Neuropsychological Tests; Activities of Daily Living; Middle Aged","Kim, D; Kim, Y; Park, J; Choi, H; Ryu, H; Loeser, M; Seo, K"
Characteristics of the top 100 cited electroencephalography articles on aging: a bibliometric analysis.,"Electroencephalography (EEG) is a widely used tool in neuroscience. To explore the features of the top 100 cited articles related to EEG and aging over the past decade, we conducted a bibliometric analysis using Web of Science Core Collection (WoSCC) data as of January 21, 2024. The selected top 100 cited papers were analyzed using VOSviewer and Excel. We examined the distribution of publication years, authors, institutions, countries/regions, and journals. Hotspots were identified through keyword analysis. The analyzed articles were published between 2014 and 2021, with the majority being published before 2020 (n=91). Citation counts in WoSCC ranged from 24 to 250, with a median of 40 and a mean of 53. A total of 818 authors from 283 institutions in 35 countries/territories contributed to these top papers. The United States of America (USA) (n=37), Germany (n=14), and Canada (n=11) ranked in the top three in terms of total publications or citations. The predominant journals were in the fields of Neuroscience (n=58), Geriatrics & Gerontology (n=22), Clinical Neurology (n=13), and Anesthesiology (n=9), which published most of the high-quality articles. Key themes included EEG, aging, Alzheimer's disease, mild cognitive impairment, functional connectivity, and alpha oscillations. Emerging topics included sleep, machine learning, delirium, postoperative cognitive function, virtual reality, monitoring, resting state, coherence, and transcranial direct current stimulation. In conclusion, this study provides a comprehensive overview of the trends in scientific literature on EEG in aging over the past decade. Authors and institutions from North America, Europe, and East Asia led in contributions. Journals focusing on neuroscience, geriatrics, and anesthesiology published the majority of articles. Degenerative neurological diseases and cognitive impairment were prominent topics, suggesting future studies should explore EEG's diagnostic utility for these disorders.",2024,Bibliometric analysis; electroencephalography; hot spots; the elderly; top papers,,"Pu, Y; Tian, P; Huang, Z"
"The Current Status and Trends of Research Related to Vestibular Disorders, Vertigo, and Cognitive Impairment in the Elderly Population: A Bibliometric Analysis.",,2024,bibliometrics; cognitive impairment; elderly population; vertigo; vestibular disorders,,"Pan, S; Hu, Y; Zhang, H; He, Y; Tian, C; Lei, J"
Multidimensional assessment of social cognition using non-immersive virtual reality in dementia with Lewy bodies and Alzheimer's disease: an exploratory study.,"Few studies have focused on social cognition in dementia with Lewy bodies (DLB), even though some brain structures being well known as underlying social cognitive processes are directly impacted in this disease. Furthermore, social cognition processes have been mostly studied independently using evaluations with poor ecological validity. We aimed at studying the ability of a new naturalistic and multidimensional social cognition task to reveal impairments in DLB patients. We chose to compare the profile of these patients with that of Alzheimer's disease (AD) patients, for which social cognition is better preserved.",2024,Dementia; empathy; moral cognition; neuropsychology; theory of mind,,"Msika, EF; Verny, M; Dieudonné, B; Ehrlé, N; Gaston-Bellegarde, A; Orriols, E; Piolino, P; Narme, P"
The use of virtual reality as a perspective-taking manipulation to improve self-awareness in Alzheimer's disease.,"Lack of awareness of symptoms or having a condition referred to as anosognosia is a common feature of individuals with Alzheimer's Disease (AD). Previous literature on AD reported difficulties in evaluating self-abilities, often showing underestimation of limitations. There is increasing evidence that the perspective through which information is presented may moderate the performance appraisal and that anosognosia in AD might be a consequence of a deficit in assuming a third-person perspective. In this context, some studies showed that subjects may better recognize self-and other-difficulties when exposed to a third-person perspective. Considering the variety of approaches aiming to investigate the lack of awareness, there is still a scarcity of methods that provide great ecological validity and consider more than one facet of awareness, thus failing to offer more accurate evaluations of daily experiences. The present paper primarily addresses the theme of the multidimensional character of awareness of abilities in AD and the effect of perspective-taking on its trajectories. The focus turns to virtual reality as a promising tool for a greater evaluation of perspective-taking and self-awareness. Particularly, these systems offer the possibility to involve users in cognitive and sensorimotor tasks that simulate daily life conditions within immersive and realistic environments, and a great sense of embodiment. We propose that virtual reality might allow a great level of complexity, veracity, and safety that is needed for individuals with AD to behave according to their actual abilities and enable to explore the liaison between the subject's viewpoint, performance, and self-evaluation. In addition, we suggest promising clinical implications of virtual reality-based methods for individualized assessments, investigating specific impacts on subjects' life and possible improvements in their awareness.",2024,Alzheimer’s disease; anosognosia; perspective-taking; self-awareness; virtual reality,,"Latgé-Tovar, S; Bertrand, E; Piolino, P; Mograbi, DC"
Differential disruptions in population coding along the dorsal-ventral axis of CA1 in the APP/PS1 mouse model of Aβ pathology.,"Alzheimer's Disease (AD) is characterized by a range of behavioral alterations, including memory loss and psychiatric symptoms. While there is evidence that molecular pathologies, such as amyloid beta (Aβ), contribute to AD, it remains unclear how this histopathology gives rise to such disparate behavioral deficits. One hypothesis is that Aβ exerts differential effects on neuronal circuits across brain regions, depending on the neurophysiology and connectivity of different areas. To test this, we recorded from large neuronal populations in dorsal CA1 (dCA1) and ventral CA1 (vCA1), two hippocampal areas known to be structurally and functionally diverse, in the APP/PS1 mouse model of amyloidosis. Despite similar levels of Aβ pathology, dCA1 and vCA1 showed distinct disruptions in neuronal population activity as animals navigated a virtual reality environment. In dCA1, pairwise correlations and entropy, a measure of the diversity of activity patterns, were decreased in APP/PS1 mice relative to age-matched C57BL/6 controls. However, in vCA1, APP/PS1 mice had increased pair-wise correlations and entropy as compared to age matched controls. Finally, using maximum entropy models, we connected the microscopic features of population activity (correlations) to the macroscopic features of the population code (entropy). We found that the models' performance increased in predicting dCA1 activity, but decreased in predicting vCA1 activity, in APP/PS1 mice relative to the controls. Taken together, we found that Aβ exerts distinct effects across different hippocampal regions, suggesting that the various behavioral deficits of AD may reflect underlying heterogeneities in neuronal circuits and the different disruptions that Aβ pathology causes in those circuits.",2024,,"Animals; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Amyloid beta-Protein Precursor; CA1 Region, Hippocampal; Computational Biology; Disease Models, Animal; Mice, Inbred C57BL; Mice, Transgenic; Neurons; Presenilin-1","Chockanathan, U; Padmanabhan, K"
Bodily and Visual-Cognitive Navigation Aids to Enhance Spatial Recall in Mild Cognitive Impairment.,"Individuals with mild cognitive impairment (MCI) syndrome often report navigation difficulties, accompanied by impairments in egocentric and allocentric spatial memory. However, studies have shown that both bodily (e.g., motor commands, proprioception, vestibular information) and visual-cognitive (e.g., maps, directional arrows, attentional markers) cues can support spatial memory in MCI.",2024,mild cognitive impairment; Alzheimer’s disease; dementia; embodied cognition; rehabilitation; spatial cognition,"Humans; Cognitive Dysfunction; Male; Female; Aged; Spatial Navigation; Virtual Reality; Mental Recall; Cues; Spatial Memory; Neuropsychological Tests; Middle Aged; Aged, 80 and over","Tuena, C; Serino, S; Goulene, KM; Pedroli, E; Stramba-Badiale, M; Riva, G"
Tumour organoids and assembloids: Patient-derived cancer avatars for immunotherapy.,"Organoid technology is an emerging and rapidly growing field that shows promise in studying organ development and screening therapeutic regimens. Although organoids have been proposed for a decade, concerns exist, including batch-to-batch variations, lack of the native microenvironment and clinical applicability.",2024,PDTO biobank; assembloid; cell therapy; immunotherapy; organoid,Humans; Organoids; Immunotherapy; Neoplasms; Precision Medicine; Avatar,"Mei, J; Liu, X; Tian, HX; Chen, Y; Cao, Y; Zeng, J; Liu, YC; Chen, Y; Gao, Y; Yin, JY; Wang, PY"
