title,abstract,publication_year,keywords,mesh_terms,authors
Clinically feasible automated MRI volumetry of the brain as a prognostic marker in subjective and mild cognitive impairment.,"The number of patients suffering from cognitive decline and dementia increases, and new possible treatments are being developed. Thus, the need for time efficient and cost-effective methods to facilitate an early diagnosis and prediction of future cognitive decline in patients with early cognitive symptoms is becoming increasingly important. The aim of this study was to evaluate whether an MRI based software, NeuroQuant® (NQ), producing volumetry of the hippocampus and whole brain volume (WBV) could predict: (1) conversion from subjective cognitive decline (SCD) at baseline to mild cognitive impairment (MCI) or dementia at follow-up, and from MCI at baseline to dementia at follow-up and (2) progression of cognitive and functional decline defined as an annual increase in the Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) score.",2024,Alzheimer’s disease; Clinical Dementia Rating Scale; automated volumetry NeuroQuant®; dementia; disease progression; magnetic resonance imaging; mild cognitive impairment; subjective cognitive decline,,"Amland, R; Selbæk, G; Brækhus, A; Edwin, TH; Engedal, K; Knapskog, AB; Olsrud, ER; Persson, K"
Poststroke cognitive outcome is better accounted for by white matter abnormalities automated segmentation than visual analysis.,"The association between white matter abnormalities (WMA) and cognitive decline previously reported in poststroke patients has been mainly documented using visual scales. However, automated segmentation of WMA provides a precise determination of the volume of WMA. Nonetheless, it is rarely used in the stroke population and its potential advantage over visual scales is still unsettled. The objective of this study was to examine whether automated segmentation of WMA provides a better account than the visual Fazekas and Wahlund scales of the decline in executive functions and processing speed in stroke patients.",2024,Control functions; Dementia; Executive functions; Hemorrhage; Infarct; MRI; Mild cognitive impairment; Stroke; WMH,,"Lawson, B; Martin, J; Aarabi, A; Ouin, E; Tasseel-Ponche, S; Barbay, M; Andriuta, D; Roussel, M; Godefroy, O"
Extraction of sleep information from clinical notes of Alzheimer's disease patients using natural language processing.,"Alzheimer's disease (AD) is the most common form of dementia in the United States. Sleep is one of the lifestyle-related factors that has been shown critical for optimal cognitive function in old age. However, there is a lack of research studying the association between sleep and AD incidence. A major bottleneck for conducting such research is that the traditional way to acquire sleep information is time-consuming, inefficient, non-scalable, and limited to patients' subjective experience. We aim to automate the extraction of specific sleep-related patterns, such as snoring, napping, poor sleep quality, daytime sleepiness, night wakings, other sleep problems, and sleep duration, from clinical notes of AD patients. These sleep patterns are hypothesized to play a role in the incidence of AD, providing insight into the relationship between sleep and AD onset and progression.",2024,Alzheimer’s disease; clinical notes; electronic health records; information extraction; natural language processing; sleep,,"Sivarajkumar, S; Tam, TYC; Mohammad, HA; Viggiano, S; Oniani, D; Visweswaran, S; Wang, Y"
The Case of the Cookie Jar: Differences in Typical Language Use in Dementia.,Findings from language sample analyses can provide efficient and effective indicators of cognitive impairment in older adults.,2024,Alzheimer’s disease; language; mild cognitive impairment; speech,,"Fromm, D; Dalton, SG; Brick, A; Olaiya, G; Hill, S; Greenhouse, J; MacWhinney, B"
Evaluation of core Biomarkers of Alzheimer's disease in saliva and plasma measured by chemiluminescent enzyme immunoassays on a fully automated platform.,"Cerebrospinal fluid (CSF) core biomarkers of Alzheimer's disease (AD), including amyloid peptide beta-42 (Aβ42), Aβ42/40 ratio, and phosphorylated tau (pTau), are precious tools for supporting AD diagnosis. However, their use in clinical practice is limited due to the invasiveness of CSF collection. Thus, there is intensive research to find alternative, noninvasive, and widely accessible biological matrices to measure AD core biomarkers. In this study, we measured AD core biomarkers in saliva and plasma by a fully automated platform. We enrolled all consecutive patients with cognitive decline. For each patient, we measured Aβ42, Aβ40, and pTau levels in CSF, saliva, and plasma by Lumipulse G1200 (Fujirebio). We included forty-two patients, of whom 27 had AD. Levels of all biomarkers significantly differed in the three biofluids, with saliva having the lowest and CSF the highest levels of Aβ42, Aβ40, and pTau. A positive correlation of pTau, Aβ42/40 ratio, and pTau/Aβ42 ratio levels in CSF and plasma was detected, while no correlation between any biomarker in CSF and saliva was found. Our findings suggest that plasma but not saliva could represent a surrogate biofluid for measuring core AD biomarkers. Specifically, plasma Aβ42/40 ratio, pTau/Aβ42 ratio, and pTau could serve as surrogates of the corresponding CSF biomarkers.",2024,AD; Beta-amyloid; Biomarker; Fujirebio; Plasma; Saliva; Tau,"Humans; Alzheimer Disease; Saliva; Biomarkers; Female; Male; Aged; Amyloid beta-Peptides; tau Proteins; Middle Aged; Peptide Fragments; Luminescent Measurements; Aged, 80 and over","Agnello, L; Giglio, RV; Del Ben, F; Piccoli, T; Colletti, T; Scazzone, C; Lo Sasso, B; Ciaccio, AM; Gambino, CM; Salemi, G; Ciaccio, M"
Can white matter hyperintensities based Fazekas visual assessment scales inform about Alzheimer's disease pathology in the population?,"White matter hyperintensities (WMH) are considered hallmark features of cerebral small vessel disease and have recently been linked to Alzheimer's disease (AD) pathology. Their distinct spatial distributions, namely periventricular versus deep WMH, may differ by underlying age-related and pathobiological processes contributing to cognitive decline. We aimed to identify the spatial patterns of WMH using the 4-scale Fazekas visual assessment and explore their differential association with age, vascular health, AD imaging markers, namely amyloid and tau burden, and cognition. Because our study consisted of scans from GE and Siemens scanners with different resolutions, we also investigated inter-scanner reproducibility and combinability of WMH measurements on imaging.",2024,Alzheimer’s disease; Deep white matter hyperintensity; Fazekas score; Periventricular white matter hyperintensity; White matter hyperintensities,"Humans; Alzheimer Disease; Female; Male; Aged; White Matter; Magnetic Resonance Imaging; Aged, 80 and over; Positron-Emission Tomography; Reproducibility of Results; Middle Aged; tau Proteins; Brain","Pradeep, A; Raghavan, S; Przybelski, SA; Preboske, GM; Schwarz, CG; Lowe, VJ; Knopman, DS; Petersen, RC; Jack, CR; Graff-Radford, J; Cogswell, PM; Vemuri, P"
Assessing CT-based Volumetric Analysis via Transfer Learning with MRI and Manual Labels for Idiopathic Normal Pressure Hydrocephalus.,"Brain computed tomography (CT) is an accessible and commonly utilized technique for assessing brain structure. In cases of idiopathic normal pressure hydrocephalus (iNPH), the presence of ventriculomegaly is often neuroradiologically evaluated by visual rating and manually measuring each image. Previously, we have developed and tested a deep-learning-model that utilizes transfer learning from magnetic resonance imaging (MRI) for CT-based intracranial tissue segmentation. Accordingly, herein we aimed to enhance the segmentation of ventricular cerebrospinal fluid (VCSF) in brain CT scans and assess the performance of automated brain CT volumetrics in iNPH patient diagnostics.",2024,CNNs; CT; MRI; deep learning; hydrocephalus; volumetry,,"Srikrishna, M; Seo, W; Zettergren, A; Kern, S; Cantré, D; Gessler, F; Sotoudeh, H; Seidlitz, J; Bernstock, JD; Wahlund, LO; Westman, E; Skoog, I; Virhammar, J; Fällmar, D; Schöll, M"
Vision-based estimation of fatigue and engagement in cognitive training sessions.,"Computerized cognitive training (CCT) is a scalable, well-tolerated intervention that has promise for slowing cognitive decline. The effectiveness of CCT is often affected by a lack of effective engagement. Mental fatigue is a the primary factor for compromising effective engagement in CCT, particularly in older adults at risk for dementia. There is a need for scalable, automated measures that can constantly monitor and reliably detect mental fatigue during CCT. Here, we develop and validate a novel Recurrent Video Transformer (RVT) method for monitoring real-time mental fatigue in older adults with mild cognitive impairment using their video-recorded facial gestures during CCT. The RVT model achieved the highest balanced accuracy (79.58%) and precision (0.82) compared to the prior models for binary and multi-class classification of mental fatigue. We also validated our model by significantly relating to reaction time across CCT tasks (Waldχ",2024,Cognitive training; Computer vision; Disengagement; Facial gestures; Fatigue detection,,"Wang, Y; Turnbull, A; Xu, Y; Heffner, K; Lin, FV; Adeli, E"
An Overview of the ADReSS-M Signal Processing Grand Challenge on Multilingual Alzheimer's Dementia Recognition Through Spontaneous Speech.,"The ADReSS-M Signal Processing Grand Challenge was held at the 2023 IEEE International Conference on Acoustics, Speech and Signal Processing, ICASSP 2023. The challenge targeted difficult automatic prediction problems of great societal and medical relevance, namely, the detection of Alzheimer's Dementia (AD) and the estimation of cognitive test scoress. Participants were invited to create models for the assessment of cognitive function based on spontaneous speech data. Most of these models employed signal processing and machine learning methods. The ADReSS-M challenge was designed to assess the extent to which predictive models built based on speech in one language generalise to another language. The language data compiled and made available for ADReSS-M comprised English, for model training, and Greek, for model testing and validation. To the best of our knowledge no previous shared research task investigated acoustic features of the speech signal or linguistic characteristics in the context of multilingual AD detection. This paper describes the context of the ADReSS-M challenge, its data sets, its predictive tasks, the evaluation methodology we employed, our baseline models and results, and the top five submissions. The paper concludes with a summary discussion of the ADReSS-M results, and our critical assessment of the future outlook in this field.",2024,Alzheimer’s disease; Biomedical signal processing; human disease biomarkers; medical conditions; multilingual Alzheimer’s dementia detection; natural language processing; speech processing,,"Luz, S; Haider, F; Fromm, D; Lazarou, I; Kompatsiaris, I; Macwhinney, B"
Prolonged ventricular repolarization associated with mild cognitive impairment and white matter hyperintensities: a cross-sectional study.,"Prolonged ventricular repolarization has been associated with cardiovascular disease. We sought to investigate the association of prolonged ventricular repolarization with mild cognitive impairment (MCI) and the potential underlying neuropathological mechanisms in older adults. This cross-sectional study included 4328 dementia-free participants (age ≥ 65 years; 56.8% female) in the baseline examination of the Multidomain INterventions to delay dementia and Disability in rural China; of these, 989 undertook structural brain magnetic resonance imaging (MRI) scans. QT, QTc, JT, JTc, and QRS intervals were derived from 12-lead electrocardiograph. MCI, amnestic MCI (aMCI), and non-amnestic MCI (naMCI) were defined following the Petersen's criteria. Volumes of gray matter (GM), white matter, cerebrospinal fluid, total white matter hyperintensities (WMH), periventricular WMH (PWMH), and deep WMH (DWMH) were automatically estimated. Data were analyzed using logistic and general linear regression models. Prolonged QT, QTc, JT, and JTc intervals were significantly associated with an increased likelihood of MCI and aMCI, but not naMCI (p < 0.05). In the MRI subsample, QT, QTc, JT, and JTc intervals were significantly associated with larger total WMH and PWMH volumes (p < 0.05), but not with DWMH volume. Statistical interactions were detected, such that prolonged QT and JT intervals were significantly associated with reduced GM volume only among participants with coronary heart disease or without APOE ε4 allele (p < 0.05). Prolonged ventricular repolarization is associated with MCI and cerebral microvascular lesions in a general population of older adults. This underlies the importance of cognitive assessments and brain MRI examination among older adults with prolonged QT interval.",2024,Cross-sectional study; Electrocardiogram; Mild cognitive impairment; Prolonged ventricular repolarization; White matter hyperintensities,"Humans; Cognitive Dysfunction; Female; Male; Aged; Cross-Sectional Studies; White Matter; Magnetic Resonance Imaging; Electrocardiography; Aged, 80 and over; Gray Matter; China","Mao, M; Wei, Y; Wang, C; Han, X; Liu, R; Dong, Y; Song, L; Cong, L; Wang, Y; Du, Y; Qiu, C"
