title,abstract,publication_year,keywords,mesh_terms,authors
"Shorter sleep duration and lesser sleep efficiency are associated with poorer memory functions among non-demented, middle-aged, and older rural Indians.","Sleep is known to be involved in cognitive processes, such as memory encoding and consolidation, and poor sleep is a potential risk factor for dementia. This study aims to investigate the effect of sleep quality on memory functions among middle-aged and older adults from a rural Indian population.",2024,aging; memory; rural India; sleep,,"Rai, P; Sundarakumar, JS"
A Novel Dual-Language Touch-Screen Intervention to Slow Down Cognitive Decline in Older Adults: A Randomized Controlled Trial.,"Bilingualism has been suggested to protect older adults from cognitive aging and delay the onset of dementia. However, no studies have systematically explored bilingual usage as a tool to mitigate age-related cognitive decline. We developed the Dual-Language Intervention in Semantic memory-Computerized (DISC), a novel cognitive training program with three training tasks (object categorization, verbal fluency, and utility of things) designed specifically for older adults that featured two modes: single-language (SL) exposure mode and dual-language (DL) exposure mode.",2024,Bilingualism; Cognitive intervention; Cognitively impaired; Dementia; Verbal memory,,"Yow, WQ; Sou, KL; Wong, AC"
Vision-based estimation of fatigue and engagement in cognitive training sessions.,"Computerized cognitive training (CCT) is a scalable, well-tolerated intervention that has promise for slowing cognitive decline. The effectiveness of CCT is often affected by a lack of effective engagement. Mental fatigue is a the primary factor for compromising effective engagement in CCT, particularly in older adults at risk for dementia. There is a need for scalable, automated measures that can constantly monitor and reliably detect mental fatigue during CCT. Here, we develop and validate a novel Recurrent Video Transformer (RVT) method for monitoring real-time mental fatigue in older adults with mild cognitive impairment using their video-recorded facial gestures during CCT. The RVT model achieved the highest balanced accuracy (79.58%) and precision (0.82) compared to the prior models for binary and multi-class classification of mental fatigue. We also validated our model by significantly relating to reaction time across CCT tasks (Waldχ",2024,Cognitive training; Computer vision; Disengagement; Facial gestures; Fatigue detection,,"Wang, Y; Turnbull, A; Xu, Y; Heffner, K; Lin, FV; Adeli, E"
Reliability and Validity of a Tablet-Based Neuropsychological Test (the Hellocog) for Screening Dementia.,"To address the gap in timely diagnosis of dementia due to limited screening tools, we investigated the validity and reliability of the Hellocog, computerized neuropsychological test based on tablets for screening dementia. The higher the probability score on the Hellocog, the higher the likelihood of dementia.",2024,Dementia; Reliability; Screen; Sensitivity; Specificity; Validity,,"Seok, DH; Yang, HW; Han, JW; Lim, JH; Kim, SH; Kim, EY; Kim, KW"
Effects of computerized cognitive training on biomarker responses in older adults with mild cognitive impairment: A scoping review.,"Mild cognitive impairment (MCI) is a widespread condition in older individuals, posing significant risk of dementia. However, limited research has been conducted to explore effective interventions and clarify their impact at the neural level. Therefore, this study aimed to investigate the effects of computerized cognitive training (CCT) and explore the associated neural mechanisms in preventing dementia in older individuals with MCI, with a view to inform future intervention efforts.",2024,biomarker; brain‐derived neurotrophic factor; computerized cognitive training; electroencephalography; functional near‐infrared spectroscopy; magnetic resonance imaging; mild cognitive impairment,,"Hayashi, H; Sone, T; Iokawa, K; Sumigawa, K; Fujita, T; Kawamata, H; Asao, A; Kawasaki, I; Ogasawara, M; Kawakatsu, S"
"Healthcare Needs Patterns and Pattern-Predicting Factors in Dementia: Results of the Comprehensive, Computerized Unmet Needs Assessment from the Randomized, Controlled Interventional Trial InDePendent.",Determining unmet need patterns and associated factors in primary care can potentially specify assessment batteries and tailor interventions in dementia more efficiently.,2024,Alzheimer’s disease; dementia; latent class analysis; primary care; profiles; unmet needs,"Humans; Male; Female; Dementia; Aged; Aged, 80 and over; Needs Assessment; Health Services Needs and Demand; Latent Class Analysis; Independent Living; Middle Aged","Michalowsky, B; Rädke, A; Scharf, A; Mühlichen, F; Buchholz, M; Platen, M; Kleinke, F; Penndorf, P; Pfitzner, S; van den Berg, N; Hoffmann, W"
A Novel Computerized Cognitive Test for the Detection of Mild Cognitive Impairment and Its Association with Neurodegeneration in Alzheimer's Disease Prone Brain Regions.,"During the prodromal stage of Alzheimer's disease (AD), neurodegenerative changes can be identified by measuring volumetric loss in AD-prone brain regions on MRI. Cognitive assessments that are sensitive enough to measure the early brain-behavior manifestations of AD and that correlate with biomarkers of neurodegeneration are needed to identify and monitor individuals at risk for dementia. Weak sensitivity to early cognitive change has been a major limitation of traditional cognitive assessments. In this study, we focused on expanding our previous work by determining whether a digitized cognitive stress test, the Loewenstein-Acevedo Scales for Semantic Interference and Learning, Brief Computerized Version (LASSI-BC) could differentiate between Cognitively Unimpaired (CU) and amnestic Mild Cognitive Impairment (aMCI) groups. A second focus was to correlate LASSI-BC performance to volumetric reductions in AD-prone brain regions. Data was gathered from 111 older adults who were comprehensively evaluated and administered the LASSI-BC. Eighty-seven of these participants (51 CU; 36 aMCI) underwent MR imaging. The volumes of 12 AD-prone brain regions were related to LASSI-BC and other memory tests correcting for False Discovery Rate (FDR). Results indicated that, even after adjusting for initial learning ability, the failure to recover from proactive semantic interference (frPSI) on the LASSI-BC differentiated between CU and aMCI groups. An optimal combination of frPSI and initial learning strength on the LASSI-BC yielded an area under the ROC curve of 0.876 (76.1% sensitivity, 82.7% specificity). Further, frPSI on the LASSI-BC was associated with volumetric reductions in the hippocampus, amygdala, inferior temporal lobes, precuneus, and posterior cingulate.",2023,Cortical Thickness; LASSI-L; MRI Volume; Mild Cognitive Impairment; Proactive Semantic Interference,,"Curiel Cid, RE; Zheng, DD; Kitaigorodsky, M; Adjouadi, M; Crocco, EA; Georgiou, M; Gonzalez-Jimenez, C; Ortega, A; Goryawala, M; Nagornaya, N; Pattany, P; Sfakianaki, E; Visser, U; Loewenstein, DA"
Evaluating an interactive tool that reasons about quality of life to support life planning by older people.,"In response to the lack of digital support for older people to plan their lives for quality of life, research was undertaken to co-design and then evaluate a new digital tool that combined interactive guidance for life planning with a computerised model of quality of life.",2024,Older people; Parkinson's disease; dementia; life planning; quality of life; summative evaluation,,"Maiden, N; Hide, S; Lockerbie, J; Stumpf, S; Hoe, J; Hirani, S"
"Long-term, home-based transcranial direct current stimulation coupled with computerized cognitive training in frontotemporal dementia: A case report.","We present the case of a 62-year-old woman with probable behavioral variant of frontotemporal dementia (bvFTD) with cognitive/language deficits who demonstrated improved performance on cognitive/language testing and in functional tasks following long-term, home-based transcranial direct current stimulation (tDCS) coupled with computerized cognitive training (CCT). The patient underwent home-based tDCS (anode on the left prefrontal cortex and cathode on the right homologue) for 46 sessions over 10 weeks along with CCT. On post-treatment testing, the patient improved by 3 points on the Mini-Mental State Exam (MMSE) (23 to 26). She also showed improvement on several cognitive/language tasks, such as immediate recall of single words and word pairs, total accurate words in sentence repetition, delayed recall, semantic processing, and sentence level comprehension. There was no decline in several other cognitive and language tasks. Family members reported subjective improvements in expressiveness, communication, and interaction with others as well as increased attention to grooming and style which contrasted with her pre-treatment condition. This report suggests that home-based tDCS combined with CCT for an extended period may slow decline, and improve cognitive/language performance and everyday function in FTD.",2024,Frontotemporal dementia; behavioral variant frontotemporal dementia; case report; transcranial direct current stimulation,,"Tippett, DC; Neophytou, K; Tao, Y; Gallegos, J; Morrow, C; Onyike, CU; Tsapkini, K"
Automated detection of cognitive impairment in clinical practice.,"Cognitive impairment is now recognized as an impending public health crisis. About one-third of adults are concerned about their cognition, and the prevalence of objective cognitive impairment is much higher among those with neurological disorders. Existing screening tools are narrowly focused on detecting dementia in older adults and must be clinician-administered and scored, making them impractical for many neurology practices. This study examined the utility of a brief, self-administered, computerized cognitive screening tool, the Brief Assessment of Cognitive Health (BACH), in identifying cognitive impairment in adults.",2024,Automated; BACH; Brief Assessment of Cognitive Health; Cognition; Computerized; Memory; Screening; Technology,,"Busch, RM; Hogue, O; Postle, AF; Floden, DP"
