title,abstract,publication_year,keywords,mesh_terms,authors
At-admission prediction of mortality and pulmonary embolism in an international cohort of hospitalised patients with COVID-19 using statistical and machine learning methods.,"By September 2022, more than 600 million cases of SARS-CoV-2 infection have been reported globally, resulting in over 6.5 million deaths. COVID-19 mortality risk estimators are often, however, developed with small unrepresentative samples and with methodological limitations. It is highly important to develop predictive tools for pulmonary embolism (PE) in COVID-19 patients as one of the most severe preventable complications of COVID-19. Early recognition can help provide life-saving targeted anti-coagulation therapy right at admission. Using a dataset of more than 800,000 COVID-19 patients from an international cohort, we propose a cost-sensitive gradient-boosted machine learning model that predicts occurrence of PE and death at admission. Logistic regression, Cox proportional hazards models, and Shapley values were used to identify key predictors for PE and death. Our prediction model had a test AUROC of 75.9% and 74.2%, and sensitivities of 67.5% and 72.7% for PE and all-cause mortality respectively on a highly diverse and held-out test set. The PE prediction model was also evaluated on patients in UK and Spain separately with test results of 74.5% AUROC, 63.5% sensitivity and 78.9% AUROC, 95.7% sensitivity. Age, sex, region of admission, comorbidities (chronic cardiac and pulmonary disease, dementia, diabetes, hypertension, cancer, obesity, smoking), and symptoms (any, confusion, chest pain, fatigue, headache, fever, muscle or joint pain, shortness of breath) were the most important clinical predictors at admission. Age, overall presence of symptoms, shortness of breath, and hypertension were found to be key predictors for PE using our extreme gradient boosted model. This analysis based on the, until now, largest global dataset for this set of problems can inform hospital prioritisation policy and guide long term clinical research and decision-making for COVID-19 patients globally. Our machine learning model developed from an international cohort can serve to better regulate hospital risk prioritisation of at-risk patients.",2024,,"Humans; COVID-19; Pulmonary Embolism; Machine Learning; Male; Female; Middle Aged; Aged; Hospitalization; SARS-CoV-2; Cohort Studies; Spain; Adult; Aged, 80 and over; Risk Factors; United Kingdom","Mesinovic, M; Wong, XC; Rajahram, GS; Citarella, BW; Peariasamy, KM; van Someren Greve, F; Olliaro, P; Merson, L; Clifton, L; Kartsonaki, C"
CRY2 mediates the cognitive decline induced by sleep deprivation in 5xFAD mice.,Cryptochrome-2 (CRY2) is a core rhythm gene that plays a crucial role in DNA damage repair. The present study investigated the potential role of CRY2 in mediating sleep deprivation-induced cognitive decline in 5xFAD mice.,2024,,"Animals; Sleep Deprivation; Cognitive Dysfunction; Mice; Cryptochromes; Mice, Transgenic; Male; Positron Emission Tomography Computed Tomography; Disease Models, Animal; Alzheimer Disease; Maze Learning; Brain","Luo, S; Guo, L; Chen, N; Guo, Q; Xie, Y; Wang, Y; Wang, E"
Twitter Discussions on #digitaldementia: Content and Sentiment Analysis.,"Digital dementia is a term that describes a possible decline in cognitive abilities, especially memory, attributed to the excessive use of digital technology such as smartphones, computers, and tablets. This concept has gained popularity in public discourse and media lately. With the increasing use of social media platforms such as Twitter (subsequently rebranded as X), discussions about digital dementia have become more widespread, which offer a rich source of information to understand public perceptions, concerns, and sentiments regarding this phenomenon.",2024,Twitter; dementia; digital dementia; mobile phone; public health; social media,Social Media; Humans; Dementia; Retrospective Studies; Emotions,"Cho, H; Kim, KM; Kim, JY; Youn, BY"
"Transforming Hypertension Diagnosis and Management in The Era of Artificial Intelligence: A 2023 National Heart, Lung, and Blood Institute (NHLBI) Workshop Report.","Hypertension is among the most important risk factors for cardiovascular disease, chronic kidney disease, and dementia. The artificial intelligence (AI) field is advancing quickly, and there has been little discussion on how AI could be leveraged for improving the diagnosis and management of hypertension. AI technologies, including machine learning tools, could alter the way we diagnose and manage hypertension, with potential impacts for improving individual and population health. The development of successful AI tools in public health and health care systems requires diverse types of expertise with collaborative relationships between clinicians, engineers, and data scientists. Unbiased data sources, management, and analyses remain a foundational challenge. From a diagnostic standpoint, machine learning tools may improve the measurement of blood pressure and be useful in the prediction of incident hypertension. To advance the management of hypertension, machine learning tools may be useful to find personalized treatments for patients using analytics to predict response to antihypertension medications and the risk for hypertension-related complications. However, there are real-world implementation challenges to using AI tools in hypertension. Herein, we summarize key findings from a diverse group of stakeholders who participated in a workshop held by the National Heart, Lung, and Blood Institute in March 2023. Workshop participants presented information on communication gaps between clinical medicine, data science, and engineering in health care; novel approaches to estimating BP, hypertension risk, and BP control; and real-world implementation challenges and issues.",2024,artificial intelligence; blood pressure; delivery of health care; hypertension; machine learning,,"Shimbo, D; Shah, RU; Abdalla, M; Agarwal, R; Ahmad, FS; Anaya, G; Attia, ZI; Bull, S; Chang, AR; Commodore-Mensah, Y; Ferdinand, K; Kawamoto, K; Khera, R; Leopold, J; Luo, J; Makhni, S; Mortazavi, BJ; Oh, YS; Savage, LC; Spatz, ES; Stergiou, G; Turakhia, MP; Whelton, PK; Yancy, CW; Iturriaga, E"
Evaluating the efficacy of few-shot learning for GPT-4Vision in neurodegenerative disease histopathology: A comparative analysis with convolutional neural network model.,"Recent advances in artificial intelligence, particularly with large language models like GPT-4Vision (GPT-4V)-a derivative feature of ChatGPT-have expanded the potential for medical image interpretation. This study evaluates the accuracy of GPT-4V in image classification tasks of histopathological images and compares its performance with a traditional convolutional neural network (CNN).",2024,Alzheimer's disease; ChatGPT; GPT‐4Vision; convolutional neural network; digital pathology; few‐shot learning; large language model; neuropathology,"Humans; Neural Networks, Computer; Neurodegenerative Diseases; Image Interpretation, Computer-Assisted; Alzheimer Disease","Ono, D; Dickson, DW; Koga, S"
Consequences of age and education correction of cognitive screening tests - A simulation study of the MoCA test in Italy.,"Cognitive screening tools are widely used in clinical practice to screen for age-related cognitive impairment and dementia. These tools' test scores are known to be influenced by age and education, leading to routine correction of raw scores for these factors. Despite these corrections being common practice, there is evidence suggesting that corrected scores may perform worse in terms of discrimination than raw scores.",2024,Age; Cognitive screening; Corrections; Dementia; Education; Mild cognitive impairment,,"Wischmann, HA; Logroscino, G; Kurth, T; Piccininni, M"
"Peer Support Workers as an Innovative Force in Advocacy in Dementia Care: A Transnational Project Delivered in Norway, Greece, Italy, and Romania.","Peer Support Workers (PSW) as an Innovative Force in Advocacy in Dementia Care (PIA) project aimed to create sustainable and competency-enhancing services for people with dementia by finding new ways to involve former as well as current caregivers in dementia services and, therefore, provide their valuable perspective in dementia care and daily practice.",2024,dementia care; dementia caregivers; peer support workers; training material,,"Tsatali, M; Gaspar De Almeida Santos, A; Makri, M; Santokhie, RT; Boccaletti, L; Caciula, I; Caciula, R; Trogu, G; Tsolaki, M; Johansen, KJ"
A systematic review of digital access to post-diagnostic health and social care services for dementia.,"For many people with dementia and unpaid carers, using technology for care and support has become essential. Rapid proliferation of technology highlights the need to understand digital access to health and social care services for dementia. This mixed-methods systematic review aims to explore digital access to health and social care services for dementia, from the perspective of people with dementia and unpaid carers.",2024,care access; dementia; inequalities; systematic review; technology; unpaid carers,Humans; Dementia; Caregivers; Health Services Accessibility; Social Work; Telemedicine,"Watson, J; Hanna, K; Talbot, C; Hansen, M; Cannon, J; Caprioli, T; Gabbay, M; Komuravelli, A; Eley, R; Tetlow, H; Giebel, C"
Associations of Physical Activity and Heart Rate Variability from a Two-Week ECG Monitor with Cognitive Function and Dementia: The ARIC Neurocognitive Study.,"Low physical activity (PA) measured by accelerometers and low heart rate variability (HRV) measured from short-term ECG recordings are associated with worse cognitive function. Wearable long-term ECG monitors are now widely used, and some devices also include an accelerometer. The objective of this study was to evaluate whether PA or HRV measured from long-term ECG monitors was associated with cognitive function among older adults. A total of 1590 ARIC participants had free-living PA and HRV measured over 14 days using the Zio",2024,ECG; accelerometry; dementia; digital health; heart rate variability; physical activity; remote monitoring,"Humans; Heart Rate; Female; Dementia; Aged; Male; Cognition; Exercise; Electrocardiography; Aged, 80 and over; Cognitive Dysfunction; Wearable Electronic Devices; Cross-Sectional Studies; Accelerometry","Marino, FR; Wu, HT; Etzkorn, L; Rooney, MR; Soliman, EZ; Deal, JA; Crainiceanu, C; Spira, AP; Wanigatunga, AA; Schrack, JA; Chen, LY"
Association between Visceral Adipose Tissue Metabolism and Cerebral Glucose Metabolism in Patients with Cognitive Impairment.,Visceral adipose tissue (VAT) dysfunction has been recently recognized as a potential contributor to the development of Alzheimer's disease (AD). This study aimed to explore the relationship between VAT metabolism and cerebral glucose metabolism in patients with cognitive impairment. This cross-sectional prospective study included 54 patients who underwent ,2024,Alzheimer’s disease; cerebral glucose metabolism; cognitive impairment; visceral adipose tissue metabolism,Humans; Male; Female; Intra-Abdominal Fat; Glucose; Aged; Cognitive Dysfunction; Positron Emission Tomography Computed Tomography; Fluorodeoxyglucose F18; Cross-Sectional Studies; Brain; Middle Aged; Prospective Studies; Alzheimer Disease; Neuropsychological Tests,"Yu, MH; Lim, JS; Yi, HA; Won, KS; Kim, HW"
