title,abstract,publication_year,keywords,mesh_terms,authors
Twitter Discussions on #digitaldementia: Content and Sentiment Analysis.,"Digital dementia is a term that describes a possible decline in cognitive abilities, especially memory, attributed to the excessive use of digital technology such as smartphones, computers, and tablets. This concept has gained popularity in public discourse and media lately. With the increasing use of social media platforms such as Twitter (subsequently rebranded as X), discussions about digital dementia have become more widespread, which offer a rich source of information to understand public perceptions, concerns, and sentiments regarding this phenomenon.",2024,Twitter; dementia; digital dementia; mobile phone; public health; social media,Social Media; Humans; Dementia; Retrospective Studies; Emotions,"Cho, H; Kim, KM; Kim, JY; Youn, BY"
Using tele-paramedicine to conduct in-home fall risk reduction after emergency department discharge: Preliminary data.,Older adults discharged from our emergency department (ED) do not receive comprehensive fall risk evaluations. We conducted a quality improvement project using an existing Community Tele-Paramedicine (CTP) program to perform in-home fall risk assessment and mitigation after ED discharge.,2024,STEADI; community paramedicine; emergency medicine; high‐risk fall reduction; mobile integrated health,,"Jiang, LG; McGinnis, C; Benton, E; Nawa, E; Stern, M; Xi, W; Sharma, R; Daniels, B"
"What helps, what hinders?-Focus group findings on barriers and facilitators for mobile service robot use in a psychosocial group therapy for people with dementia.","Many countries are facing a shortage of healthcare workers. Furthermore, healthcare workers are experiencing many stressors, resulting in psychological issues, impaired health, and increased intentions to leave the workplace. In recent years, different technologies have been implemented to lighten workload on healthcare workers, such as electronic patient files. Robotic solutions are still rather uncommon. To help with acceptance and actual use of robots their functionalities should correspond to the users' needs.",2024,dementia; focus group; institutional care; robot-assisted therapy; user-centered design,,"Wasic, C; Erzgräber, R; Unger-Büttner, M; Donath, C; Böhme, HJ; Graessel, E"
Knowledge sharing in virtual communities of practice of family caregivers of people with Alzheimer's.,"Knowledge sharing can only happen in the context of a trusting and supportive environment, such as evolves in communities of practice and their virtual equivalent, virtual communities of practice. The main objective of this study was to understand knowledge sharing between participants in a virtual community of practice of caregivers of people with Alzheimer's.",2024,Alzheimer’s Disease; Family Caregiver; Knowledge sharing; Mobile Application; Shared Community,"Humans; Caregivers; Alzheimer Disease; Male; Information Dissemination; Female; Aged; Middle Aged; Adult; Health Knowledge, Attitudes, Practice","Romero-Mas, M; Cox, AM; Ramon-Aribau, A; Gómez-Zúñiga, B"
"Efficacy of COMPAs, an App Designed to Support Communication Between Persons Living With Dementia in Long-Term Care Settings and Their Caregivers: Mixed Methods Implementation Study.","Persons living with dementia experience autonomy loss and require caregiver support on a daily basis. Dementia involves a gradual decline in communication skills, leading to fewer interactions and isolation for both people living with dementia and their caregivers, negatively impacting the quality of life for both members of the dyad. The resulting stress and burden on caregivers make them particularly susceptible to burnout.",2024,burden; caregivers; communication; dementia; mixed methods design; mobile phone; quality of life; tablet; technology,"Humans; Dementia; Caregivers; Long-Term Care; Female; Male; Quality of Life; Mobile Applications; Aged; Communication; Middle Aged; Surveys and Questionnaires; Aged, 80 and over","Ansaldo, AI; Masson-Trottier, M; Delacourt, B; Dubuc, J; Dubé, C"
"Plasma biomarkers of amyloid, tau, axonal, and neuroinflammation pathologies in dementia with Lewy bodies.","Increasing evidence supports the use of plasma biomarkers of amyloid, tau, neurodegeneration, and neuroinflammation for diagnosis of dementia. However, their performance for positive and differential diagnosis of dementia with Lewy bodies (DLB) in clinical settings is still uncertain.",2024,Alzheimer’s disease; Amyloid pathology; Dementia with Lewy bodies; Plasma biomarkers,"Humans; Lewy Body Disease; tau Proteins; Female; Biomarkers; Male; Aged; Amyloid beta-Peptides; Retrospective Studies; Alzheimer Disease; Middle Aged; Aged, 80 and over; Axons; Neuroinflammatory Diseases; Chitinase-3-Like Protein 1; Glial Fibrillary Acidic Protein; Neurofilament Proteins; Peptide Fragments; Receptors, Immunologic; Diagnosis, Differential; Membrane Glycoproteins","Vrillon, A; Bousiges, O; Götze, K; Demuynck, C; Muller, C; Ravier, A; Schorr, B; Philippi, N; Hourregue, C; Cognat, E; Dumurgier, J; Lilamand, M; Cretin, B; Blanc, F; Paquet, C"
Technology Usability for People Living With Dementia: Concept Analysis.,"Usability is a key indicator of the quality of technology products. In tandem with technological advancements, potential use by individuals with dementia is increasing. However, defining the usability of technology for individuals with dementia remains an ongoing challenge. The diverse and progressive nature of dementia adds complexity to the creation of universal usability criteria, highlighting the need for focused deliberations. Technological interventions offer potential benefits for people living with dementia and caregivers. Amid COVID-19, technology's role in health care access is growing, especially among older adults. Enabling the diverse population of people living with dementia to enjoy the benefits of technologies requires particular attention to their needs, desires, capabilities, and vulnerabilities to potential harm from technologies. Successful technological interventions for dementia require meticulous consideration of technology usability.",2024,concept analysis; dementia; mobile phone; older adults; technology; usability,"Humans; Dementia; COVID-19; Aged; Female; Male; Caregivers; Aged, 80 and over","Chien, SY; Zaslavsky, O; Berridge, C"
"mHealth Apps for Dementia, Alzheimer Disease, and Other Neurocognitive Disorders: Systematic Search and Environmental Scan.","Lifestyle behaviors including exercise, sleep, diet, stress, mental stimulation, and social interaction significantly impact the likelihood of developing dementia. Mobile health (mHealth) apps have been valuable tools in addressing these lifestyle behaviors for general health and well-being, and there is growing recognition of their potential use for brain health and dementia prevention. Effective apps must be evidence-based and safeguard user data, addressing gaps in the current state of dementia-related mHealth apps.",2024,Alzheimer disease; apps; dementia; lifestyle behaviors; mHealth; mobile health; mobile phone,Humans; Mobile Applications; Dementia; Alzheimer Disease; Telemedicine,"Ali, S; Alizai, H; Hagos, DJ; Rubio, SR; Calabia, D; Serrano Jimenez, P; Senthil, VA; Appel, L"
Detection of Mild Cognitive Impairment Through Hand Motor Function Under Digital Cognitive Test: Mixed Methods Study.,"Early detection of cognitive impairment or dementia is essential to reduce the incidence of severe neurodegenerative diseases. However, currently available diagnostic tools for detecting mild cognitive impairment (MCI) or dementia are time-consuming, expensive, or not widely accessible. Hence, exploring more effective methods to assist clinicians in detecting MCI is necessary.",2024,digital cognitive test; dual task; mild cognitive impairment; mobile phone; movement kinetics,"Humans; Cognitive Dysfunction; Male; Female; Aged; Middle Aged; Neuropsychological Tests; Hand; Aged, 80 and over; Surveys and Questionnaires; Qualitative Research","Li, A; Li, J; Chai, J; Wu, W; Chaudhary, S; Zhao, J; Qiang, Y"
Examining Associations Between Smartphone Use and Clinical Severity in Frontotemporal Dementia: Proof-of-Concept Study.,"Frontotemporal lobar degeneration (FTLD) is a leading cause of dementia in individuals aged <65 years. Several challenges to conducting in-person evaluations in FTLD illustrate an urgent need to develop remote, accessible, and low-burden assessment techniques. Studies of unobtrusive monitoring of at-home computer use in older adults with mild cognitive impairment show that declining function is reflected in reduced computer use; however, associations with smartphone use are unknown.",2024,clinical trials; cognition; cognitive impairment; digital; mobile phone; monitoring; neurodegenerative; neuropsychology; remote; screening; technology,Humans; Female; Male; Middle Aged; Frontotemporal Dementia; Smartphone; Aged; Severity of Illness Index; Proof of Concept Study; Adult; Longitudinal Studies; Neuropsychological Tests; Mobile Applications,"Paolillo, EW; Casaletto, KB; Clark, AL; Taylor, JC; Heuer, HW; Wise, AB; Dhanam, S; Sanderson-Cimino, M; Saloner, R; Kramer, JH; Kornak, J; Kremers, W; Forsberg, L; Appleby, B; Bayram, E; Bozoki, A; Brushaber, D; Darby, RR; Day, GS; Dickerson, BC; Domoto-Reilly, K; Elahi, F; Fields, JA; Ghoshal, N; Graff-Radford, N; G H Hall, M; Honig, LS; Huey, ED; Lapid, MI; Litvan, I; Mackenzie, IR; Masdeu, JC; Mendez, MF; Mester, C; Miyagawa, T; Naasan, G; Pascual, B; Pressman, P; Ramos, EM; Rankin, KP; Rexach, J; Rojas, JC; VandeVrede, L; Wong, B; Wszolek, ZK; Boeve, BF; Rosen, HJ; Boxer, AL; Staffaroni, AM"
