title,abstract,publication_year,keywords,mesh_terms,authors
Telemedicine Utilization Among Residents With Alzheimer Disease and Related Dementia: Association With Nursing Home Characteristics.,To examine telemedicine use among nursing home (NH) residents with Alzheimer disease and related dementias (ADRD) and the associations with NH characteristics.,2024,Alzheimer disease and related dementia; COVID-19; nursing home; telemedicine,,"Qin, Q; Yang, M; Veazie, P; Temkin-Greener, H; Conwell, Y; Cai, S"
Personalized goals of people living with dementia and family carers: A content analysis of goals set within an individually tailored psychosocial intervention trial.,"Person-centered goals capture individual priorities in personal contexts. Goal Attainment Scaling (GAS) has been used in drug trials involving people living with dementia (PLWD) but GAS has been characterized as difficult to incorporate into trials and clinical practice. We used GAS in a trial of New Interventions for Independence in Dementia Study (NIDUS)-family, a manualized care and support intervention, as the primary outcome and to tailor the interventions to goals set. We aimed to assess the feasibility and content of baseline goal-setting.",2024,Alzheimer's disease; dementia; goal attainment scaling; goal setting; goals; individualized care; outcome measures; person centered; psychosocial intervention,,"Budgett, J; Sommerlad, A; Kupeli, N; Zabihi, S; Rockwood, K; Cooper, C"
Associations of Physical Activity and Heart Rate Variability from a Two-Week ECG Monitor with Cognitive Function and Dementia: The ARIC Neurocognitive Study.,"Low physical activity (PA) measured by accelerometers and low heart rate variability (HRV) measured from short-term ECG recordings are associated with worse cognitive function. Wearable long-term ECG monitors are now widely used, and some devices also include an accelerometer. The objective of this study was to evaluate whether PA or HRV measured from long-term ECG monitors was associated with cognitive function among older adults. A total of 1590 ARIC participants had free-living PA and HRV measured over 14 days using the Zio",2024,ECG; accelerometry; dementia; digital health; heart rate variability; physical activity; remote monitoring,"Humans; Heart Rate; Female; Dementia; Aged; Male; Cognition; Exercise; Electrocardiography; Aged, 80 and over; Cognitive Dysfunction; Wearable Electronic Devices; Cross-Sectional Studies; Accelerometry","Marino, FR; Wu, HT; Etzkorn, L; Rooney, MR; Soliman, EZ; Deal, JA; Crainiceanu, C; Spira, AP; Wanigatunga, AA; Schrack, JA; Chen, LY"
Greater baseline intra-individual variation in telephone-based cognitive screening predicts cognitive and diagnostic outcomes at 2-year follow-up.,"Intra-Individual Cognitive Variability (IICV) is an emerging clinical tool that has shown promise in predicting cognitive decline and dementia incidence. The present study aims to assess the predictive validity of IICV in remote cognitive screening tests, using nationally representative data.",2024,,,"Lin, SS; Allen, RS"
"Old age alters inflammation and autophagy signaling in the brain, leading to exacerbated neurological outcomes after spinal cord injury in male mice.","Older patients with spinal cord injury (SCI) have different features with regard to neurological characteristics after injury. Recent large-scale longitudinal population-based studies showed that individuals with SCI are at a higher risk of developing dementia than non-SCI patients, indicating that SCI is a potential risk factor for dementia. Aging is known to potentiate inflammation and neurodegeneration at the injured site leading to impaired recovery from SCI. However, no research has been aimed at studying the mechanisms of SCI-mediated cognitive impairment in the elderly. The present study examined neurobehavioral and molecular changes in the brain and the underlying mechanisms associated with brain dysfunction in aged C57BL/6 male mice using a contusion SCI model. At 2 months post-injury, aged mice displayed worse performance in locomotor, cognitive and depressive-like behavioral tests compared to young adult animals. Histopathology in injured spinal cord tissue was exacerbated in aged SCI mice. In the brain, transcriptomic analysis with NanoString neuropathology panel identified activated microglia and dysregulated autophagy as the most significantly altered pathways by both age and injury. These findings were further validated by flow cytometry, which demonstrated increased myeloid and lymphocytes infiltration at both the injured site and brain of aged mice. Moreover, SCI in aged mice altered microglial function and dysregulated autophagy in microglia, resulting in worsened neurodegeneration. Taken together, our data indicate that old age exacerbates neuropathological changes in both the injured spinal cord and remote brain regions leading to poorer functional outcomes, at least in part, through altered inflammation and autophagy function.",2024,Autophagy; Brain; Neuroinflammation; Old age; Spinal cord injury,,"Lei, Z; Ritzel, RM; Li, Y; Li, H; Faden, AI; Wu, J"
Prediction of Alzheimer's disease progression within 6 years using speech: A novel approach leveraging language models.,Identification of individuals with mild cognitive impairment (MCI) who are at risk of developing Alzheimer's disease (AD) is crucial for early intervention and selection of clinical trials.,2024,Alzheimer's disease prognosis; Framingham Heart Study; natural language processing; neuropsychological test,,"Amini, S; Hao, B; Yang, J; Karjadi, C; Kolachalama, VB; Au, R; Paschalidis, IC"
Examining Associations Between Smartphone Use and Clinical Severity in Frontotemporal Dementia: Proof-of-Concept Study.,"Frontotemporal lobar degeneration (FTLD) is a leading cause of dementia in individuals aged <65 years. Several challenges to conducting in-person evaluations in FTLD illustrate an urgent need to develop remote, accessible, and low-burden assessment techniques. Studies of unobtrusive monitoring of at-home computer use in older adults with mild cognitive impairment show that declining function is reflected in reduced computer use; however, associations with smartphone use are unknown.",2024,clinical trials; cognition; cognitive impairment; digital; mobile phone; monitoring; neurodegenerative; neuropsychology; remote; screening; technology,Humans; Female; Male; Middle Aged; Frontotemporal Dementia; Smartphone; Aged; Severity of Illness Index; Proof of Concept Study; Adult; Longitudinal Studies; Neuropsychological Tests; Mobile Applications,"Paolillo, EW; Casaletto, KB; Clark, AL; Taylor, JC; Heuer, HW; Wise, AB; Dhanam, S; Sanderson-Cimino, M; Saloner, R; Kramer, JH; Kornak, J; Kremers, W; Forsberg, L; Appleby, B; Bayram, E; Bozoki, A; Brushaber, D; Darby, RR; Day, GS; Dickerson, BC; Domoto-Reilly, K; Elahi, F; Fields, JA; Ghoshal, N; Graff-Radford, N; G H Hall, M; Honig, LS; Huey, ED; Lapid, MI; Litvan, I; Mackenzie, IR; Masdeu, JC; Mendez, MF; Mester, C; Miyagawa, T; Naasan, G; Pascual, B; Pressman, P; Ramos, EM; Rankin, KP; Rexach, J; Rojas, JC; VandeVrede, L; Wong, B; Wszolek, ZK; Boeve, BF; Rosen, HJ; Boxer, AL; Staffaroni, AM"
Profiling early adopters of 'iSupport-Portugal': a country-specific version of a worldwide adapted digital support program for informal caregivers of people with dementia.,"Informal caregivers are the backbone of dementia care. iSupport is a World Health Organization digital support program for caregivers of people with dementia (PwD) that has been culturally adapted in several countries. iSupport was previously assessed for its feasibility in Portugal, and this country-specific version is now being utilized as a remote measurement tool (RMT). It constitutes the first internationally developed iSupport platform that is technically and scientifically enhanced to collect data on sociodemographic, clinical, and psychosocial variables of dementia care dyads. This paper characterizes the early adopters of iSupport-Portugal and discusses its exploration as a RMT.",2024,caregivers; dementia; digital technologies; mental health; remote measurement,,"Teles, S; Alves, S; Ribeiro, O; Freitas, A; Ferreira, A; Paúl, C"
Services for older adults in rural primary care memory clinic communities and surrounding areas: a qualitative descriptive study.,"As part of a larger study, and in collaboration with rural primary health care teams, RaDAR (Rural Dementia Action Research) primary care memory clinics have evolved and continue to spread in communities across southeast Saskatchewan, Canada. This study focuses on the geographical areas of the four communities where RaDAR memory clinics were first developed and implemented and describes the services and supports available to older adults including memory clinic patients and families living in these areas. Our goal was to identify and describe existing programs and gaps, create inventories and maps, and explore the service experiences of family caregivers of people living with dementia in these rural areas.",2024,Dementia; Memory clinic; Older adults; Primary care; Programs; Rural; Services,"Humans; Qualitative Research; Saskatchewan; Aged; Primary Health Care; Dementia; Rural Health Services; Male; Female; Caregivers; Health Services Accessibility; Rural Population; Focus Groups; Aged, 80 and over","Elliot, V; Kosteniuk, J; O'Connell, ME; Cameron, C; Morgan, D"
The Daily Experiences of Hispanic and Latinx Dementia Caregivers Study: Protocol for a Fully Remote Daily Diary Observational Cohort Study.,"The Hispanic and Latinx community is disproportionately affected by Alzheimer disease and related dementias (ADRDs). In the United States, approximately 8.5 million caregivers of individuals with ADRDs identify as Hispanic and Latinx people, and caregiving-related stress and burden place caregivers at elevated risk for poor mental health outcomes, as well as loneliness and social isolation. To date, there is limited knowledge about the daily stress experiences of Hispanic and Latinx caregivers. Given this knowledge gap, it is critical to examine how personal, cultural, and contextual factors influence daily stress, mental health, and resilience over time among Hispanic and Latinx ADRD caregivers.",2024,Alzheimer; Alzheimer’s disease; Hispanic; Latinx; burden; caregivers; cohort; daily diary; dementia; loneliness; longitudinal; mental health; observational cohort study; protocol; stress; well-being,"Humans; Hispanic or Latino; Caregivers; Cohort Studies; Dementia; Female; Male; Stress, Psychological; Middle Aged; Aged; United States; Adult; Diaries as Topic","Mildrum Chana, S; Álvarez, L; Poe, A; Bibriescas, N; Wang, DH; DiFiglia, S; Azuero, A; Crowe, M; Puga, F"
Remote and unsupervised digital memory assessments can reliably detect cognitive impairment in Alzheimer's disease.,Remote unsupervised cognitive assessments have the potential to complement and facilitate cognitive assessment in clinical and research settings.,2024,Alzheimer's disease; ambulatory assessments; blood‐based biomarkers; digital cognitive markers; ecological momentary assessments; mHealth; memory; plasma marker; smartphone‐based unsupervised assessments,"Humans; Alzheimer Disease; Female; Male; Cognitive Dysfunction; Aged; Neuropsychological Tests; Reproducibility of Results; Magnetic Resonance Imaging; Positron-Emission Tomography; tau Proteins; Sweden; Biomarkers; Middle Aged; Aged, 80 and over","Berron, D; Olsson, E; Andersson, F; Janelidze, S; Tideman, P; Düzel, E; Palmqvist, S; Stomrud, E; Hansson, O"
Cognitive-Cognitive Dual-task in aging: A cross-sectional online study.,"The prevalence of neurodegenerative disorders, particularly dementia, is on the rise across many countries worldwide. This negative trend calls for improving our understanding of cognitive aging. While motor-cognitive dual-task approaches have already been proven valuable for clinical diagnosis, comparatively less research is available on the application of Cognitive-Cognitive Dual-Tasking (CCDT), across several cognitive domains. Moreover, there is limited understanding about how healthy aging affects performance in such dual-tasks in the general population. CCDT entails engaging individuals in multiple cognitive tasks simultaneously and holds promise for remote e-Health interventions. In this cross-sectional study, our objective was to evaluate the suitability of a newly developed, self-administered, online tool for examining age-related differences in memory performance under dual-tasking. 337 healthy adults aged 50-90 underwent a visual memory test (Memo) under both single and dual-task conditions (attend to auditory letters). Additional measures included questionnaires on subjective memory complaints (MAC-Q), on cognitive reserve (CR), and a cognitive screening (auto-GEMS). As expected, the accuracy of visual memory performance exhibited a negative correlation with age and MAC-Q, and a positive correlation with CR and auto-GEMS scores. Dual-tasking significantly impaired performance, and its detrimental effect decreased with increasing age. Furthermore, the protective effect of cognitive reserve diminished with advancing age. These findings suggest that the commonly observed age-related increase in dual-task costs is not universally applicable across all tasks and cognitive domains. With further refinement, a longitudinal implementation of this approach may assist in identifying individuals with a distinct cognitive trajectory and potentially at a higher risk of developing cognitive decline.",2024,,"Humans; Cross-Sectional Studies; Aged; Male; Female; Middle Aged; Cognition; Aged, 80 and over; Aging; Neuropsychological Tests; Memory; Cognitive Reserve; Cognitive Aging","Contemori, G; Saccani, MS; Bonato, M"
Smartwatch-Based Interventions for People With Dementia: User-Centered Design Approach.,"Assistive technologies can help people living with dementia maintain their everyday activities. Nevertheless, there is a gap between the potential and use of these materials. Involving future users may help close this gap, but the impact on people with dementia is unclear.",2024,assistive technology; dementia; mobile phone; smartwatch; usability; user-centered design,"Humans; Dementia; Male; Female; Aged; User-Centered Design; Smartphone; Self-Help Devices; Aged, 80 and over; Surveys and Questionnaires; Activities of Daily Living; Cognitive Dysfunction; Middle Aged; Mobile Applications","Goerss, D; Köhler, S; Rong, E; Temp, AG; Kilimann, I; Bieber, G; Teipel, S"
