title,abstract,publication_year,keywords,mesh_terms,authors
Twitter Discussions on #digitaldementia: Content and Sentiment Analysis.,"Digital dementia is a term that describes a possible decline in cognitive abilities, especially memory, attributed to the excessive use of digital technology such as smartphones, computers, and tablets. This concept has gained popularity in public discourse and media lately. With the increasing use of social media platforms such as Twitter (subsequently rebranded as X), discussions about digital dementia have become more widespread, which offer a rich source of information to understand public perceptions, concerns, and sentiments regarding this phenomenon.",2024,Twitter; dementia; digital dementia; mobile phone; public health; social media,Social Media; Humans; Dementia; Retrospective Studies; Emotions,"Cho, H; Kim, KM; Kim, JY; Youn, BY"
"Deep learning of Parkinson's movement from video, without human-defined measures.","The core clinical sign of Parkinson's disease (PD) is bradykinesia, for which a standard test is finger tapping: the clinician observes a person repetitively tap finger and thumb together. That requires an expert eye, a scarce resource, and even experts show variability and inaccuracy. Existing applications of technology to finger tapping reduce the tapping signal to one-dimensional measures, with researcher-defined features derived from those measures.",2024,Artificial intelligence; Bradykinesia; Computer vision; Deep learning; Parkinson's disease; Video,,"Yang, J; Williams, S; Hogg, DC; Alty, JE; Relton, SD"
Heart rate variability modulates memory function in a virtual task.,"Heart rate variability (HRV) is considered one of the most relevant indicators of physical well-being and relevant biomarker for preventing cardiovascular risks. More recently, a growing amount of research has tracked an association between HRV and cognitive functions (i.e., attention). Research is still scarce on spatial orientation, a basic capability in our daily lives. It is also an important indicator of memory performance, and its malfunctioning working as an early sign of dementia. In this study, a total of 43 female students (M Age = 18.76; SD = 2.02) were measured in their lnRMSSD using the photoplethysmography technique with the Welltory smartphone app. They were also tested in their spatial memory with The Boxes Room, a virtual navigation test. Measures of physical activity were obtained with the International Physical Activity Questionnaire (IPAQ). Correlation analyses and repeated measures ANOVA were performed, comparing participants with high / low lnRMSSD in their spatial performance. Results showed that, at an equal level of physical activity, participants with a higher lnRMSSD were more effective in the early trials of The Boxes Room, being more precise in estimating the correct position of the stimuli. Moreover, a subsequent simple linear regression showed that a higher lnRMSSD was related to a smaller number of errors at the beginning of the spatial task. Overly, these results outline the relationship between HRV and navigation performance in early stages of processing, where the environment is still unknown and the situation is more demanding.",2024,Cardiology; Hippocampus; Navigation; Physical activity; Spatial orientation,Humans; Female; Heart Rate; Young Adult; Adolescent; Virtual Reality; Photoplethysmography; Spatial Memory; Spatial Navigation; Exercise; Memory,"Castillo-Escamilla, J; Ruffo, I; Carrasco-Poyatos, M; Granero-Gallegos, A; Cimadevilla, JM"
Examining Associations Between Smartphone Use and Clinical Severity in Frontotemporal Dementia: Proof-of-Concept Study.,"Frontotemporal lobar degeneration (FTLD) is a leading cause of dementia in individuals aged <65 years. Several challenges to conducting in-person evaluations in FTLD illustrate an urgent need to develop remote, accessible, and low-burden assessment techniques. Studies of unobtrusive monitoring of at-home computer use in older adults with mild cognitive impairment show that declining function is reflected in reduced computer use; however, associations with smartphone use are unknown.",2024,clinical trials; cognition; cognitive impairment; digital; mobile phone; monitoring; neurodegenerative; neuropsychology; remote; screening; technology,Humans; Female; Male; Middle Aged; Frontotemporal Dementia; Smartphone; Aged; Severity of Illness Index; Proof of Concept Study; Adult; Longitudinal Studies; Neuropsychological Tests; Mobile Applications,"Paolillo, EW; Casaletto, KB; Clark, AL; Taylor, JC; Heuer, HW; Wise, AB; Dhanam, S; Sanderson-Cimino, M; Saloner, R; Kramer, JH; Kornak, J; Kremers, W; Forsberg, L; Appleby, B; Bayram, E; Bozoki, A; Brushaber, D; Darby, RR; Day, GS; Dickerson, BC; Domoto-Reilly, K; Elahi, F; Fields, JA; Ghoshal, N; Graff-Radford, N; G H Hall, M; Honig, LS; Huey, ED; Lapid, MI; Litvan, I; Mackenzie, IR; Masdeu, JC; Mendez, MF; Mester, C; Miyagawa, T; Naasan, G; Pascual, B; Pressman, P; Ramos, EM; Rankin, KP; Rexach, J; Rojas, JC; VandeVrede, L; Wong, B; Wszolek, ZK; Boeve, BF; Rosen, HJ; Boxer, AL; Staffaroni, AM"
Perceptions of digital technology use for monitoring health in people living with neurological disorders.,"Digital technology offers individuals the opportunity to monitor their symptoms. Information gathered from apps, devices, and web platforms may be used to direct clinical care and to support research.",2024,"Apps for disease; Apps for health; Apps for neurological disorders; Digital health; Digital technology in health; Inflammatory diseases; MS; Monitoring health; Motor neurone disease app; Multiple sclerosis; Multiple sclerosis patient survey; Neurological disorders; Patient survey digital health; Patient survey technology health; Perceptions of digital technology; Technology and mnd, technology for neurological disorders; Technology and multiple sclerosis; Technology and neurological disease","Humans; Male; Female; Middle Aged; Aged; Adult; Digital Technology; Caregivers; Surveys and Questionnaires; Wearable Electronic Devices; Nervous System Diseases; Smartphone; Monitoring, Physiologic; Aged, 80 and over; Telemedicine; Mobile Applications; Computers, Handheld","Reid, K; Beswick, E; Tam, J; Symonds, A; Lyle, D; Newton, J; Perry, D; Neale, J; Chandran, S; Pal, S"
Remote and unsupervised digital memory assessments can reliably detect cognitive impairment in Alzheimer's disease.,Remote unsupervised cognitive assessments have the potential to complement and facilitate cognitive assessment in clinical and research settings.,2024,Alzheimer's disease; ambulatory assessments; blood‐based biomarkers; digital cognitive markers; ecological momentary assessments; mHealth; memory; plasma marker; smartphone‐based unsupervised assessments,"Humans; Alzheimer Disease; Female; Male; Cognitive Dysfunction; Aged; Neuropsychological Tests; Reproducibility of Results; Magnetic Resonance Imaging; Positron-Emission Tomography; tau Proteins; Sweden; Biomarkers; Middle Aged; Aged, 80 and over","Berron, D; Olsson, E; Andersson, F; Janelidze, S; Tideman, P; Düzel, E; Palmqvist, S; Stomrud, E; Hansson, O"
Smartwatch-Based Interventions for People With Dementia: User-Centered Design Approach.,"Assistive technologies can help people living with dementia maintain their everyday activities. Nevertheless, there is a gap between the potential and use of these materials. Involving future users may help close this gap, but the impact on people with dementia is unclear.",2024,assistive technology; dementia; mobile phone; smartwatch; usability; user-centered design,"Humans; Dementia; Male; Female; Aged; User-Centered Design; Smartphone; Self-Help Devices; Aged, 80 and over; Surveys and Questionnaires; Activities of Daily Living; Cognitive Dysfunction; Middle Aged; Mobile Applications","Goerss, D; Köhler, S; Rong, E; Temp, AG; Kilimann, I; Bieber, G; Teipel, S"
The relationship of rate and pause features to the communicative participation of people living with ALS.,"Many people living with amyotrophic lateral sclerosis (PALS) report restrictions in their day-to-day communication (communicative participation). However, little is known about which speech features contribute to these restrictions. This study evaluated the effects of common speech symptoms in PALS (reduced overall speaking rate, slowed articulation rate, and increased pausing) on communicative participation restrictions.",2024,amyotrophic lateral sclerosis; communicative participation; pause; speaking rate; speech function; speech‐language pathology,Humans; Amyotrophic Lateral Sclerosis; Female; Male; Middle Aged; Aged; Speech; Adult; Communication; Self Report,"Connaghan, KP; Green, JR; Eshghi, M; Haenssler, AE; Scheier, ZA; Clark, A; Iyer, A; Richburg, BD; Rowe, HP; Okada, J; Johnson, SA; Onnela, JP; Burke, KM; Berry, JD"
Value-based motivational strategies combined with technology to encourage a lifestyle that helps to prevent dementia.,"Lifestyles aimed at reducing dementia risk typically combine physical and cognitive training, nutritional adaptations, and, potentially, an augmentation in social interactions. Interventions at the population level are essential but should be complemented by individual efforts. For efficacy, lasting changes to an individual's lifestyle are needed, necessitating robust motivation and volition. Acting in accordance with one's values is assumed to be rewarding, leading to improved motivation and volition, and produces stable behaviour-outcome relationships. To this end, future preventive endeavours might first evaluate an individual's extant lifestyle, preferences, and values, including considerations of age-related changes to ensure these values remain a motivational source. Digital technology can support lifestyle goals and be targeted to support an individual's values. A digital platform could implement situation-specific, sensing-based feedback to alert users to a target situation (eg, opportunity for exercise) coupled with (smartphone-based) feedback on the extent of accomplished behavioural change to support individually set goals and facilitate their adjustment depending on whether these goals are achieved. This use of the motivational impetus of values, coupled with interpersonal techniques, such as motivational interviewing and SMART goal setting, in combination with sensor technology and just-in-time adaptive interventions, is assumed to hold high potential for dementia prevention.",2024,,Humans; Dementia; Motivation; Life Style,"Klöppel, S; Brill, E; Frisoni, GB; Aarsland, D; Klusmann-Weißkopf, V"
Assessing the feasibility of digital keypress statistics to detect seizures and capture cognitive impairment in patients with epilepsy: A pilot study.,"Efficient, non-invasive monitoring may provide a more accurate and comprehensive understanding of seizure frequency and the development of some comorbidities in people with epilepsy. Novel keyboard technology measuring digital keypress statistics has demonstrated its practical value for neurodegenerative diseases including Parkinson's Disease and Dementia. Smartphones integrated into daily life may serve as a low-burden longitudinal monitoring system for patients with epilepsy.",2024,Cognitive impairment; Comorbidities; Digital health; Non-invasive monitoring,,"Brinkmann, G; Duque-Lopez, A; Cui, J; Faust, L; Alden, EC; Worrell, G; Brinkmann, BH"
"Usability, Acceptability, and Preliminary Effectiveness of a Peer-Delivered and Technology-Supported Mental Health Intervention for Family Caregivers of People With Dementia: Field Usability Study.",Family caregivers of people with dementia are critical to the quality of life of care recipients and the sustainability of health care systems but face an increased risk of emotional distress and negative physical and mental health outcomes.,2024,dementia; family caregivers; mobile phone; peer support; technology,Humans; Caregivers; Dementia; Male; Female; Peer Group; Middle Aged; Aged; Mobile Applications; Adult; Quality of Life; Social Support; Mental Health,"Collins-Pisano, C; Leggett, AN; Gambee, D; Fortuna, KL"
Actual Clinical Practice Assessment: A Rapid and Easy-to-Use Tool for Evaluating Cognitive Decline Equivalent to Dementia.,"Background Screening tests reveal the early signs of cognitive decline, enabling better self-care and preparation for the future. We developed and evaluated the accuracy of a rapid (20 s) and easy-to-use tool called ONSEI, assessing the cognitive decline equivalent to dementia in actual clinical practice by correlating clinical diagnoses with the ONSEI classification. Methods In this retrospective observational study, data were collected from individuals who visited three neurosurgical clinics in neighboring prefectures of Tokyo, Japan. ONSEI analysis was performed using a smartphone or tablet. The tool adopts a machine-learning algorithm using the speaker's age, time-orientation task score, and acoustic features of spoken responses to that task. Significant differences in accuracy, sensitivity, and specificity were evaluated by Fisher's exact test. Results The overall classification accuracy of ONSEI was 98.1% (p<0.001). The sensitivity and specificity were 97.3% (p<0.001) and 98.5% (p<0.001), respectively. The proportion of correct classifications was consistent across different age groups. Conclusion ONSEI showed high classification accuracy for dementia in cognitively normal individuals in actual clinical practice, regardless of the facility at which the tests were conducted or the age of the participants. Thus, ONSEI can be useful for dementia screening and self-care.",2024,automated classification; dementia; digital cognitive assessment; machine learning; speech features,,"Asano, T; Yasuda, A; Kinoshita, S; Nomoto, J; Kato, T; Suzuki, C; Suzuki, H; Kinoshita, T; Shigeta, M; Homma, A"
Multidomain Dementia Risk Reduction in Primary Care is Feasible: A Proof-of-concept study.,"Dementia risk reduction is a public health priority, but interventions that can be easily implemented in routine care are scarce.",2024,Alzheimer’s disease; dementia; health behavior; lifestyle; prevention and control; primary health care; risk factors; telemedicine,Humans; Female; Male; Primary Health Care; Middle Aged; Risk Reduction Behavior; Dementia; Feasibility Studies; Adult; Proof of Concept Study; Mobile Applications; Risk Factors; Netherlands,"Van Asbroeck, S; Köhler, S; Wimmers, SCPM; Muris, JWM; van Boxtel, MPJ; Deckers, K"
Automatic offline-capable smartphone paper-based microfluidic device for efficient biomarker detection of Alzheimer's disease.,"Alzheimer's disease (AD) is a prevalent neurodegenerative disease with no effective treatment. Efficient and rapid detection plays a crucial role in mitigating and managing AD progression. Deep learning-assisted smartphone-based microfluidic paper analysis devices (μPADs) offer the advantages of low cost, good sensitivity, and rapid detection, providing a strategic pathway to address large-scale disease screening in resource-limited areas. However, existing smartphone-based detection platforms usually rely on large devices or cloud servers for data transfer and processing. Additionally, the implementation of automated colorimetric enzyme-linked immunoassay (c-ELISA) on μPADs can further facilitate the realization of smartphone μPADs platforms for efficient disease detection.",2024,Alzheimer's disease; Colorimetric enzyme-linked immunoassay (c-ELISA); Deep learning; Microfluidic paper analysis devices (μPADs); Offline; Smartphone,Alzheimer Disease; Humans; Smartphone; Biomarkers; Amyloid beta-Peptides; Paper; Enzyme-Linked Immunosorbent Assay; Peptide Fragments; Lab-On-A-Chip Devices; Deep Learning; Automation; Microfluidic Analytical Techniques,"Duan, S; Cai, T; Liu, F; Li, Y; Yuan, H; Yuan, W; Huang, K; Hoettges, K; Chen, M; Lim, EG; Zhao, C; Song, P"
"Unpaid carers of people with dementia and information communication technology: Use, impact and ideas for the future.","Several 100,000s of people living with dementia in the UK are cared for at home by a spouse or relative. Few studies have considered the ICT needs and experiences of unpaid carers. This study explores the types of ICT unpaid carers use, the ways they use ICT, the impact of ICT-use, and their ideas for how ICT could be more supportive of their role as a carer.",2024,focus group; impact; people living with dementia; technology; unpaid carers,Humans; Dementia; Caregivers; Focus Groups; Female; Male; Aged; Middle Aged; Qualitative Research; Adult; United Kingdom; Communication,"Damant, J; Freddolino, P; Dangoor, M; Hu, B; King, D; Wittenberg, R"
PROCare4Life lessons learned.,"PeRsOnalised Integrated CARE Solution for Elderly (PROCare4Life) was an EU-funded project that ran from January 2020 until June 2023, whose focus was to further develop and integrate previous ICT solutions developed by several previous EU-funded projects into a unique modular system able to support the autonomy and empowerment and to increase the Quality of Life (QoL) of elderly people living with Parkinson's, Alzheimer's, or similar dementia, having also tested the system for elderly people living with comorbidities. This article focuses on the methodology and results used to identify the internal lessons learned. PROCare4Life was developed using a codesign approach involving more than 2,000 participants whose input has been listened to and transformed into valuable changes of the system and also into lessons learned included in this case study report. Since the beginning of the implementation of PROCare4Life, there has been a commitment to make invisible knowledge visible through open discussion and including our lessons learned in each of our deliverables. In the last six months of implementation, qualitative research has been implemented by the PROCare4Life consortium to identify and select our most relevant challenges and recommendations for future projects and initiatives. PROCare4Life was highly impacted by the COVID-19 pandemic, and it is acknowledged in the lessons learned. However, the consortium has focused on the recommendations that could be more valuable for ordinary implementation of future projects and initiatives developing eHealth tools for elderly citizens living with conditions that might affect their cognitive or mobility capacities.",2023,dementia; eHealth; Integrated Care; Lessons Learned; Digital technologies; People centred codesign; Parkinson’s; Alzheimer’s,,"Gangas, P; Judica, E; Marin, M; Bouça-Machado, R; Ferreira, JJ; Louro, C; Brach, M; Linnane, D; Ahmed, M; Bentlage, E; Semerci, YC; Proença, JP; Alfonso, J"
