title,abstract,publication_year,keywords,mesh_terms,authors
Cerebrospinal fluid HIV RNA escape syndrome.,"A 54-year-old man with treated HIV developed a subacute deterioration of speech, mobility and cognition. Cerebrospinal fluid (CSF) analysis showed a raised protein and a discordant CSF HIV RNA paired with plasma HIV RNA, confirming the diagnosis of CSF HIV RNA escape syndrome. It is important to consider this diagnosis in people with treated HIV who develop new neurological symptoms.",2024,AIDS; CSF; DEMENTIA; MEDICINE; NEUROVIROLOGY,,"Nasse, S; Underwood, J; Hughes, TAT"
The contribution of short-term memory for sound features to speech-in-noise perception and cognition.,"Speech-in-noise (SIN) perception is a fundamental ability that declines with aging, as does general cognition. We assess whether auditory cognitive ability, in particular short-term memory for sound features, contributes to both. We examined how auditory memory for fundamental sound features, the carrier frequency and amplitude modulation rate of modulated white noise, contributes to SIN perception. We assessed SIN in 153 healthy participants with varying degrees of hearing loss using measures that require single-digit perception (the Digits-in-Noise, DIN) and sentence perception (Speech-in-Babble, SIB). Independent variables were auditory memory and a range of other factors including the Pure Tone Audiogram (PTA), a measure of dichotic pitch-in-noise perception (Huggins pitch), and demographic variables including age and sex. Multiple linear regression models were compared using Bayesian Model Comparison. The best predictor model for DIN included PTA and Huggins pitch (r",2024,Aging; Cognition; Hearing; Memory; Speech-in-Noise,,"Lad, M; Taylor, JP; Griffiths, TD"
Macro and micro structural preservation of grey matter integrity after 24 weeks of rTMS in Alzheimer's disease patients: a pilot study.,"Alzheimer's Disease (AD) is characterized by structural and functional dysfunction involving the Default Mode Network (DMN), for which the Precuneus (PC) is a key node. We proposed a randomized double-blind pilot study to determine neurobiological changes after 24 weeks of PC-rTMS in patients with mild-to-moderate AD. Sixteen patients were randomly assigned to SHAM or PC-rTMS, and received an intensive 2-weeks course with daily rTMS sessions, followed by a maintenance phase in which rTMS has been applied once a week. Before and after the treatment structural and functional MRIs were collected. Our results showed macro- and micro-structural preservation in PC-rTMS compared to SHAM-rTMS group after 24 weeks of treatment, correlated to an increase of functional connectivity (FC) within the PC in the PC-rTMS group. Even if preliminary, these results trigger the possibility of using PC-rTMS to arrest atrophy progression by manipulating distributed network connectivity patterns.",2024,Alzheimer’s disease; Brain plasticity; Cortex; Default mode network; Microstructural; Precuneus; Transcranial magnetic stimulation,Humans; Alzheimer Disease; Pilot Projects; Male; Female; Aged; Double-Blind Method; Magnetic Resonance Imaging; Transcranial Magnetic Stimulation; Gray Matter; Middle Aged; Treatment Outcome; Parietal Lobe,"Mencarelli, L; Torso, M; Borghi, I; Assogna, M; Pezzopane, V; Bonnì, S; Di Lorenzo, F; Santarnecchi, E; Giove, F; Martorana, A; Bozzali, M; Ridgway, GR; Chance, SA; Koch, G"
Artificial intelligence classifies primary progressive aphasia from connected speech.,"Neurodegenerative dementia syndromes, such as Primary Progressive Aphasias (PPA), have traditionally been diagnosed based in part on verbal and nonverbal cognitive profiles. Debate continues about whether PPA is best divided into three variants and also regarding the most distinctive linguistic features for classifying PPA variants. In this cross-sectional study, we first harnessed the capabilities of artificial intelligence (AI) and Natural Language Processing (NLP) to perform unsupervised classification of short, connected speech samples from 78 PPA patients. We then used NLP to identify linguistic features that best dissociate the three PPA variants. Large Language Models (LLMs) discerned three distinct PPA clusters, with 88.5% agreement with independent clinical diagnoses. Patterns of cortical atrophy of three data-driven clusters corresponded to the localization in the clinical diagnostic criteria. In the subsequent supervised classification, seventeen distinctive features emerged, including the observation that separating verbs into high and low-frequency types significantly improves classification accuracy. Using these linguistic features derived from the analysis of short, connected speech samples, we developed a classifier that achieved 97.9% accuracy in classifying the four groups (three PPA variants and healthy controls). The data-driven section of this study showcases the ability of LLMs to find natural partitioning in the speech of patients with PPA consistent with conventional variants. In addition, the work identifies a robust set of language features indicative of each PPA variant, emphasizing the significance of dividing verbs into high and low-frequency categories. Beyond improving diagnostic accuracy, these findings enhance our understanding of the neurobiology of language processing.",2024,data-driven classification; generative artificial intelligence; primary progressive aphasia (PPA); theory-driven classification; verb frequency,,"Rezaii, N; Hochberg, D; Quimby, M; Wong, B; Brickhouse, M; Touroutoglou, A; Dickerson, BC; Wolff, P"
Identifying Components of a Person-Centered Augmentative and Alternative Communication Intervention for People With Dementia: Opinions of an International Expert Panel.,"Despite general agreement on the importance of person-centered care in speech-language pathology, guidelines for developing person-centered interventions for those with dementia are limited. This study aimed to obtain expert opinion on the components of a person-centered augmentative and alternative communication (AAC) intervention for persons with dementia.",2024,,Humans; Dementia; Delphi Technique; Speech-Language Pathology; Patient-Centered Care; Communication Disorders; Communication Aids for Disabled; Female; Consensus; Male; Attitude of Health Personnel,"May, AA; Dada, S; Murray, J"
Machine Learning Approaches for Dementia Detection Through Speech and Gait Analysis: A Systematic Literature Review.,Dementia is a general term for several progressive neurodegenerative disorders including Alzheimer's disease. Timely and accurate detection is crucial for early intervention. Advancements in artificial intelligence present significant potential for using machine learning to aid in early detection.,2024,Alzheimer’s disease; cognitive impairment; deep learning; dementia disorders; gait analysis; machine learning; non-invasive; speech analysis,Humans; Machine Learning; Dementia; Speech; Gait Analysis,"Al-Hammadi, M; Fleyeh, H; Åberg, AC; Halvorsen, K; Thomas, I"
Automated free speech analysis reveals distinct markers of Alzheimer's and frontotemporal dementia.,"Dementia can disrupt how people experience and describe events as well as their own role in them. Alzheimer's disease (AD) compromises the processing of entities expressed by nouns, while behavioral variant frontotemporal dementia (bvFTD) entails a depersonalized perspective with increased third-person references. Yet, no study has examined whether these patterns can be captured in connected speech via natural language processing tools. To tackle such gaps, we asked 96 participants (32 AD patients, 32 bvFTD patients, 32 healthy controls) to narrate a typical day of their lives and calculated the proportion of nouns, verbs, and first- or third-person markers (via part-of-speech and morphological tagging). We also extracted objective properties (frequency, phonological neighborhood, length, semantic variability) from each content word. In our main study (with 21 AD patients, 21 bvFTD patients, and 21 healthy controls), we used inferential statistics and machine learning for group-level and subject-level discrimination. The above linguistic features were correlated with patients' scores in tests of general cognitive status and executive functions. We found that, compared with HCs, (i) AD (but not bvFTD) patients produced significantly fewer nouns, (ii) bvFTD (but not AD) patients used significantly more third-person markers, and (iii) both patient groups produced more frequent words. Machine learning analyses showed that these features identified individuals with AD and bvFTD (AUC = 0.71). A generalizability test, with a model trained on the entire main study sample and tested on hold-out samples (11 AD patients, 11 bvFTD patients, 11 healthy controls), showed even better performance, with AUCs of 0.76 and 0.83 for AD and bvFTD, respectively. No linguistic feature was significantly correlated with cognitive test scores in either patient group. These results suggest that specific cognitive traits of each disorder can be captured automatically in connected speech, favoring interpretability for enhanced syndrome characterization, diagnosis, and monitoring.",2024,,Humans; Frontotemporal Dementia; Alzheimer Disease; Female; Male; Aged; Speech; Middle Aged; Case-Control Studies; Biomarkers; Natural Language Processing; Machine Learning; Neuropsychological Tests; Executive Function,"Lopes da Cunha, P; Ruiz, F; Ferrante, F; Sterpin, LF; Ibáñez, A; Slachevsky, A; Matallana, D; Martínez, Á; Hesse, E; García, AM"
High-Intensity Aphasia Intervention Is Minimally Fatiguing in Chronic Aphasia: An Analysis of Participant Self-Ratings From a Large Randomized Controlled Trial.,"High-intensity therapy is recommended in current treatment guidelines for chronic poststroke aphasia. Yet, little is known about fatigue levels induced by treatment, which could interfere with rehabilitation outcomes. We analyzed fatigue experienced by people with chronic aphasia (>6 months) during high-dose interventions at 2 intensities.",2024,aphasia; fatigue; rehabilitation; speech-language pathology; stroke; time factors; treatment outcome,"Humans; Aphasia; Female; Male; Middle Aged; Aged; Fatigue; Adult; Aged, 80 and over; Retrospective Studies; Chronic Disease; Stroke; Adolescent; Young Adult; Stroke Rehabilitation; Self Report","Pierce, JE; Cavanaugh, R; Harvey, S; Dickey, MW; Nickels, L; Copland, D; Togher, L; Godecke, E; Meinzer, M; Rai, T; Cadilhac, DA; Kim, J; Hurley, M; Foster, AM; Carragher, M; Wilcox, C; Rose, ML"
Oral status of older adults receiving home medical care: A cross-sectional study.,This study examined the oral status and the presence of teeth requiring treatment among older adults receiving home medical care.,2024,domiciliary dental care; home medical care; older adult; oral health assessment tool; oral status,"Humans; Female; Male; Cross-Sectional Studies; Oral Health; Home Care Services; Aged, 80 and over; Japan; Aged; Oral Hygiene; Geriatric Assessment; Dental Care for Aged; Tooth Extraction","Tanaka, K; Tominaga, T; Kikutani, T; Sakuda, T; Tomida, H; Tanaka, Y; Mizukoshi, A; Ichikawa, Y; Ozeki, M; Takahashi, N; Tamura, F"
Hip Fracture Treatment and Outcomes Among Community-Dwelling People Living With Dementia.,The decision for surgical vs nonsurgical treatment for hip fracture can be complicated among community-dwelling people living with dementia.,2024,,"Humans; Dementia; Hip Fractures; Female; Male; Aged, 80 and over; Cross-Sectional Studies; Retrospective Studies; Independent Living; Aged; United States; Medicare; Treatment Outcome","Adler, RR; Xiang, L; Shah, SK; Clark, CJ; Cooper, Z; Mitchell, SL; Kim, DH; Hsu, J; Sepucha, K; Chunga, RE; Lipsitz, SR; Weissman, JS; Schoenfeld, AJ"
