title,abstract,publication_year,keywords,mesh_terms,authors
Through Alzheimer's Eyes: A Virtual Pilot Intervention for Family Caregivers of People with Dementia.,To evaluate the feasibility and acceptability of a virtually delivered psychoeducational skill-building intervention for ADRD caregivers.,2024,Acceptability; feasibility; information and communication technologies; memory; virtual reality,,"Gómez-Morales, A; Coon, DW; Joseph, RP; Pipe, T"
Community-Based Virtual Reality Interventions in Older Adults with Dementia and/or Cognitive Impairment: A Systematic Review.,"Virtual reality devices have been widely used for the rehabilitation among older people with cognitive impairments. They enable the user to navigate in three-dimensional environments, which are constructed by a computer. Recent studies have been focused on the cognitive benefits of virtual reality for people with cognitive deficits. The current study aimed to investigate the overall impact of community-based virtual reality interventions in older adults with dementia and/or cognitive impairment.",2024,,,"Stavropoulou, I; Sakellari, E; Barbouni, A; Notara, V"
Embodied Spatial Navigation Training in Mild Cognitive Impairment: A Proof-of-Concept Trial.,Egocentric and allocentric spatial memory impairments affect the navigation abilities of older adults with mild cognitive impairment (MCI). Embodied cognition research hints that specific aids can be implemented into virtual reality (VR) training to enhance spatial memory.,2024,Alzheimer’s disease; dementia; embodied cognition; mild cognitive impairment; rehabilitation; spatial cognition; virtual reality,,"Tuena, C; Serino, S; Pedroli, E; Stramba-Badiale, C; Goulene, KM; Stramba-Badiale, M; Riva, G"
"PEMOCS: Evaluating the effects of a concept-guided, PErsonalised, MOtor-Cognitive exergame training on cognitive functions and gait in chronic Stroke-study protocol for a randomised controlled trial.","Many stroke survivors remain with residual cognitive and motor impairments despite receiving timely acute and sub-acute rehabilitation. This indicates that rehabilitation following stroke should be continuous to meet the needs of individual stroke patients. Both cognitive and motor functions are essential for mastering daily life and, therefore, should be aimed at with rehabilitation. Exergames, motor-cognitive exercises performed using video games, are an auspicious method to train both motor and cognitive functions and at the same time may foster the long-term motivation for training. This study aims to assess the effect of concept-guided, personalised, motor-cognitive exergame training on cognitive and motor functions in chronic stroke survivors.",2024,Cognition; Gait; Gaming; Mobility; Protocol; Rehabilitation; Stroke; Training; Virtual reality,Humans; Stroke Rehabilitation; Video Games; Cognition; Single-Blind Method; Gait; Stroke; Exercise Therapy; Randomized Controlled Trials as Topic; Chronic Disease; Treatment Outcome; Recovery of Function; Time Factors; Female; Male,"Huber, SK; Knols, RH; Held, JPO; Betschart, M; de Bruin, ED"
Heart rate variability modulates memory function in a virtual task.,"Heart rate variability (HRV) is considered one of the most relevant indicators of physical well-being and relevant biomarker for preventing cardiovascular risks. More recently, a growing amount of research has tracked an association between HRV and cognitive functions (i.e., attention). Research is still scarce on spatial orientation, a basic capability in our daily lives. It is also an important indicator of memory performance, and its malfunctioning working as an early sign of dementia. In this study, a total of 43 female students (M Age = 18.76; SD = 2.02) were measured in their lnRMSSD using the photoplethysmography technique with the Welltory smartphone app. They were also tested in their spatial memory with The Boxes Room, a virtual navigation test. Measures of physical activity were obtained with the International Physical Activity Questionnaire (IPAQ). Correlation analyses and repeated measures ANOVA were performed, comparing participants with high / low lnRMSSD in their spatial performance. Results showed that, at an equal level of physical activity, participants with a higher lnRMSSD were more effective in the early trials of The Boxes Room, being more precise in estimating the correct position of the stimuli. Moreover, a subsequent simple linear regression showed that a higher lnRMSSD was related to a smaller number of errors at the beginning of the spatial task. Overly, these results outline the relationship between HRV and navigation performance in early stages of processing, where the environment is still unknown and the situation is more demanding.",2024,Cardiology; Hippocampus; Navigation; Physical activity; Spatial orientation,Humans; Female; Heart Rate; Young Adult; Adolescent; Virtual Reality; Photoplethysmography; Spatial Memory; Spatial Navigation; Exercise; Memory,"Castillo-Escamilla, J; Ruffo, I; Carrasco-Poyatos, M; Granero-Gallegos, A; Cimadevilla, JM"
Effects of computerized cognitive training on biomarker responses in older adults with mild cognitive impairment: A scoping review.,"Mild cognitive impairment (MCI) is a widespread condition in older individuals, posing significant risk of dementia. However, limited research has been conducted to explore effective interventions and clarify their impact at the neural level. Therefore, this study aimed to investigate the effects of computerized cognitive training (CCT) and explore the associated neural mechanisms in preventing dementia in older individuals with MCI, with a view to inform future intervention efforts.",2024,biomarker; brain‐derived neurotrophic factor; computerized cognitive training; electroencephalography; functional near‐infrared spectroscopy; magnetic resonance imaging; mild cognitive impairment,,"Hayashi, H; Sone, T; Iokawa, K; Sumigawa, K; Fujita, T; Kawamata, H; Asao, A; Kawasaki, I; Ogasawara, M; Kawakatsu, S"
Exploring the Relationship between Behavioral and Neurological Impairments Due to Mild Cognitive Impairment: Correlation Study between Virtual Kiosk Test and EEG-SSVEP.,"Amnestic mild cognitive impairment (aMCI) is a transitional stage between normal aging and Alzheimer's disease, making early screening imperative for potential intervention and prevention of progression to Alzheimer's disease (AD). Therefore, there is a demand for research to identify effective and easy-to-use tools for aMCI screening. While behavioral tests in virtual reality environments have successfully captured behavioral features related to instrumental activities of daily living for aMCI screening, further investigations are necessary to establish connections between cognitive decline and neurological changes. Utilizing electroencephalography with steady-state visual evoked potentials, this study delved into the correlation between behavioral features recorded during virtual reality tests and neurological features obtained by measuring neural activity in the dorsal stream. As a result, this multimodal approach achieved an impressive screening accuracy of 98.38%.",2024,brain–computer interface; human cognition; instrumental activities of daily living; steady-state visual evoked potentials; virtual reality,"Humans; Cognitive Dysfunction; Electroencephalography; Aged; Male; Female; Evoked Potentials, Visual; Virtual Reality; Alzheimer Disease; Neuropsychological Tests; Activities of Daily Living; Middle Aged","Kim, D; Kim, Y; Park, J; Choi, H; Ryu, H; Loeser, M; Seo, K"
Exergaming and cognitive functions in people with mild cognitive impairment and dementia: a meta-analysis.,"Exergaming is a combination of exercise and gaming. Evidence shows an association between exercise and cognition in older people. However, previous studies showed inconsistent results on the cognitive benefits of exergaming in people with cognitive impairment. Therefore, this study aims to examine the effect of exergaming intervention on cognitive functions in people with MCI or dementia. A systematic literature search was conducted via OVID databases. Randomized controlled trials (RCTs) examined the effect of an exergaming intervention on cognitive functions in people with MCI or dementia were included. Subgroup analyses were conducted according to the type of intervention and training duration. Twenty RCTs with 1152 participants were identified, including 14 trials for MCI and 6 trials for dementia. In people with MCI, 13 studies used virtual-reality (VR)-based exergaming. Those who received VR-based exergaming showed significantly better global cognitive function [SMD (95%CI) = 0.67 (0.23-1.11)], learning and memory [immediate recall test: 0.79 (0.31-1.27); delayed recall test: 0.75 (0.20-1.31)], working memory [5.83 (2.27-9.39)], verbal fluency [0.58 (0.12-1.03)], and faster in executive function than the controls. For people with dementia, all studies used video-based exergaming intervention. Participants with exergaming intervention showed significantly better global cognitive function than the controls [0.38 (0.10-0.67)]. Subgroup analyses showed that longer training duration generated larger effects. The findings suggest that exergaming impacts cognitive functions in people with MCI and dementia. Cognitive benefits are demonstrated for those with a longer training duration. With technological advancement, VR-based exergaming attracts the attention of people with MCI and performs well in improving cognitive functions.",2024,,,"Chan, JYC; Liu, J; Chan, ATC; Tsoi, KKF"
Effects of real-time VR clinical practice on reducing the stigma toward dementia among students of occupational therapy: A randomized controlled trial.,"This study aimed to examine the effects of real-time online clinical practice using real-time virtual reality (VR) compared with 2D PC screening on reducing stigma toward dementia, and to investigate the feasibility of online clinical practice using VR.",2023,dementia; occupational therapy; online education; real‐time virtual reality; stigma,,"Ueno, K; Tanaka, H; Niki, K; Ueda, M; Tanaka, A; Yokoi, K; Naito, Y; Ishii, R"
Acceptability of virtual reality to screen for dementia in older adults.,"Early detection of dementia and cognitive decline is crucial for effective interventions and overall wellbeing. Although virtual reality (VR) tools offer potential advantages to traditional dementia screening tools, there is a lack of knowledge regarding older adults' acceptance of VR tools, as well as the predictors and features influencing their adoption. This study aims to (i) explore older adults' perceptions of the acceptability and usefulness of VR diagnostic tools for dementia, and (ii) identify demographic predictors of adoption and features of VR applications that contribute to future adoption among older adults.",2024,Acceptability; Cognition digital health; Older adults; Virtual reality,"Humans; Female; Male; Aged; Dementia; Cross-Sectional Studies; Virtual Reality; Patient Acceptance of Health Care; Aged, 80 and over; Surveys and Questionnaires; Mass Screening; Independent Living","Siette, J; Adam, PJ; Harris, CB"
