title,abstract,publication_year,keywords,mesh_terms,authors
"Dysregulation of Lipid Metabolism Serves as A Link Between Alzheimer's and Cardiovascular Disease, As Witnessed in A Cross-Sectional Study.","Cardiovascular risk factors and established cardiovascular disease (CVD) increase the risk of suffering dementia of the Alzheimer's type (DAT). Here, we set out to define specific molecular profiles of CVD in patients with DAT to better understand its relationship, to unravel the mechanisms underlying the high risk of developing DAT in CVD patients and to define new markers of early disease. Plasma samples from patients with DAT, with and without CVD, were analyzed through a multiomics approach, with integration of metabolomics and proteomics datasets using the OmicsNet web-based tool. Metabolomics results showed an enrichment in lipids and lipid-like molecules. Similarly, the most significant cluster identified through proteomics was formed by 5 proteins related to lipoprotein and cholesterol metabolism. After integration and functional enrichment, glycerolipid metabolism, fatty acid degradation and sphingolipid metabolism were among the most significant functions. Finally, differential expression of ABCA1 and APOH proteins was verified, in an independent cohort also including controls and patients with CVD alone. Both proteins positively correlated with phospho-Tau (181), a classical hallmark of DAT. Different molecular profiles exist in patients with DAT, with and without CVD, with exacerbated alterations in patients in which DAT and CVD co-exist. This information may help to define biomarkers like ABCA1 and APOH that identify patients with cardiovascular dysfunction that are at high risk of developing DAT. Such markers will allow more personalized interventions to be selected, a further step towards precision medicine for individuals whose molecular profiles indicate a distinct response to the same management strategies.",2024,,,"Mourino-Alvarez, L; Juarez-Alia, C; Sastre-Oliva, T; Perales-Sánchez, I; Hernandez-Fernandez, G; Chicano-Galvez, E; Peralbo-Molina, Á; Madruga, F; Blanco-Lopez, E; Tejerina, T; Barderas, MG"
Social Media Programs for Outreach and Recruitment Supporting Aging and Alzheimer Disease and Related Dementias Research: Longitudinal Descriptive Study.,"Social media may be a useful method for research centers to deliver health messages, increase their visibility in the local community, and recruit study participants. Sharing examples of social media-based community outreach and educational programs, and evaluating their outcomes in this setting, is important for understanding whether these efforts have a measurable impact.",2024,Alzheimer disease; Alzheimer’s disease; education; outreach; recruitment; social media,Social Media; Humans; Alzheimer Disease; Longitudinal Studies; Community-Institutional Relations; Patient Selection; Aging; Female; Dementia; Male; Aged,"Teano, AL; Scott, A; Gipson, C; Albert, M; Pettigrew, C"
Evaluation of interactive web-based tools to stimulate reflection and communication about advance care planning with people with dementia and their family caregivers.,"People with dementia and their family caregivers often encounter challenges in engaging in advance care planning (ACP), such as a lack of information and difficulties in engaging in ACP conversations. Using a user-centred design, we developed two interactive web-based tools as part of an ACP support website to stimulate ACP reflection and communication: (1) the 'Thinking Now About Later' tool, with open-ended questions about 'what matters most', and (2) a digital version of the 'Life Wishes Cards', a card tool with pre-formulated statements that prompt reflection about wishes for future care. This study aimed to evaluate the use of and experiences with two web-based tools by people with dementia and their family caregivers.",2024,Advance care planning; Communication; Dementia; Reflection; Web-based tools,"Humans; Advance Care Planning; Dementia; Caregivers; Male; Female; Aged; Middle Aged; Internet; Aged, 80 and over; Communication; Qualitative Research; Adult","Monnet, F; Pivodic, L; Dupont, C; Smets, T; De Vleminck, A; Van Audenhove, C; Van den Block, L"
Evaluating a mobile-based intervention to promote the mental health of informal dementia caregivers in Singapore: Study protocol for a pilot two-armed randomised controlled trial.,"Informal caregivers of persons with dementia (PWD) often suffer adverse impacts on their mental health and require interventions for effective support. As they are often occupied with providing care, web-based interventions could be more convenient and efficient for them. However, there is currently a dearth of evidence-based mobile interventions to enhance the mental well-being of dementia caregivers locally, especially ones that are user-centered and culturally relevant. Hence, having designed an app based on feedback from local dementia caregivers, this study will evaluate the effectiveness of this mobile app in promoting the mental health of informal caregivers of PWD in Singapore.",2024,,Humans; Caregivers; Dementia; Singapore; Mental Health; Pilot Projects; Mobile Applications; Female; Male; Surveys and Questionnaires; Middle Aged,"Lee, YT; Yuan, Q; Zhang, Y; Samari, E; Goveas, R; Ng, LL; Subramaniam, M"
TWINGEN: protocol for an observational clinical biobank recall and biomarker cohort study to identify Finnish individuals with high risk of Alzheimer's disease.,"A better understanding of the earliest stages of Alzheimer's disease (AD) could expedite the development or administration of treatments. Large population biobanks hold the promise to identify individuals at an elevated risk of AD and related dementias based on health registry information. Here, we establish the protocol for an observational clinical recall and biomarker study called TWINGEN with the aim to identify individuals at high risk of AD by assessing cognition, health and AD-related biomarkers. Suitable candidates were identified and invited to participate in the new study among THL Biobank donors according to TWINGEN study criteria.",2024,Dementia; GENETICS; Observational Study,Humans; Alzheimer Disease; Finland; Biomarkers; Biological Specimen Banks; Female; Aged; Male; Cohort Studies; Middle Aged; Neuropsychological Tests; Cognition; Risk Factors; Research Design,"Vuoksimaa, E; Saari, TT; Aaltonen, A; Aaltonen, S; Herukka, SK; Iso-Markku, P; Kokkola, T; Kyttälä, A; Kärkkäinen, S; Liedes, H; Ollikainen, M; Palviainen, T; Ruotsalainen, I; Toivola, A; Urjansson, M; Vasankari, T; Vähä-Ypyä, H; Forsberg, MM; Hiltunen, M; Jalanko, A; Kälviäinen, R; Kuopio, T; Lähteenmäki, J; Nyberg, P; Männikkö, M; Serpi, R; Siltanen, S; Palotie, A; Kaprio, J; Runz, H; Julkunen, V"
Inhibition of Amyloid-β (Aβ)-Induced Cognitive Impairment and Neuroinflammation in CHI3L1 Knockout Mice through Downregulation of ERK-PTX3 Pathway.,"Several clinical studies reported that the elevated expression of Chitinase-3-like 1 (CHI3L1) was observed in patients suffering from a wide range of diseases: cancer, metabolic, and neurological diseases. However, the role of CHI3L1 in AD is still unclear. Our previous study demonstrated that 2-({3-[2-(1-Cyclohexen-1-yl)ethyl]-6,7-dimethoxy-4-oxo-3,4-dihydro-2-quinazolinyl}culfanyl)-",2024,Alzheimer’s disease; CHI3L1; ERK; NF-κB; PTX3; neuroinflammation,"Animals; Chitinase-3-Like Protein 1; Mice; Mice, Knockout; Cognitive Dysfunction; Amyloid beta-Peptides; Humans; Neuroinflammatory Diseases; Male; MAP Kinase Signaling System; C-Reactive Protein; Female; Alzheimer Disease; Down-Regulation; Disease Models, Animal; Aged; Mice, Inbred C57BL","Ham, HJ; Lee, YS; Koo, JK; Yun, J; Son, DJ; Han, SB; Hong, JT"
Evaluation of the Parkinson's Remote Interactive Monitoring System in a Clinical Setting: Usability Study.,"The fastest-growing neurological disorder is Parkinson disease (PD), a progressive neurodegenerative disease that affects 10 million people worldwide. PD is typically treated with levodopa, an oral pill taken to increase dopamine levels, and other dopaminergic agonists. As the disease advances, the efficacy of the drug diminishes, necessitating adjustments in treatment dosage according to the patient's symptoms and disease progression. Therefore, remote monitoring systems that can provide more detailed and accurate information on a patient's condition regularly are a valuable tool for clinicians and patients to manage their medication. The Parkinson's Remote Interactive Monitoring System (PRIMS), developed by PragmaClin Research Inc, was designed on the premise that it will be an easy-to-use digital system that can accurately capture motor and nonmotor symptoms of PD remotely.",2024,Parkinson disease; System Usability Scale; mobile phone; motor examination; movement disorders; remote monitoring; thematic analysis; usability,"Humans; Parkinson Disease; Male; Female; Middle Aged; Aged; User-Computer Interface; Monitoring, Physiologic","Bridges, B; Taylor, J; Weber, JT"
Evaluating palliative care case conferences in primary care for patients with advanced non-malignant chronic conditions: a cluster-randomised controlled trial (KOPAL).,"Patients with congestive heart failure (CHF), chronic obstructive pulmonary disease (COPD) and dementia are underrepresented in specialist palliative home care (SPHC). However, the complexity of their conditions requires collaboration between general practitioners (GPs) and SPHC teams and timely integration into SPHC to effectively meet their needs.",2024,case conference; chronic care; interprofessional communication; older people; palliative care; primary health care,"Humans; Palliative Care; Male; Female; Aged; Quality of Life; Germany; Pulmonary Disease, Chronic Obstructive; Aged, 80 and over; Primary Health Care; Heart Failure; Dementia; Chronic Disease; Home Care Services; Patient Care Team; Time Factors; Interdisciplinary Communication; Delivery of Health Care, Integrated","Mallon, T; Schulze, J; Dams, J; Weber, J; Asendorf, T; Böttcher, S; Sekanina, U; Schade, F; Schneider, N; Freitag, M; Müller, C; König, HH; Nauck, F; Friede, T; Scherer, M; Marx, G"
Adapting a Dutch Web-Based Intervention to Support Family Caregivers of People With Dementia in the UK Context: Accelerated Experience-Based Co-Design.,"Around 700,000 family caregivers provide unpaid care for 900,000 people living with dementia in the United Kingdom. Few family caregivers receive support for their own psychological needs and funding for community respite services has declined. These trends are seen across Europe as demographic and budgetary pressures have intensified due to public spending cuts arising from the 2008 financial crisis and the COVID-19 pandemic. The World Health Organization has prioritized the need to expand the provision of support for caregivers and families of people with dementia by 2025. Web-based interventions have the potential for development as they require modest investment and can be accessed by family caregivers at home. Further cost benefits can be realized by adapting existing interventions with demonstrated effectiveness for new contexts. This paper reports initial findings from the CareCoach study, which is adapting Partner in Balance (PiB), a web-based coaching intervention developed in the Netherlands, for family caregivers in the United Kingdom.",2024,"United Kingdom; adaptation; caregiver; caregivers; carer; co-design; community-based; dementia; family carer; intervention; self-help, web-based; services; staff; support; web-based intervention; web-based resources; web-based support",,"Scheibl, F; Boots, L; Eley, R; Fox, C; Gracey, F; Harrison Dening, K; Oyebode, J; Penhale, B; Poland, F; Ridel, G; West, J; Cross, JL"
Usability of web-based tools designed for communication and decision-making in dementia: Systematic review and design brief.,There is an increased number of web-based tools designed for people with dementia and their family caregivers and addressing communication and decision-making. The loss of cognitive functions associated with dementia can impact individuals' experiences and use of web-based tools. There is a need for high quality and user-friendly web-based tools that support communication and decision-making for people with dementia and their family caregivers.,2024,Communication; Decision-making; Dementia; Systematic review; Usability; Web design; Web-based tools,Humans; Dementia; Internet; Communication; Caregivers; Decision Making; User-Computer Interface,"Monnet, F; Craven, MP; Dupont, C; Van den Block, L; Pivodic, L"
