title,abstract,pmc_id,pmc_url
Targeting the autophagy-NAD axis protects against cell death in Niemann-Pick type C1 disease models.,"Impairment of autophagy leads to an accumulation of misfolded proteins and damaged organelles and has been implicated in plethora of human diseases. Loss of autophagy in actively respiring cells has also been shown to trigger metabolic collapse mediated by the depletion of nicotinamide adenine dinucleotide (NAD) pools, resulting in cell death. Here we found that the deficit in the autophagy-NAD axis underpins the loss of viability in cell models of a neurodegenerative lysosomal storage disorder, Niemann-Pick type C1 (NPC1) disease. Defective autophagic flux in NPC1 cells resulted in mitochondrial dysfunction due to impairment of mitophagy, leading to the depletion of both the reduced and oxidised forms of NAD as identified via metabolic profiling. Consequently, exhaustion of the NAD pools triggered mitochondrial depolarisation and apoptotic cell death. Our chemical screening identified two FDA-approved drugs, celecoxib and memantine, as autophagy activators which effectively restored autophagic flux, NAD levels, and cell viability of NPC1 cells. Of biomedical relevance, either pharmacological rescue of the autophagy deficiency or NAD precursor supplementation restored NAD levels and improved the viability of NPC1 patient fibroblasts and induced pluripotent stem cell (iPSC)-derived cortical neurons. Together, our findings identify the autophagy-NAD axis as a mechanism of cell death and a target for therapeutic interventions in NPC1 disease, with a potential relevance to other neurodegenerative disorders.",6450419,https://www.ncbi.nlm.nih.gov/pmc/articles/6450419/
Time perception among people living with and without dementia: A scoping review.,"Dementia often manifests with profound alterations in perception, but it is unclear if and to what extent time perception is altered among people living with dementia compared to those experiencing normal aging. Thus, this scoping review aimed to answer the following research questions: (1) What study designs, participants, time intervals, paradigms, tests, and scores have been employed and in which countries were these methods employed to study time perception in dementia? (2) In which ways do time perception differ across individuals living with and without dementia? (3) In which ways do time perception differ across individuals living with different types of dementia? After deduplication, title and abstract screening, and full-text review, a total of 12 studies were included in this scoping review. Findings generally indicated that people living with dementia perceive time differently than people living without dementia, and that some differences across dementia diagnoses may exist, but the body of literature on time perception in dementia was quite limited. Future research should focus on replicating findings while extending the research to look beyond the dementia versus non-dementia dichotomy as differences across dementia diagnoses may exist. Moreover, if people living with dementia (and, in particular, living with different dementia diagnoses) experience time differently from those experiencing normal aging, we need to begin to address these differences in dementia-friendly initiatives to improve well-being for this population.",Not available,URL not available
Early-stage Alzheimer's disease affects fast but not slow adaptive processes in motor learning.,"Alzheimer's disease (AD) is characterized by an initial decline in declarative memory, while non-declarative memory processing remains relatively intact. Error-based motor adaptation is traditionally seen as a form of non-declarative memory, but recent findings suggest that it involves both fast, declarative and slow, non-declarative adaptive processes. If the declarative memory system shares resources with the fast process in motor adaptation, it can be hypothesized that the fast, but not the slow, process is disturbed in AD patients. To test this, we studied 20 early-stage AD patients and 21 age-matched controls of both sexes using a reach adaptation paradigm that relies on spontaneous recovery after sequential exposure to opposing force fields. Adaptation was measured using error clamps and expressed as an adaptation index (AI). Although patients with AD showed slightly lower adaptation to the force field than the controls, both groups demonstrated effects of spontaneous recovery. The time course of the AI was fitted by a hierarchical Bayesian two-state model in which each dynamic state is characterized by a retention and learning rate. Compared to controls, the retention rate of the fast process was the only parameter that was significantly different (lower) in the AD patients, confirming that the memory of the declarative, fast process is disturbed by AD. The slow adaptive process was virtually unaffected. Since the slow process learns only weakly from error, our results provide neurocomputational evidence for the clinical practice of errorless learning of everyday tasks in people with dementia.",Not available,URL not available
Beyond memory impairment: the complex phenotypic landscape of Alzheimer's disease.,"Neuropsychiatric symptoms (NPSs) in Alzheimer's disease (AD) constitute multifaceted behavioral manifestations that reflect processes of emotional regulation, thinking, and social behavior. They are as prevalent in AD as cognitive impairment and develop independently during the progression of neurodegeneration. As studying NPSs in AD is clinically challenging, most AD research to date has focused on cognitive decline. In this opinion article we summarize emerging literature on the prevalence, time course, and the underlying genetic, molecular, and pathological mechanisms related to NPSs in AD. Overall, we propose that NPSs constitute a cluster of core symptoms in AD, and understanding their neurobiology can lead to a more holistic approach to AD research, paving the way for more accurate diagnostic tests and personalized treatments embracing the goals of precision medicine.",Not available,URL not available
Proteomics Profiling of Extracellular Vesicle for Identification of Potential Biomarkers in Alzheimer's Disease: A Comprehensive Review.,"The intricate origins and diverse symptoms of Alzheimer's disease (AD) pose significant challenges for both diagnosis and treatment. Exosomes and microvesicles, which carry disease-specific cargo from a variety of central nervous system cell types, have emerged as promising reservoirs of biomarkers for AD. Research on the screening of possible biomarkers in Alzheimer's disease using proteomic profiling of EVs is systematically reviewed in this comprehensive review. We highlight key methodologies employed in EV isolation, characterization, and proteomic analysis, elucidating their advantages and limitations. Furthermore, we summarize the evolving landscape of EV-associated biomarkers implicated in AD pathogenesis, including proteins involved in amyloid-beta metabolism, tau phosphorylation, neuroinflammation, synaptic dysfunction, and neuronal injury. The literature review highlights the necessity for robust validation strategies and standardized protocols to effectively transition EV-based biomarkers into clinical use. In the concluding section, this review delves into potential future avenues and technological advancements pivotal in crafting EV-derived biomarkers applicable to AD diagnostics and prognostics. This review contributes to our comprehension of AD pathology and the advancement of precision medicine in neurodegenerative diseases, hinting at a promising era in AD precision medicine.",Not available,URL not available
"Quercetin ameliorates cognitive deficit, expression of amyloid precursor gene, and pro-inflammatory cytokines in an experimental models of Alzheimer's disease in Wistar rats.","Chronic stress (CS) is critically involved in the Alzheimer's disease (AD) pathogenesis resulting in cognitive disturbance. Also, amyloid precursor protein (APP) related gens, pro-inflammatory cytokines, and stress increases AD-related pathogenesis through increasing APP, all are important players in the development of AD. Herein, we explore the possible neuroprotective and anti-amnestic effect of quercetin (QUER) on cognitive deficits induced by scopolamine (SCOP) in stressed rats. Stress induction was performed by exposed of rats to 2-h chronic restraint stress for 10 days. Then rats were supplemented with QUER (25 mg/kg/day oral gavage, for 1 month). Ratswere submitted to intraperitoneal (i.p.) injection of SCOP (1 mg/kg) during the final 9 days of QUER supplementation to induce dementia like condition. Following the interventions, behavioral tests [elevated plus maze (EPM) and novel object recognition memory (NORM)] was examined to analysis the cognitive functions. Meanwhile, prefrontal cortex (PFC) and hippocampus of brain were used for gene expression and biochemical studies. Also, the plasma corticosterone (CORT) level was measured. We established that administration of QUER ameliorated the SCOP-related memory impairment. Also, QUER decreased stress related anxiety like behaviors in the EPM. QUER also altered the interleukin-6 (IL-6) and tumor necrosis factor-α (TNF-α) levels in both PFC and hippocampus of SCOP treated rats in stress and non-stress conditions. We found that QUER increased APP and amyloid precursor-like protein 2 (APLP2) mRNA expression in both non-stress and stressed rats. Also, our findings imply that QUER suppress the effect of SCOP on cognitive functions. Moreover, decreased APP mRNA expression in the hippocampus were observed following pretreatment of rats with QUER in both stress and non-stress groups. Given that decreased amyloid beta (Aβ) expression in the hippocampus of stressed rats, it can be proposed that elevations in APP mRNA expression by QUER activates non-amyloidogenic pathways leading to reduction in Aβ levels. However, our findings indicate that QUER can be a therapeutic candidate, which exerts an anti-amnesic property against SCOP-induced memory decline. On the other hand, prior QUER administration in stress condition could be a promising approach against AD prevention.",Not available,URL not available
Inhibition of CXCR4: A perspective on miracle fruit seed for Alzheimer's disease treatment.,"Alzheimer's disease (AD) is the most prevalent type of dementia, and its causes are currently diverse and not fully understood. In a previous study, we discovered that short-term treatment with miracle fruit seed (MFS) had a therapeutic effect on AD model mice, however, the precise mechanism behind this effect remains unclear. In this research, we aimed to establish the efficacy and safety of long-term use of MFS in AD model mice. A variety of cytokines and chemokines have been implicated in the development of AD. Previous studies have validated a correlation between the expression levels of C-X-C chemokine receptor type 4 (CXCR4) and disease severity in AD. In this research, we observed an upregulation of CXCR4 expression 1n hippocampal tissues in the AD model group, which was then reversed after MFS treatment. Moreover, CXCR4 knockout resulted in improved cognitive function in AD model mice, and MFS showed the ability to regulate CXCR4 expression. Finally, our findings indicate that CXCR4 knockout and long-term MFS treatment produce comparable effects in treating AD model mice. In conclusion, this research demonstrates that therapeutic efficacy and safety of long-term use in AD model mice. MFS treatment and the subsequent reduction of CXCR4 expression exhibit a neuroprotective role in the brain, highlighting their potential as therapeutic targets for AD.",Not available,URL not available
Eicosanoid Signaling in Neuroinflammation Associated with Alzheimer's Disease.,"Alzheimer's disease (AD) is a prevalent neurodegenerative condition affecting a substantial portion of the global population. It is marked by a complex interplay of factors, including the accumulation of amyloid plaques and tau tangles within the brain, leading to neuroinflammation and neuronal damage. Recent studies have underscored the role of free lipids and their derivatives in the initiation and progression of AD. Eicosanoids, metabolites of polyunsaturated fatty acids like arachidonic acid (AA), emerge as key players in this scenario. Remarkably, eicosanoids can either promote or inhibit the development of AD, and this multifaceted role is determined by how eicosanoid signaling influences the immune responses within the brain. However, the precise molecular mechanisms dictating the dual role of eicosanoids in AD remain elusive. In this comprehensive review, we explore the intricate involvement of eicosanoids in neuronal function and dysfunction. Furthermore, we assess the therapeutic potential of targeting eicosanoid signaling pathways as a viable strategy for mitigating or halting the progression of AD.",Not available,URL not available
"Diabetes Mellitus and Alzheimer's Disease: Understanding Disease Mechanisms, their Correlation, and Promising Dual Activity of Selected Herbs.","This review explores the link between Type 2 Diabetes Mellitus (T2DM) and diabetes-induced Alzheimer's disease (AD). It emphasizes the shared pathophysiological links and mechanisms between the two conditions, focusing on reduced insulin levels and receptors, impaired glucose metabolism, insulin resistance, mitochondrial dysfunction, and oxidative damage in AD-affected brains-paralleling aspects of T2DM. The review suggests AD as a ""diabetes of the brain,"" supported by cognitive enhancement through antidiabetic interventions. It focuses on the traditionally used Indian herbs as a means to manage both conditions with minimal side effects and toxicity while addressing developmental challenges.",Not available,URL not available
An inducible genetic tool to track and manipulate specific microglial states reveals their plasticity and roles in remyelination.,"Recent single-cell RNA sequencing studies have revealed distinct microglial states in development and disease. These include proliferative-region-associated microglia (PAMs) in developing white matter and disease-associated microglia (DAMs) prevalent in various neurodegenerative conditions. PAMs and DAMs share a similar core gene signature. However, the extent of the dynamism and plasticity of these microglial states, as well as their functional significance, remains elusive, partly due to the lack of specific tools. Here, we generated an inducible Cre driver line, Clec7a-CreER",Not available,URL not available
