title,abstract,pmc_id,pmc_url
"Unveiling a novel memory center in human brain: neurochemical identification of the nucleus incertus, a key pontine locus implicated in stress and neuropathology.","The nucleus incertus (NI) was originally described by Streeter in 1903, as a midline region in the floor of the fourth ventricle of the human brain with an 'unknown' function. More than a century later, the neuroanatomy of the NI has been described in lower vertebrates, but not in humans. Therefore, we examined the neurochemical anatomy of the human NI using markers, including the neuropeptide, relaxin-3 (RLN3), and began to explore the distribution of the NI-related RLN3 innervation of the hippocampus.",6736046,https://www.ncbi.nlm.nih.gov/pmc/articles/6736046/
Novel diagnostic and prognostic approach for rapidly progressive dementias: Indicators based on amyloid/tau/neurodegeneration (ATN) framework.,Apply established cerebrospinal fluid (CSF) and serum biomarkers and novel combined indicators based on the amyloid/tau/neurodegeneration (ATN) framework to improve diagnostic and prognostic power in patients with rapidly progressive dementias (RPDs).,Not available,URL not available
Amyloid-β but not tau accumulation is strongly associated with longitudinal cognitive decline.,Alzheimer's disease (AD) pathology is featured by the extracellular accumulation of amyloid-β (Aβ) plaques and intracellular tau neurofibrillary tangles in the brain. We studied whether Aβ and tau accumulation are independently associated with future cognitive decline in the AD continuum.,Not available,URL not available
A multiomic atlas of the aging hippocampus reveals molecular changes in response to environmental enrichment.,"Aging involves the deterioration of organismal function, leading to the emergence of multiple pathologies. Environmental stimuli, including lifestyle, can influence the trajectory of this process and may be used as tools in the pursuit of healthy aging. To evaluate the role of epigenetic mechanisms in this context, we have generated bulk tissue and single cell multi-omic maps of the male mouse dorsal hippocampus in young and old animals exposed to environmental stimulation in the form of enriched environments. We present a molecular atlas of the aging process, highlighting two distinct axes, related to inflammation and to the dysregulation of mRNA metabolism, at the functional RNA and protein level. Additionally, we report the alteration of heterochromatin domains, including the loss of bivalent chromatin and the uncovering of a heterochromatin-switch phenomenon whereby constitutive heterochromatin loss is partially mitigated through gains in facultative heterochromatin. Notably, we observed the multi-omic reversal of a great number of aging-associated alterations in the context of environmental enrichment, which was particularly linked to glial and oligodendrocyte pathways. In conclusion, our work describes the epigenomic landscape of environmental stimulation in the context of aging and reveals how lifestyle intervention can lead to the multi-layered reversal of aging-associated decline.",9427998,https://www.ncbi.nlm.nih.gov/pmc/articles/9427998/
Neuropsychiatric Symptom Profile in Alzheimer's Disease and Their Relationship With Functional Decline.,Understanding the course of individual neuropsychiatric symptoms (NPS) and their relationship with function is important for planning targeted interventions for preventing and delaying functional decline. This study aims to disentangle relative contributions of individual NPS on functional decline.,Not available,URL not available
"Comparing COVID-19 vaccination coverage, adverse reactions and impact of social determinants of health on vaccine hesitancy in ADRD/MCI and non-ADRD/MCI population: protocol for a retrospective cross-sectional study.","COVID-19 vaccination is crucial for vulnerable people with underlying chronic conditions such as Alzheimer's disease and related dementias (ADRD) and mild cognitive impairment (MCI). These individuals face unique challenges, including higher risk of COVID-19, difficulties in adopting preventive behaviours and vaccine hesitancy due to concerns about adverse reactions. Therefore, efforts to promote vaccination, including boosters tailored to the currently circulating virus, are essential for people with ADRD/MCI.",Not available,URL not available
,"Over four decades of research support the link between Alzheimer's disease (AD) and somatostatin (somatotropin-releasing inhibitory factor, SRIF). SRIF and SRIF-expressing neurons play an essential role in brain function, modulating hippocampal activity and memory formation. Loss of SRIF and SRIF-expressing neurons in the brain rests at the center of a series of interdependent pathological events driven by amyloid-beta peptide (Aβ), culminating in cognitive decline and dementia. The connection between the SRIF and AD further extends to the neuropsychiatric symptoms, seizure activity, and inflammation. Whereas, preclinical AD investigations show SRIF or SRIF-receptor agonist administration capable of enhancing cognition. SRIF receptor subtype-4 activation in particular presents unique attributes, with the potential to mitigate learning and memory decline, reduce comorbid symptoms, and enhance enzymatic degradation of Aβ in the brain. Here we review the links between SRIF and AD, along with the therapeutic implications. ",Not available,URL not available
Alleviating neuronal inflammation induced by Aβ,"Amyloid beta (Aβ) aggregation is one of the distinctive pathological hallmarks of Alzheimer's disease (AD). Therefore, the development of effective inhibitors against Aβ aggregate formation offers great promise for the treatment of AD. In this study, we designed a novel negatively charged functionalized conjugate aimed at inhibiting Aβ",Not available,URL not available
Telemedicine Utilization Among Residents With Alzheimer Disease and Related Dementia: Association With Nursing Home Characteristics.,To examine telemedicine use among nursing home (NH) residents with Alzheimer disease and related dementias (ADRD) and the associations with NH characteristics.,Not available,URL not available
Genetic evidence for serum amyloid P component as a drug target in neurodegenerative disorders.,"The mechanisms responsible for neuronal death causing cognitive loss in Alzheimer's disease (AD) and many other dementias are not known. Serum amyloid P component (SAP) is a constitutive plasma protein, which is cytotoxic for cerebral neurones and also promotes formation and persistence of cerebral A",Not available,URL not available
Ensemble approach of transfer learning and vision transformer leveraging explainable AI for disease diagnosis: An advancement towards smart healthcare 5.0.,"Smart healthcare has advanced the medical industry with the integration of data-driven approaches. Artificial intelligence and machine learning provided remarkable progress, but there is a lack of transparency and interpretability in such applications. To overcome such limitations, explainable AI (EXAI) provided a promising result. This paper applied the EXAI for disease diagnosis in the advancement of smart healthcare. The paper combined the approach of transfer learning, vision transformer, and explainable AI and designed an ensemble approach for prediction of disease and its severity. The result is evaluated on a dataset of Alzheimer's disease. The result analysis compared the performance of transfer learning models with the ensemble model of transfer learning and vision transformer. For training, InceptionV3, VGG19, Resnet50, and Densenet121 transfer learning models were selected for ensembling with vision transformer. The result compares the performance of two models: a transfer learning (TL) model and an ensemble transfer learning (Ensemble TL) model combined with vision transformer (ViT) on ADNI dataset. For the TL model, the accuracy is 58 %, precision is 52 %, recall is 42 %, and the F1-score is 44 %. Whereas, the Ensemble TL model with ViT shows significantly improved performance i.e., 96 % of accuracy, 94 % of precision, 90 % of recall and 92 % of F1-score on ADNI dataset. This shows the efficacy of the ensemble model over transfer learning models.",Not available,URL not available
The interactive effects of different exercises and hawthorn consumption on the pain threshold of TMT-induced Alzheimer male rats.,"Exercise increases the pain threshold in healthy people. However, the pain threshold modulation effect of exercise and hawthorn is unclear because of its potential benefits in people with persistent pain, including those with Alzheimer's disease. Accordingly, after the induction of Alzheimer's disease by trimethyl chloride, male rats with Alzheimer's disease were subjected to a 12-week training regimen consisting of resistance training, swimming endurance exercises, and combined exercises. In addition, hawthorn extract was orally administered to the rats. Then, their pain threshold was evaluated using three Tail-flick, Hot-plate, and Formalin tests. Our results showed that Alzheimer's decreased the pain threshold in all three behavioral tests. Combined exercise with hawthorn consumption had the most statistically significant effect on Alzheimer's male rats' pain threshold in all three experiments. A combination of swimming endurance and resistance exercises with hawthorn consumption may modulate hyperalgesia in Alzheimer's rats. Future studies need to determine the effects of these factors on the treatment and/or management of painful conditions.",8468241,https://www.ncbi.nlm.nih.gov/pmc/articles/8468241/
Astaxanthin Rescues Memory Impairments in Rats with Vascular Dementia by Protecting Against Neuronal Death in the Hippocampus.,"Vascular dementia (VaD) is a cognitive disorder characterized by a decline in cognitive function resulting from cerebrovascular disease. The hippocampus is particularly susceptible to ischemic insults, leading to memory deficits in VaD. Astaxanthin (AST) has shown potential therapeutic effects in neurodegenerative diseases. However, the mechanisms underlying its protective effects in VaD and against hippocampal neuronal death remain unclear. In this study, We used the bilateral common carotid artery occlusion (BCCAO) method to establish a chronic cerebral hypoperfusion (CCH) rat model of VaD and administered a gastric infusion of AST at 25 mg/kg per day for 4 weeks to explore its therapeutic effects. Memory impairments were assessed using Y-maze and Morris water maze tests. We also performed biochemical analyses to evaluate levels of hippocampal neuronal death and apoptosis-related proteins, as well as the impact of astaxanthin on the PI3K/Akt/mTOR pathway and oxidative stress. Our results demonstrated that AST significantly rescued memory impairments in VaD rats. Furthermore, astaxanthin treatment protected against hippocampal neuronal death and attenuated apoptosis. We also observed that AST modulated the PI3K/Akt/mTOR pathway, suggesting its involvement in promoting neuronal survival and synaptic plasticity. Additionally, AST exhibited antioxidant properties, mitigating oxidative stress in the hippocampus. These findings provide valuable insights into the potential therapeutic effects of AST in VaD. By elucidating the mechanisms underlying the actions of AST, this study highlights the importance of protecting hippocampal neurons and suggests potential targets for intervention in VaD. There are still some unanswered questions include long-term effects and optimal dosage of the use in human. Further research is warranted to fully understand the therapeutic potential of AST and its application in the clinical treatment of VaD.",8065559,https://www.ncbi.nlm.nih.gov/pmc/articles/8065559/
Cellular and pathological functions of tau.,"Tau protein is involved in various cellular processes, including having a canonical role in binding and stabilization of microtubules in neurons. Tauopathies are neurodegenerative diseases marked by the abnormal accumulation of tau protein aggregates in neurons, as seen, for example, in conditions such as frontotemporal dementia and Alzheimer disease. Mutations in tau coding regions or that disrupt tau mRNA splicing, tau post-translational modifications and cellular stress factors (such as oxidative stress and inflammation) increase the tendency of tau to aggregate and interfere with its clearance. Pathological tau is strongly implicated in the progression of neurodegenerative diseases, and the propagation of tau aggregates is associated with disease severity. Recent technological advancements, including cryo-electron microscopy and disease models derived from human induced pluripotent stem cells, have increased our understanding of tau-related pathology in neurodegenerative conditions. Substantial progress has been made in deciphering tau aggregate structures and the molecular mechanisms that underlie protein aggregation and toxicity. In this Review, we discuss recent insights into the diverse cellular functions of tau and the pathology of tau inclusions and explore the potential for therapeutic interventions.",6763080,https://www.ncbi.nlm.nih.gov/pmc/articles/6763080/
Brain inflammation co-localizes highly with tau in mild cognitive impairment due to early-onset Alzheimer's disease.,"Brain inflammation, with an increased density of microglia and macrophages, is an important component of Alzheimer's disease (AD) and a potential therapeutic target. However, it is incompletely characterized, particularly in patients whose disease begins before the age of 65 years and, thus, have few co-pathologies. Inflammation has been usefully imaged with translocator protein (TSPO) positron emission tomography (PET), but most inflammation PET tracers cannot image subjects with a low-binder TSPO rs6971 genotype. In an important development, participants with any TSPO genotype can be imaged with a novel tracer, [11C]ER176, that has a high binding potential and a more favorable metabolite profile than other TSPO tracers currently available. We applied [11C]ER176 to detect brain inflammation in mild cognitive impairment (MCI) caused by early-onset AD. Furthermore, we sought to correlate the brain localization of inflammation, volume loss, elevated Aβ and tau. We studied brain inflammation in 25 patients with early-onset amnestic MCI (average age 59 ± 4.5 years, 10 women) and 23 healthy controls (average age 65 ± 6.0 years, 12 women), both groups with a similar proportion of all three TSPO-binding affinities. [11C]ER176 total distribution volume (VT), obtained with an arterial input function, was compared across patients and controls using voxel-wise and region-wise analyses. In addition to inflammation PET, most MCI patients had Aβ (n=23), and tau PET (n=21). For Aβ and tau tracers, standard uptake value ratios (SUVRs) were calculated using cerebellar grey matter as region of reference. Regional correlations among the three tracers were determined. Data were corrected for partial volume effect. Cognitive performance was studied with standard neuropsychological tools. In MCI caused by early-onset AD, there was inflammation in the default network, reaching statistical significance in precuneus and lateral temporal and parietal association cortex bilaterally, and in the right amygdala. Topographically, inflammation co-localized most strongly with tau (r= 0.63 ± 0.24). This correlation was higher than the co-localization of Aβ with tau (r= 0.55±0.25) and of inflammation with Aβ (0.43±0.22). Inflammation co-localized least with atrophy (-0.29±0.26). These regional correlations could be detected in participants with any of the three rs6971 TSPO polymorphisms. Inflammation in AD-related regions correlated with impaired cognitive scores. Our data highlight the importance of inflammation, a potential therapeutic target, in the AD process. Furthermore, they support the notion that, as shown in experimental tissue and animal models, the propagation of tau in humans is associated with brain inflammation.",Not available,URL not available
